"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"tet(W)",0.00203827514492111,0.857740404582904,0.117996099498766,0.0116888605848674,0.522877690996361,0.985826881245849,0.961769847366623,0.000126966236588484,0.920477115352934,0.682988897740599,NA,0.247735737461265,2.0356463646728e-62,NA,NA,NA,0.713266349817053,NA,0.374014087938823,0.633575632137674,0.117574929321485,0.967318021386884,NA,NA,0.582999037367173,0.75368755958624,0.00831574971595572,0.03953164391008,NA,NA
"vanS-D",0.0746653178066634,2.46619471639398e-19,0.293264352966409,0.44260293755181,0.0132297197951124,1.01355855409194e-05,0.705273194256919,0.247684440853914,0.983505814695947,0.117258068401984,NA,0.36015758242152,0.983505814695947,NA,NA,NA,0.0578533996549238,NA,2.3615486152989e-19,0.200060233242975,0.293264352966409,0.759266386763965,NA,NA,0.363193472743148,0.501017857197731,0.0578905150733489,0.310207680850286,NA,NA
"vanR-D",0.265490686001833,6.14737627923993e-25,0.652549287947036,0.803963135634907,0.229101640897658,0.0111751996370102,0.82307684102821,9.35766542651047e-09,0.88866459285794,0.108658476639449,NA,0.355444254999536,0.765648103283853,NA,NA,NA,0.00461501074515072,NA,5.68013325803033e-25,0.668547256805407,0.257182072895206,0.0920394626606001,NA,NA,0.691102767702852,0.226860709344509,0.00356689867088421,0.300065415278656,NA,NA
"sul2",0.101992775072876,3.62935840134028e-11,3.50305421115195e-11,0.881899738521573,0.441417531346159,0.382857074823339,0.677657004571469,3.55571803493865e-10,0.780990835254852,0.258852138498163,NA,0.00170869198959696,0.615950167063412,NA,NA,NA,0.59052609542156,NA,0.67925287062983,0.579419729592532,0.190442894537568,3.62935840134031e-11,NA,NA,0.856355478268229,3.5451330244815e-11,0.478437342510361,0.0537799504015812,NA,NA
"tet(O)",0.0401557617339647,0.667491383541302,0.149165354852921,0.563491395037157,0.456126072649688,0.0390978561520091,0.28085775450667,0.467503849222997,0.450759259501591,0.332845194259702,NA,0.0241647964616402,0.962070362561427,NA,NA,NA,0.420254853985447,NA,0.52300549842856,0.434508686675791,0.231837642740024,0.623966135028833,NA,NA,0.0942919210568023,0.823010659218525,0.0448075696427448,0.0963896392084827,NA,NA
"mef(A)",0.626318037602273,0.852626866882358,0.453946894305628,0.642349438603009,0.208927816812695,0.832542147488442,0.852626866882358,0.618975286535359,1.44034649756117e-05,0.895838501359317,NA,0.335396835781565,0.206188694849116,NA,NA,NA,0.575771503331369,NA,2.62273223189278e-59,0.926608983495146,0.09957339732563,2.62336252385612e-59,NA,NA,0.115307888714119,0.488569056921262,0.777497599837507,0.184089904737173,NA,NA
"aadE",0.25232583788908,6.53567023284861e-50,0.454909781103802,0.149061374356351,0.168992990124653,0.120410218769656,0.188715006406784,0.265873829171915,0.461184940383586,0.562212993190946,NA,0.37045947783524,0.520614701277873,NA,NA,NA,0.000948555727086386,NA,4.26928897231924e-50,0.994763623746693,0.0011293451522019,0.504324049756157,NA,NA,0.225869942206658,0.427006989236301,0.869852942233715,0.833533917009362,NA,NA
"lnu(C)",0.044219556655233,1.19369398796413e-27,0.425021832230919,0.000128229624811151,0.370545058923256,0.509441845078697,0.85189016945939,4.22618234437132e-05,0.727220446406514,0.771369100072746,NA,0.344467847669123,0.727220446406514,NA,NA,NA,0.291061978196253,NA,1.07907527058822e-27,0.294265150852079,0.0794552558390232,1.19369398796413e-27,NA,NA,0.292511288353436,0.197943389856917,0.851335405260614,0.479742791066147,NA,NA
"tet(40)",0.303366097302405,1.38252400357857e-41,0.668157527589345,0.306254258891804,0.000300408307923473,0.0193665713059022,0.874435132465923,0.00692859681213773,0.382885444657245,0.397482455575739,NA,0.333574098435007,0.601945178435107,NA,NA,NA,0.00194597004047374,NA,1.05535198057235e-41,0.156017871037469,0.44669502249088,0.419900126919869,NA,NA,0.609335029639011,0.121742534078423,0.00993213330918111,0.558588531284583,NA,NA
"msr(D)",0.587526837811897,0.984600759321761,0.253226651944232,0.24055941481105,0.0851881876055648,0.245466116993669,0.67610380105413,0.208164738521904,0.618926802364489,0.617143768523791,NA,0.519460370226524,0.116542246051888,NA,NA,NA,0.915342826262198,NA,1.06000075947709e-25,0.678070933408205,0.0570146533723341,7.37426230852948e-46,NA,NA,0.182109139900224,0.0518016207260718,0.632743495117847,0.201380876534573,NA,NA
