"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"tet(W)",0.0305741271738167,0.974262297899483,0.559370080698453,0.0876664543865057,0.522877690996361,0.985826881245849,0.979452426410406,0.000238061693603407,0.983505814695947,0.829918977064228,NA,0.522226951911138,3.0534695470092e-61,NA,NA,NA,0.764213946232557,NA,0.431554716852487,0.847588666760256,0.251946277117469,0.973697007958545,NA,NA,0.761668787048764,0.9421094494828,0.0496606665459056,0.313254694159936,NA,NA
"vanS-D",0.279994941774988,6.16548679098495e-19,0.733160882416022,0.85460015324444,0.0661485989755619,0.000152033783113791,0.979452426410406,0.306777495198364,0.983505814695947,0.789446791068571,NA,0.522226951911138,0.983505814695947,NA,NA,NA,0.173560198964772,NA,3.54232292294836e-19,0.509284940437385,0.399905935863284,0.876076600112267,NA,NA,0.544790209114722,0.751526785796596,0.173671545220047,0.5985135374563,NA,NA
"vanR-D",0.413681041776007,1.84421288377198e-24,0.806330635925914,0.881899738521573,0.312411328496806,0.0419069986387884,0.979452426410406,3.50912453494143e-08,0.983505814695947,0.758738705253759,NA,0.522226951911138,0.889015980612908,NA,NA,NA,0.0230750537257536,NA,1.21717141243507e-24,0.847588666760256,0.385773109342809,0.2761183879818,NA,NA,0.797426270426368,0.567151773361272,0.0496606665459056,0.5985135374563,NA,NA
"sul2",0.305978325218627,5.44403760201043e-11,5.25458131672792e-10,0.881899738521573,0.48870650641038,0.478571343529174,0.979452426410406,2.66678852620399e-09,0.983505814695947,0.758738705253759,NA,0.0256303798439544,0.889015980612908,NA,NA,NA,0.681376263947953,NA,0.67925287062983,0.847588666760256,0.357080427257939,1.36100940050262e-10,NA,NA,0.91752372671596,5.31769953672225e-10,0.797395570850601,0.313254694159936,NA,NA
"tet(O)",0.221097783276165,0.910215523010866,0.559370080698453,0.85460015324444,0.48870650641038,0.0977446403800227,0.979452426410406,0.500896981310354,0.983505814695947,0.789446791068571,NA,0.181235973462301,0.983505814695947,NA,NA,NA,0.573074800889246,NA,0.5603630340306,0.814703787517108,0.385773109342809,0.876076600112267,NA,NA,0.484007019014266,0.949627683713682,0.168028386160293,0.380616642851768,NA,NA
"mef(A)",0.722674658771853,0.974262297899483,0.758182968506337,0.85460015324444,0.312411328496806,0.892009443737616,0.979452426410406,0.618975286535359,0.000108025987317088,0.789446791068571,NA,0.522226951911138,0.773207605684186,NA,NA,NA,0.681376263947953,NA,1.96704917391958e-58,0.992795339459085,0.248933493314075,3.93504378578418e-58,NA,NA,0.484007019014266,0.751526785796596,0.919396483107715,0.617686085009672,NA,NA
"aadE",0.413681041776007,4.90175267463646e-49,0.758182968506337,0.558980153836317,0.281654983541089,0.258021897363549,0.979452426410406,0.306777495198364,0.983505814695947,0.969709170642722,NA,0.522226951911138,0.889015980612908,NA,NA,NA,0.0142283359062958,NA,2.13464448615962e-49,0.994763623746693,0.00847008864151425,0.876076600112267,NA,NA,0.484007019014266,0.751526785796596,0.919396483107715,0.755622810108416,NA,NA
"lnu(C)",0.221097783276165,4.47635245486551e-27,0.758182968506337,0.00192344437216726,0.46318132365407,0.587817513552342,0.979452426410406,0.000105654558609283,0.983505814695947,0.829918977064228,NA,0.522226951911138,0.889015980612908,NA,NA,NA,0.436592967294379,NA,3.23722581176466e-27,0.630568180397312,0.23836576751707,5.96846993982067e-27,NA,NA,0.487518813922394,0.567151773361272,0.919396483107715,0.771479030361012,NA,NA
"tet(40)",0.413681041776007,6.91262001789287e-41,0.806330635925914,0.765635647229511,0.00450612461885209,0.0580997139177067,0.979452426410406,0.0115476613535629,0.983505814695947,0.789446791068571,NA,0.522226951911138,0.889015980612908,NA,NA,NA,0.014594775303553,NA,3.95756992714631e-41,0.509284940437385,0.515417333643324,0.876076600112267,NA,NA,0.761668787048764,0.456534502794087,0.0496606665459056,0.617686085009672,NA,NA
"msr(D)",0.722674658771853,0.984600759321761,0.733160882416022,0.721678244433149,0.182546116297639,0.409110194989448,0.979452426410406,0.283861007075324,0.983505814695947,0.789446791068571,NA,0.620444751244369,0.582711230259439,NA,NA,NA,0.915342826262198,NA,2.65000189869272e-25,0.847588666760256,0.217279983973579,5.53069673139711e-45,NA,NA,0.484007019014266,0.388512155445539,0.872837302287096,0.5985135374563,NA,NA
