"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tet(W)",0.0249728037874698,0.67442361648266,0.0562159429117905,0.0095699289593013,0.962513842557165,0.616768183980019,0.429736203433444,0.560631602432133,0.561317629185386,0.0539300618488059,0.0982082965182428,0.748787446061444,NA,0.649716010412681,0.374014087938823,0.117574929321485,0.75495985681694,0.582999037367173,0.613972566958826,0.0154046907598071,0.994866979328261,NA
"vanS-D",0.000814750432264688,0.217622197537627,0.131353727934857,0.799096316440997,0.0022970604762403,8.21034876787552e-05,0.829538518820891,0.0240504264401841,0.488079085494299,0.448639997241261,0.173429621528083,0.983505814695947,NA,0.0251998908011401,2.3615486152989e-19,0.293264352966409,0.510113487908747,0.363193472743148,0.158151694633319,0.122392954208022,0.954423341083616,NA
"vanR-D",0.0181462731736438,0.770326614099305,0.910390151661224,0.757089354430651,0.00667639804607938,0.00379800295640533,0.945648437000588,0.00471960065720941,0.431124025906464,0.0279366914645448,0.193077786089299,0.765648103283853,NA,7.2183476024392e-05,5.68013325803033e-25,0.257182072895206,0.228698056237423,0.691102767702852,0.03609275644199,0.00725013412681107,0.801704548173663,NA
"sul2",0.0218238358763888,0.283301065233484,3.20941822693268e-11,0.782533599083942,0.503333935111609,0.689085124048889,0.774285676889511,0.0372171469077307,0.976845091727385,0.171252531072614,0.345427645251458,3.62935840134028e-11,NA,0.104342265395931,0.67925287062983,0.190442894537568,3.5451330244815e-11,0.856355478268229,3.46100190592724e-11,0.41361421721907,0.233123612553118,NA
"tet(O)",0.0537660933913254,0.307695028342209,0.208542006746732,0.576606676200439,0.539510376828048,0.222341007857347,0.683541181206472,0.427755643136779,0.740653009974714,0.94186966859218,0.118097972906195,0.890811806508144,NA,0.707884466375628,0.52300549842856,0.231837642740024,0.555939639289968,0.0942919210568023,0.926056463830121,0.118660560662684,1.31641789581349e-43,NA
"mef(A)",0.818442953757515,0.844031613757538,0.67073792049248,0.831968976668569,0.112802635019459,0.503005857170217,0.479467667264274,0.161187347327696,0.65567437294762,0.224058526186181,0.532103545796528,0.0493142444058652,NA,0.413106138601596,2.62273223189278e-59,0.09957339732563,0.310213238006305,0.115307888714119,0.272054975964738,0.557628958357789,0.819562193174707,NA
"aadE",0.231793937731103,0.370504809892645,0.162127710102988,0.05990452502667,0.0627403349579544,0.118660173974317,0.849292084091617,0.547135946064883,0.153593637628608,0.545388890471076,0.174488538890317,0.468163610499664,NA,4.60436507997866e-05,4.26928897231924e-50,0.0011293451522019,0.761036268138275,0.225869942206658,0.560518514157247,0.785091986251636,0.54328540071171,NA
"lnu(C)",0.0158913699763322,0.701174099137118,0.116580657221405,3.25719382047301e-06,0.0236740148999476,0.191869777706393,0.479139212442278,0.53540010349002,0.353921764445981,0.45916120748006,0.226459088414651,0.727220446406514,NA,0.0491332902078479,1.07907527058822e-27,0.0794552558390232,0.642019019878297,0.292511288353436,0.30799767281972,0.955972645749545,0.654462152061733,NA
"tet(40)",0.00722969965770236,0.58969773992531,0.770544174411438,0.62375504451262,7.51580501179055e-06,0.000384360117162616,0.504098464344134,0.0242069507630747,0.948807840803605,0.211507760452424,0.623711060047275,0.4020595230182,NA,0.00636754610212022,1.05535198057235e-41,0.44669502249088,0.185445682871713,0.609335029639011,0.587259573331217,0.00652419569327808,0.453779206624701,NA
"msr(D)",0.212756811812918,0.535734231083891,0.9986733034953,0.284028317369422,0.0489285780093264,0.073079932164964,0.309477165276789,0.926140303900565,0.694390954214029,0.292427372308998,0.706853024771699,0.797997550456822,NA,0.660851312472966,1.06000075947709e-25,0.0570146533723341,0.555897034123765,0.182109139900224,0.0605551222400173,0.718312879662724,0.714867676982813,NA
"vanH-D",0.130150023792738,0.170867304253806,0.263486314670752,0.352492532366565,0.00264329596304546,0.00051402875489725,0.857613468345039,0.311385089144901,0.350982325900424,0.534828776409031,0.302681005816704,0.770480516531187,NA,0.0644760715610796,3.82269533636124e-15,0.698819884469125,0.389579245353156,0.203518278609948,0.51382720362316,0.166783682860044,0.806252814651438,NA
"vanZ-A",0.244485894246909,3.66849004113545e-15,0.722560526753817,0.417529608580992,0.00097301376720567,0.00508778177215529,0.384693211947926,0.921889352914611,4.15750292584503e-15,0.251203185974699,0.430612587279893,4.25906493497229e-15,NA,0.096646303093953,2.76052884151852e-70,0.0579413290596209,0.212961100945959,0.155966969542917,0.105223260640295,0.0749476401285327,0.982623302062628,NA
"dfrF",0.230853330805465,0.830753574600509,0.809200727444813,0.715872398991088,0.0411763148994274,0.00508060694878102,0.352246333333488,0.0449300728516689,0.597539314139976,0.38414582818725,0.150322857800336,0.680692183576166,NA,0.33584908970256,4.44946611934811e-24,0.93594389005598,0.41952424626626,0.278467572163923,0.447718477498085,0.813297070818663,0.833395353424704,NA
"erm(B)",0.0585903185595222,0.421847630023199,0.93107669456681,0.109373815037143,0.149693278519915,0.0351677649084103,0.417483859930262,0.174789909663864,0.485614449372093,0.294347827194411,0.601657127733138,0.823105527597914,NA,0.628841317729027,4.29629156645103e-20,0.000187150878751117,0.690406765910108,0.127588004889832,0.057681686653095,0.83511994532542,0.988827697155023,NA
"vanX-D",0.0216975081895461,0.723736443848783,0.517053361882055,0.809038593886834,0.00375784897046218,0.00235181957711523,0.889670780069673,0.439630730574774,0.0412493253594784,0.244517165406503,0.789357388904375,0.660004140481493,NA,0.0009457421097591,4.34681532381276e-19,0.351882470459111,0.473877410161487,0.919664566600755,0.643989822430618,0.114047988124454,0.99739265355687,NA
