"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tet(W)",0.0535131509731496,0.844031613757538,0.421619571838429,0.0717744671947598,0.962513842557165,0.660823054264306,0.945184620645251,0.646882618190922,0.8545996268939,0.404475463866045,0.482694465223248,0.949737147228362,NA,0.707884466375628,0.431554716852487,0.251946277117469,0.761036268138275,0.761668787048764,0.689989095461377,0.0770234537990354,0.99739265355687,NA
"vanS-D",0.0122212564839703,0.844031613757538,0.486383130308963,0.831968976668569,0.00991235986142049,0.00123155231518133,0.945648437000588,0.121034753815373,0.8545996268939,0.573951509350075,0.482694465223248,0.983505814695947,NA,0.0755996724034202,3.54232292294836e-19,0.399905935863284,0.758099508122684,0.544790209114722,0.395379236583298,0.262270616160047,0.99739265355687,NA
"vanR-D",0.0535131509731496,0.844031613757538,0.997582172750154,0.831968976668569,0.0166909951151984,0.0109023895117613,0.945648437000588,0.0707940098581411,0.8545996268939,0.404475463866045,0.482694465223248,0.949737147228362,NA,0.00054137607018294,1.21717141243507e-24,0.385773109342809,0.758099508122684,0.797426270426368,0.227081708400065,0.054376005951083,0.99739265355687,NA
"sul2",0.0535131509731496,0.844031613757538,4.81412734039901e-10,0.831968976668569,0.578046832315765,0.689085124048889,0.945648437000588,0.134790218555007,0.976845091727385,0.490579711990685,0.575712742085763,2.72201880100521e-10,NA,0.173903775659885,0.67925287062983,0.357080427257939,5.31769953672225e-10,0.91752372671596,5.19150285889086e-10,0.68935702869845,0.99739265355687,NA
"tet(O)",0.0976505309325371,0.844031613757538,0.52135501686683,0.831968976668569,0.578046832315765,0.277926259821684,0.945648437000588,0.646882618190922,0.8545996268939,0.94186966859218,0.482694465223248,0.954441221258726,NA,0.707884466375628,0.5603630340306,0.385773109342809,0.758099508122684,0.484007019014266,0.926056463830121,0.262270616160047,1.97462684372024e-42,NA
"mef(A)",0.818442953757515,0.844031613757538,0.997582172750154,0.831968976668569,0.153821775026535,0.580391373657943,0.945184620645251,0.374549806422566,0.8545996268939,0.490579711990685,0.719666607746856,0.246571222029326,NA,0.56332655263854,1.96704917391958e-58,0.248933493314075,0.758099508122684,0.484007019014266,0.577495636536975,0.836443437536683,0.99739265355687,NA
"aadE",0.261949172407402,0.844031613757538,0.486383130308963,0.29952262513335,0.0941105024369317,0.177990260961476,0.945648437000588,0.646882618190922,0.767968188143042,0.584345239790439,0.482694465223248,0.949737147228362,NA,0.00054137607018294,2.13464448615962e-49,0.00847008864151425,0.761036268138275,0.484007019014266,0.689989095461377,0.894771369991521,0.99739265355687,NA
"lnu(C)",0.0535131509731496,0.844031613757538,0.486383130308963,4.88579073070952e-05,0.0507300319284592,0.261640605963263,0.945184620645251,0.646882618190922,0.8545996268939,0.573951509350075,0.485269475174252,0.949737147228362,NA,0.12283322551962,3.23722581176466e-27,0.23836576751707,0.761036268138275,0.487518813922394,0.577495636536975,0.955972645749545,0.99739265355687,NA
"tet(40)",0.0535131509731496,0.844031613757538,0.997582172750154,0.831968976668569,0.000112737075176858,0.00257014377448625,0.945184620645251,0.121034753815373,0.976845091727385,0.490579711990685,0.719666607746856,0.949737147228362,NA,0.0238782978829508,3.95756992714631e-41,0.515417333643324,0.758099508122684,0.761668787048764,0.689989095461377,0.054376005951083,0.99739265355687,NA
"msr(D)",0.261949172407402,0.844031613757538,0.9986733034953,0.831968976668569,0.081547630015544,0.121799886941607,0.945184620645251,0.926140303900565,0.8545996268939,0.490579711990685,0.757342526541106,0.949737147228362,NA,0.707884466375628,2.65000189869272e-25,0.217279983973579,0.758099508122684,0.484007019014266,0.227081708400065,0.894771369991521,0.99739265355687,NA
"vanH-D",0.195225035689106,0.844031613757538,0.564613531437326,0.831968976668569,0.00991235986142049,0.00257014377448625,0.945648437000588,0.583847042146689,0.8545996268939,0.584345239790439,0.56752688590632,0.949737147228362,NA,0.138163010488028,4.77836917045154e-15,0.748735590502634,0.758099508122684,0.484007019014266,0.689989095461377,0.312719405362582,0.99739265355687,NA
"vanZ-A",0.261949172407402,5.50273506170318e-14,0.997582172750154,0.831968976668569,0.00729760325404252,0.0109023895117613,0.945184620645251,0.926140303900565,6.23625438876755e-14,0.490579711990685,0.64591888091984,6.38859740245843e-14,NA,0.173903775659885,4.14079326227777e-69,0.217279983973579,0.758099508122684,0.484007019014266,0.315669781920886,0.262270616160047,0.99739265355687,NA
