"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tet(W)",0.00388670380527475,0.070719381090106,0.0511199296372191,0.001629264922489,0.0172533162797483,0.0255135670719,0.0136415334807126,0.705547928526122,0.561317629185386,0.248430483356624,0.101263001889893,0.748787446061444,NA,0.089983670169079,0.370445374107427,0.0584722771874302,0.395975984008694,0.668517574613085,0.364036879878918,0.194850704074263,0.0108686555681912,0.940385393497716,0.0281503308675778
"vanS-D",0.310335752707545,0.604787231224724,0.425535725554362,0.510734841310342,0.433132782481249,0.0343225745487582,0.185219459831509,0.00754011467367106,0.488079085494299,0.309816383199284,0.142701306157083,0.983505814695947,NA,0.00142275821739264,0.687820173806174,0.0790568583066209,0.888807122317092,0.504834769515277,0.79660411665594,0.635254037768345,0.514134636030472,0.954799021860976,3.46375145966413e-32
"vanR-D",0.93373365830543,0.50948242199812,0.585537949007962,0.517124484282503,0.200357256903127,0.02621130512809,0.186186606381389,0.00690093875781635,0.431124025906464,0.00823536638115673,0.189454584801537,0.765648103283853,NA,1.50943822556535e-05,0.88549017948322,0.0629783025706392,0.394087885585444,0.49346788564697,0.211528687283554,0.960666344039215,0.309642608953346,0.858309096285576,0.0890308957022298
"sul2",0.0117429960796943,0.0463971792989817,0.19031288013861,0.565384805332329,0.639662140412746,0.913581363876394,0.653854255620184,0.106601418768685,0.976845091727385,0.0249357318056212,0.264077573775601,3.62935840134028e-11,NA,0.0160395866511672,0.907872354212886,0.577521516081341,0.962724533075211,0.774285676889511,0.94631481547439,0.884866420505364,0.431664440551084,0.157156552264154,3.58723538735129e-11
"tet(O)",0.0343597432083443,0.978497991792408,0.486217931412226,0.997837075005453,0.459488298845391,0.825989428121115,0.155410015639571,0.581813365152424,0.740653009974714,0.248250055020795,0.145703278882941,0.890811806508144,NA,0.207709321392973,0.40901833648456,0.938043455445714,0.684076336616891,0.215625321302675,0.030831789481545,0.23005316164122,0.157108911591904,0.0578317109305222,0.0963005711850479
"mef(A)",0.195729864477795,0.851304366514302,0.251192518294631,0.572310017519858,0.252997023381911,0.762744742675495,0.986165099303064,0.107994248191609,0.65567437294762,0.943057280384745,0.676902948952194,0.0493142444058652,NA,0.0228691099974744,0.0955798083790636,0.257575175708984,0.0850702837110821,0.934763693350543,0.0187057750767857,0.0875531196986322,0.298206553292302,0.531467719859135,0.000270435067873994
"aadE",0.726642801162833,0.339613584190336,0.153951023577193,0.00470209711218917,4.38021050720944e-06,0.00097235882031131,0.407682505029248,0.0630196681933322,0.153593637628608,0.0232761146977838,0.106817632106871,0.468163610499664,NA,5.06603804921116e-10,0.0715371509176835,4.54676879816371e-06,0.541790861354752,0.779677355939238,0.105640600474771,0.671883034482817,0.921440745749359,0.14901265487871,1.9351863799525e-05
"lnu(C)",0.00502639548453329,0.295857117113871,0.821337763733488,0.000889290178428336,0.083282718986936,0.740979435245897,0.0494035017978681,0.434349095834467,0.353921764445981,0.645558344596388,0.181019705295599,0.727220446406514,NA,0.00819121035571848,0.555901298524807,0.169157721452686,0.0511634453000517,0.789959511671288,0.271658415656066,0.34458338767041,0.643667211374447,0.47567120363211,0.0977555431223481
"tet(40)",0.277938269784027,0.0251086838906249,0.042988045775018,0.347442607003159,4.21329924583938e-08,0.000815249592128083,0.43340541106214,0.00604260001715481,0.948807840803605,0.00127614589550402,0.466389991702854,0.4020595230182,NA,0.000215181831357545,0.119940260757489,0.408728746812227,0.603857732112311,0.92362972207951,0.793850311566298,0.258637510407828,0.0258390902061265,0.0785081017557701,0.868449363330887
"msr(D)",0.0607038283113538,0.513725889575116,0.578728254018874,0.0660066528186942,0.590453961371012,0.64237153440119,0.624203913098543,0.56865427619673,0.694390954214029,0.822413122043103,0.579331582673871,0.797997550456822,NA,0.00563694228752499,0.13702750256297,0.0857802055385418,0.0722509578981151,0.89800767992957,0.08756871869566,0.157484442762256,0.843173740801573,0.389783885913048,0.276068986026587
