"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tet(W)",0.0376979661339997,0.265197679087897,0.383399472279143,0.0122194869186675,0.0646999360490562,0.0561670824173357,0.204623002210689,0.772571509548558,0.8545996268939,0.372645725034935,0.405974110289009,0.949737147228362,NA,0.119082161889379,0.681697227474267,0.183814726154018,0.905786598168467,0.934763693350543,0.496413927107615,0.64659377601957,0.112904823420236,0.954799021860976,0.0469172181126297
"vanS-D",0.517226254512575,0.824709860760988,0.638303588331544,0.715387521899822,0.626574952970988,0.0643548272789215,0.349099886965104,0.0282754300262665,0.8545996268939,0.422476886180842,0.405974110289009,0.983505814695947,NA,0.00426827465217791,0.907872354212886,0.183814726154018,0.971281906513178,0.934763693350543,0.853504410702793,0.960666344039215,0.936679331661942,0.954799021860976,1.73187572983206e-31
"vanR-D",0.969030726344276,0.770588834362673,0.675620710393802,0.715387521899822,0.375669856693364,0.0561670824173357,0.349099886965104,0.0282754300262665,0.8545996268939,0.0617652478586755,0.405974110289009,0.949737147228362,NA,0.000113207866917401,0.907872354212886,0.183814726154018,0.905786598168467,0.934763693350543,0.420854935464471,0.960666344039215,0.774106522383365,0.954799021860976,0.122194428902935
"sul2",0.0587149803984714,0.231985896494908,0.436736057977217,0.715387521899822,0.68535229329937,0.971628678325247,0.75444721802329,0.179990413652681,0.976845091727385,0.0935089942710796,0.495145450829252,2.72201880100521e-10,NA,0.026732644418612,0.907872354212886,0.666370980093855,0.971281906513178,0.934763693350543,0.94631481547439,0.960666344039215,0.924995229752322,0.495086326340298,1.07617061620539e-10
"tet(O)",0.128849037031291,0.978497991792408,0.663024451925763,0.997837075005453,0.626574952970988,0.953064724755133,0.349099886965104,0.727266706440529,0.8545996268939,0.372645725034935,0.405974110289009,0.954441221258726,NA,0.239664601607276,0.681697227474267,0.938043455445714,0.932831368113943,0.934763693350543,0.231238421111588,0.64659377601957,0.58915841846964,0.495086326340298,0.122194428902935
"mef(A)",0.419421138166704,0.978497991792408,0.436736057977217,0.715387521899822,0.421661705636518,0.953064724755133,0.986165099303064,0.179990413652681,0.8545996268939,0.943057280384745,0.676902948952194,0.246571222029326,NA,0.0343036649962115,0.342568756407425,0.386362763563475,0.425351418555411,0.934763693350543,0.231238421111588,0.64659377601957,0.774106522383365,0.885779533098559,0.000579503716872843
"aadE",0.83843400134173,0.727743394693578,0.436736057977217,0.0235104855609459,3.28515788040708e-05,0.00729269115233483,0.65010811659321,0.157549170483331,0.767968188143042,0.0935089942710796,0.405974110289009,0.949737147228362,NA,7.59905707381674e-09,0.342568756407425,6.82015319724556e-05,0.905786598168467,0.934763693350543,0.39615225178039,0.960666344039215,0.936679331661942,0.495086326340298,4.83796594988124e-05
"lnu(C)",0.0376979661339997,0.727743394693578,0.880004746857309,0.0122194869186675,0.249848156960808,0.953064724755133,0.247017508989341,0.651523643751701,0.8545996268939,0.744875012995832,0.405974110289009,0.949737147228362,NA,0.0153585194169721,0.833851947787211,0.281929535754477,0.425351418555411,0.934763693350543,0.420854935464471,0.66719993070823,0.936679331661942,0.885779533098559,0.122194428902935
"tet(40)",0.517226254512575,0.188315129179687,0.383399472279143,0.715387521899822,6.31994886875907e-07,0.00729269115233483,0.65010811659321,0.0282754300262665,0.976845091727385,0.0191421884325603,0.676902948952194,0.949737147228362,NA,0.00107590915678772,0.342568756407425,0.510910933515284,0.905786598168467,0.934763693350543,0.853504410702793,0.64659377601957,0.129195451030632,0.495086326340298,0.868449363330887
"msr(D)",0.182111484934061,0.770588834362673,0.675620710393802,0.198019958456083,0.681293032351167,0.953064724755133,0.75444721802329,0.727266706440529,0.8545996268939,0.881156916474754,0.676902948952194,0.949737147228362,NA,0.0120791620446964,0.342568756407425,0.183814726154018,0.425351418555411,0.934763693350543,0.39615225178039,0.64659377601957,0.936679331661942,0.87984778156561,0.318541137722984
"vanH-D",0.631243691590229,0.141412968723985,0.436736057977217,0.533489377845992,0.322541025464808,0.0238282760238614,0.247017508989341,0.0702918488686421,0.8545996268939,0.610633283573141,0.676902948952194,0.949737147228362,NA,0.0120791620446964,5.45750728583963e-14,0.492194570329114,0.905786598168467,0.934763693350543,0.420854935464471,0.960666344039215,0.936679331661942,0.495086326340298,8.42120202454276e-60
"vanZ-A",0.597127315873199,0.770588834362673,0.937968087399336,0.808043794152003,0.00299990150867764,0.0177321369425421,0.349099886965104,0.840984384418325,6.23625438876755e-14,0.311939947230479,0.676902948952194,6.38859740245843e-14,NA,0.119082161889379,0.342568756407425,0.0250780447982888,0.971281906513178,0.934763693350543,0.420854935464471,0.519303625355769,0.112904823420236,0.87984778156561,1.55906359719189e-14
"dfrF",0.969030726344276,0.978497991792408,0.436736057977217,0.715387521899822,0.680661434944153,0.308783274595678,0.75444721802329,0.0282754300262665,0.8545996268939,0.311939947230479,0.405974110289009,0.949737147228362,NA,0.258487774643246,0.907872354212886,0.759498189998976,0.905786598168467,0.934763693350543,0.853504410702793,0.960666344039215,0.936679331661942,0.950894667174413,0.431970770939515
"erm(B)",0.419421138166704,0.978497991792408,0.436736057977217,0.0237138021620755,0.885314216710828,0.971628678325247,0.986165099303064,0.772571509548558,0.8545996268939,0.311939947230479,0.676902948952194,0.949737147228362,NA,0.801154025711419,0.681697227474267,0.0156836784042055,0.971281906513178,0.934763693350543,0.420854935464471,0.66719993070823,0.936679331661942,0.954799021860976,0.0377181902520314
"vanX-D",0.602302735157975,0.644015125309942,0.436736057977217,0.808043794152003,0.322541025464808,0.0342378233957012,0.349099886965104,0.179669106943747,0.309369940196088,0.300550132285168,0.676902948952194,0.949737147228362,NA,0.00180455254458426,0.907872354212886,0.20220368708797,0.905786598168467,0.934763693350543,0.420854935464471,0.960666344039215,0.936679331661942,0.954799021860976,1.22097268692034e-36
