"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"Croceicoccus sp. Ery15",0.00668897532692267,2.15763582809325e-12,2.06329178563419e-12,0.609456061479043,1.98141889806872e-05,1.79609370925469e-08,0.618018520725132,2.15763582809325e-12,0.701248293127835,0.781035520350932,NA,0.0171308190979431,0.649494674602144,NA,NA,NA,4.76848791585142e-06,NA,0.939561034815944,0.962357513706795,2.06329178563417e-12,0.187348945133566,NA,NA,0.316553017027421,2.09462806876683e-12,1.87780641837727e-12,0.595498648180929,NA,NA
"Agromyces laixinhei",0.147457399070203,0.711309859507577,0.430458349855695,0.189883748834291,0.618324161962484,0.0454733183404336,1.17316219296787e-16,1.17316219296787e-16,0.787978931625996,0.799777278905223,NA,0.311139768212768,1.17316219296787e-16,NA,NA,NA,0.484418376019488,NA,1.13864617479454e-16,0.650000064052749,1.07145471113712e-16,1.17316219296787e-16,NA,NA,0.701668132819962,0.585521329149631,0.00560499130037645,0.521212896504618,NA,NA
"Serratia grimesii",0.468292222436942,6.36764589315246e-12,6.11360568069274e-12,0.0983121935278095,0.126581385073798,0.0965602970192218,6.36764589315246e-12,6.36764589315246e-12,6.36764589315246e-12,0.00663508338593423,NA,0.357423383796925,0.665962180164182,NA,NA,NA,0.004877567338294,NA,6.28277343149798e-12,0.013739910693661,0.884070682572825,6.36764589315246e-12,NA,NA,5.94525530492687e-12,6.19809099700382e-12,5.61124398737459e-12,0.72717369303626,NA,NA
"Paenibacillus uliginis",0.00552218218728885,0.617534094696863,0.479258012089408,0.0302864983404555,4.03767205112374e-07,1.4408322462585e-05,3.6988294255765e-33,0.892866901952425,0.0668576071489133,0.0547159502165171,NA,0.0280624784860544,0.976428729863791,NA,NA,NA,0.0613062704674836,NA,3.17608504232452e-33,0.00318726178189015,0.262560688649901,0.719054443030828,NA,NA,0.510587356557647,0.153647948452997,0.0310579071030269,0.77555327195044,NA,NA
"Babesia bovis",0.148647221042831,0.243815204143246,0.144292196122729,0.109916435596728,1.0872144117577e-07,1.92842863980666e-05,0.939126752535767,0.227836839267437,0.194551334069255,0.994193158220503,NA,0.284892650036748,0.945966516703068,NA,NA,NA,0.130879229988378,NA,5.83045352670925e-25,0.871476655690046,0.927021410778686,6.29909303581458e-25,NA,NA,0.0875837609064184,0.637101917061131,0.00793953328476726,0.448639689990843,NA,NA
"Paenibacillus sp. FSL H7-0737",0.215078638852203,1.34404577831313e-57,0.214410482280808,0.429817270824223,4.95252853636105e-07,1.48438744016093e-06,0.342877638305802,0.0351093243592446,0.306407536736463,0.396566728315156,NA,0.165425007570705,0.790731890986469,NA,NA,NA,0.112174338139624,NA,0.219116187467338,0.496532261661015,0.142545544301496,0.151753899593529,NA,NA,0.155163449289398,0.136645553237556,0.0142893721235401,0.553039941936535,NA,NA
"Nitratireductor kimnyeongensis",0.00110363821060296,6.5472627814333e-16,0.425598330380523,5.23513359135532e-16,0.00212708509054244,0.0402177527987787,0.0297701305529755,0.672134634153904,0.0171682122913144,0.303002339695348,NA,0.0794412359313106,0.77069649897933,NA,NA,NA,0.00979103530305677,NA,6.37421243134627e-16,0.2444502863941,6.03583909486692e-16,0.683137840580176,NA,NA,0.647014957547475,6.20373652276171e-16,0.879850320391216,0.033525622408645,NA,NA
"Geomonas sp. RF6",0.00161833030156027,2.31885407602494e-29,0.0721256943552326,0.0137160823887533,2.85129511091389e-06,0.000597300457994646,2.31885407602494e-29,5.98668835964375e-12,0.00547239761874872,0.829678397452753,NA,0.121359988279413,0.944617589938261,NA,NA,NA,7.8082437314619e-06,NA,0.501946026230824,0.17804319560531,1.63899095593386e-29,0.941641776175893,NA,NA,0.0722693356371086,0.179070009423869,0.00709485214495778,0.377783011820065,NA,NA
"Massilia oculi",0.404755270616258,6.2017522602741e-14,5.844808484648e-14,0.707275540771,0.00314837516566366,0.00172496116118722,0.706530705385048,0.673880221412781,0.734421449465314,0.419052051256576,NA,0.477275945518147,0.624191858206575,NA,NA,NA,0.189580772863001,NA,6.08180644176243e-14,0.0199498019017299,0.51839093852495,6.2017522602741e-14,NA,NA,5.61174435945866e-14,5.96282139721191e-14,0.181771953257524,0.545031206263081,NA,NA
"Enterococcus raffinosus",0.00189061778824549,0.883199600482762,0.900342005408995,0.70331587192271,0.181337901844199,0.11169627090169,0.101393276554688,0.375770449746594,0.651868020420368,0.723470693944317,NA,0.00304156379761905,0.25636614208398,NA,NA,NA,0.626114747148548,NA,0.0110986568697515,0.922515531717546,0.0403522424944692,0.6110901435726,NA,NA,0.0177697711918251,0.753652924141264,0.704664290829092,0.62486580222349,NA,NA
"Rubinisphaera brasiliensis",0.686035034397619,2.44441113071913e-28,0.701277303389719,0.320055171030328,3.22112060946513e-06,4.75517029645121e-05,0.84409949587502,7.37038883657254e-53,0.853520915095941,0.245644706098453,NA,0.676954077178225,2.77720654587381e-29,NA,NA,NA,0.000822935530448394,NA,0.358932857540008,0.470514537938875,0.0807526198527945,0.923125217104961,NA,NA,0.663649253263868,0.427000432365032,0.00145526233522094,0.385301297071739,NA,NA
"Paracholeplasma brassicae",0.18956304519499,4.8731102009836e-34,2.97139417042174e-34,0.0774967298292033,2.16791471163741e-10,3.94467367346127e-07,0.781539389639562,0.317297077985986,0.8540536833502,0.142599061796459,NA,0.253607149557911,0.922705240785389,NA,NA,NA,0.128375407759428,NA,4.14319630856781e-34,0.556289679107324,0.733155708550176,0.857453773675663,NA,NA,0.351229103955744,3.51341648350064e-34,0.0776186697617915,0.466194067811101,NA,NA
"Dietzia sp. oral taxon 368",0.152991973416168,0.734252993073595,2.98638109602693e-15,0.355940118241841,0.0813206184460218,0.0722459701417111,3.21312655191904e-15,0.0548028654025523,0.716802994066498,0.362897291599414,NA,0.309183880227335,3.21312655191904e-15,NA,NA,NA,0.901786432810829,NA,3.13659886968582e-15,0.226734345502101,2.9863810960269e-15,3.21312655191904e-15,NA,NA,0.550103013306567,3.06101550888173e-15,2.55874228205401e-15,0.441102198348474,NA,NA
"Pedobacter sp. D749",0.604631407836064,4.87106436005175e-31,0.187853763267043,0.0357730788715417,0.0852168492374353,0.0255641943616165,0.827361806517959,4.87106436005175e-31,0.755242985351422,0.683494893894509,NA,0.947014523554979,4.87106436005175e-31,NA,NA,NA,0.0530812799820334,NA,4.2768896944831e-31,0.0688875511286619,3.27731560813611e-31,0.18095307113151,NA,NA,0.200221193042332,0.0107136780004442,0.43119814910254,0.493301531897241,NA,NA
"Bradyrhizobium sp. 41S5",0.539041709087514,0.829446859439161,2.01891722435166e-14,0.0541024133530157,0.139247102294716,0.000196343449826411,0.675736118302348,0.636017531205213,2.15248636769864e-14,0.183784455956597,NA,0.083968165964256,2.15248636769864e-14,NA,NA,NA,0.652642657847669,NA,2.10753499225657e-14,0.633513940400862,0.874136752250913,5.87922421184366e-13,NA,NA,0.75088093252211,2.06301064019164e-14,0.0992753507513763,0.255779334159118,NA,NA
"Asticcacaulis sp. AND118",0.954526108482698,4.5402429096887e-14,0.545286317843218,0.897306851130146,0.444914651949417,0.441410213144036,0.68724103591432,0.650990376874395,0.719337311355883,0.983893717051905,NA,0.478507182073271,4.5402429096887e-14,NA,NA,NA,0.118155993264946,NA,4.45039744037786e-14,0.985779093045227,0.644936492083742,4.5402429096887e-14,NA,NA,4.09868396249955e-14,0.891946513535602,0.0835130624610634,0.0967914287902856,NA,NA
"Paracoccus sanguinis",0.504090029472235,5.91849765864317e-15,5.51737948389121e-15,4.88019584659371e-15,0.12294299959308,0.219767536265191,0.0929884979777487,2.66477605915782e-33,0.0389791454756437,0.648435585277945,NA,0.694643887239492,5.91849765864317e-15,NA,NA,NA,0.762580001846355,NA,5.78324590382743e-15,0.17382797779972,5.51737948389121e-15,0.73924929593704,NA,NA,0.971038955075193,0.642577988279677,0.354029626428363,0.723253457499115,NA,NA
"Methylobacterium radiodurans",0.0969037790839337,0.960621829301781,0.242166757133837,0.299653578185579,0.00182175761115282,0.0686261493675256,0.760403361201338,0.942106502133351,0.993185117130019,0.944268439562862,NA,0.881980952353618,0.747271521997855,NA,NA,NA,0.13514705003528,NA,0.954954279329049,0.504561502335458,0.509656479908561,3.371664525928e-23,NA,NA,0.452142303869408,0.581484414344644,0.680060328003718,0.899209794963833,NA,NA
"Nostoc linckia",0.020575756468652,2.75807772971165e-47,0.226561420001847,0.81489690523286,1.10495258381139e-06,1.66061797730852e-06,0.974319001895682,0.180946638877389,0.110182025128843,0.496931297056118,NA,0.265021964719446,0.0239364743517204,NA,NA,NA,0.00358253322496342,NA,0.153668415940604,0.281483639445824,0.631633612979574,0.207420165915001,NA,NA,0.152821611893542,0.340613092855883,0.0232612422432168,0.354046961616101,NA,NA
"Mesorhizobium amorphae",0.417729604922643,2.49212487240432e-23,2.03819167150348e-23,0.00318374730246774,0.00186452912941438,0.00116571809126658,0.969448224375389,2.49212487240432e-23,0.976527282376589,0.324019400922734,NA,0.604503392963509,0.926826733019428,NA,NA,NA,0.444579488303352,NA,2.33266586042147e-23,0.281343751820897,0.232314524651878,2.49212487240432e-23,NA,NA,0.074255651395394,0.46483859966057,0.35789470044083,0.511356627358005,NA,NA
"Exiguobacterium sibiricum",0.193101244369921,5.16709284826292e-40,0.0361941553068283,0.0473187585080331,3.28907518248109e-09,6.51213707925255e-09,0.304329327423043,0.690669205128111,0.780509584224339,0.480107680145019,NA,0.0138783099871943,0.000122044825657322,NA,NA,NA,0.0600814719535173,NA,0.451614092707881,0.920795590303834,0.573242453343665,0.856771901465774,NA,NA,0.373626338222765,0.650865249669991,0.00740384619144914,0.972301469809452,NA,NA
"Clostridium sp. BNL1100",0.0210900281913756,0.345618165260662,0.218631787534005,0.471620450392997,6.31195816316522e-10,1.92777975033476e-07,0.821646361739812,0.136251691916763,0.000848811260839462,0.727759498602317,NA,0.130781392846286,0.126268103132588,NA,NA,NA,0.00475241991966207,NA,0.222372162574743,0.447518830333126,0.527076390596648,0.302764992307191,NA,NA,0.892519719438792,0.396771030688133,0.0189357687003956,0.73343707780392,NA,NA
"Brevibacterium casei",0.56878232074728,0.800562267978221,8.41129942754292e-29,0.208502533094603,0.0894870448481319,0.0979967124602501,0.931572698606691,1.16711166865339e-28,0.98248888840049,0.839184600430502,NA,0.446166736626655,0.854483280324794,NA,NA,NA,0.891352175204411,NA,0.552030308818141,0.317755982948124,0.509866487851244,1.16711166865339e-28,NA,NA,0.185905784049536,0.161486599242868,8.51550340307569e-06,0.374428269371613,NA,NA
"Micromonospora echinaurantiaca",0.0321812896578824,0.817919539025109,2.20521991297557e-21,0.627111028053209,0.00812848566224567,0.00264335048871575,0.814489798757991,2.59405573913686e-21,0.858501927269511,0.386888302807995,NA,0.723554224656649,0.876696163041019,NA,NA,NA,0.126855105695103,NA,0.761718130404129,0.359039211192458,2.20521991297557e-21,2.59405573913686e-21,NA,NA,0.0801011044918914,2.32953322957724e-21,0.0250940573349682,0.388725478724374,NA,NA
