"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"Croceicoccus sp. Ery15",0.0535118026153814,3.6571388352753e-12,6.18237247768209e-12,0.844127366994697,5.05700186020369e-05,3.63504158420387e-07,0.99912194136074,9.55122291361616e-12,0.966940133085553,0.998028694704712,NA,0.284990236643124,0.999918319291581,NA,NA,NA,0.000171903989366444,NA,0.964818951187176,0.999185423857796,7.75819232042888e-12,0.492530717733178,NA,NA,0.650241382554901,7.54170705408682e-12,1.70034339422294e-11,0.999994515808782,NA,NA
"Agromyces laixinhei",0.31076003084616,0.871399809598675,0.535335006892551,0.500923576258522,0.629566419452711,0.0536490284695482,5.81340165724972e-16,8.74263505043757e-16,0.966940133085553,0.998028694704712,NA,0.686817521259565,7.96094062239844e-16,NA,NA,NA,0.598955025269112,NA,3.29704374307978e-16,0.96602089671156,6.45109684116799e-16,6.06887850137998e-16,NA,NA,0.8641806450272,0.776923631593069,0.0184292323302817,0.999994515808782,NA,NA
"Serratia grimesii",0.622949616931799,1.05330030145407e-11,1.7658125972076e-11,0.36537676048222,0.138648201501266,0.10808457077564,2.00702631211494e-11,2.67506056166813e-11,4.04054802108948e-11,0.166110168567275,NA,0.718834755139702,0.999918319291581,NA,NA,NA,0.0242532831097239,NA,1.26268422135472e-11,0.331597509962496,0.939726758607396,2.09757747068552e-11,NA,NA,6.10182074712067e-11,2.14718251475784e-11,4.78781883419773e-11,0.999994515808782,NA,NA
"Paenibacillus uliginis",0.0488791599583872,0.810452026896816,0.580869975568756,0.198064084385201,1.82804492864064e-06,5.33422361772724e-05,9.56719646938351e-32,0.962087855494412,0.183199371988091,0.998028694704712,NA,0.346178256572787,0.999918319291581,NA,NA,NA,0.134445640056533,NA,4.545820973729e-32,0.156525339500289,0.491066813272578,0.999640773265629,NA,NA,0.756892282864176,0.380524416778397,0.0606849621172965,0.999994515808782,NA,NA
"Babesia bovis",0.312147357150092,0.365933300267038,0.255076262158359,0.38869823759686,6.13006131673353e-07,6.75770133317424e-05,0.99912194136074,0.353554718561899,0.377362947451659,0.998028694704712,NA,0.668462908633889,0.999918319291581,NA,NA,NA,0.227032057818318,NA,3.736672882451e-24,0.993091876077185,0.96308708526143,7.86432221441093e-24,NA,NA,0.420985944090184,0.810854722807455,0.023467896151753,0.999994515808782,NA,NA
"Paenibacillus sp. FSL H7-0737",0.384673981054111,5.38365003424315e-56,0.334067979955619,0.72974462308836,2.15268911814096e-06,8.59994106374913e-06,0.79013912015496,0.0861380616351012,0.512129432598065,0.998028694704712,NA,0.56795595280102,0.999918319291581,NA,NA,NA,0.204043387697683,NA,0.348162000994616,0.946429619762238,0.32874957998042,0.410946710260787,NA,NA,0.535276779606008,0.348843183832314,0.0351360795279421,0.999994515808782,NA,NA
"Nitratireductor kimnyeongensis",0.021871967713754,1.35941726865757e-15,0.531601764213507,1.79739586636533e-14,0.00315075161845116,0.0478597066522293,0.0847552384153814,0.884313379996382,0.0589793022610491,0.998028694704712,NA,0.449583640459234,0.999918319291581,NA,NA,NA,0.0383399128499874,NA,1.73100081468952e-15,0.861851620978711,3.29684847530231e-15,0.999640773265629,NA,NA,0.835830296782494,3.29798638371332e-15,0.891911537437,0.999994515808782,NA,NA
"Geomonas sp. RF6",0.0267465019467038,1.10356025664289e-28,0.155871489337198,0.118442653234141,9.58407354297864e-06,0.00117745353442007,4.19283708793475e-28,2.52421187561587e-11,0.0207254034569551,0.998028694704712,NA,0.528066212715372,0.999918319291581,NA,NA,NA,0.000260334970191169,NA,0.626672008506363,0.812566265330076,5.87186325082391e-28,0.999640773265629,NA,NA,0.38928941872258,0.418168345893472,0.0217676101979343,0.999994515808782,NA,NA
"Massilia oculi",0.570116825620165,1.14542769891966e-13,2.00433147083529e-13,0.890113729269685,0.00448723201273733,0.00293238313519831,0.99912194136074,0.884601983866391,0.966940133085553,0.998028694704712,NA,0.790141923014802,0.999918319291581,NA,NA,NA,0.299261603140064,NA,1.39704737379871e-13,0.38744261740464,0.7205009478101,2.41700723224737e-13,NA,NA,7.85644210324213e-13,2.48867972641956e-13,0.23465994323845,0.999994515808782,NA,NA
"Enterococcus raffinosus",0.0286771795375155,0.945840195986738,0.922246969845335,0.887492003773833,0.195104834515452,0.124063949655488,0.274571088811005,0.537827283905299,0.954308310097635,0.998028694704712,NA,0.162442036895062,0.63986149179593,NA,NA,NA,0.724168811219736,NA,0.0207982627760646,0.994406575770287,0.120160936865306,0.999640773265629,NA,NA,0.148115665078681,0.884052906003884,0.733003359693815,0.999994515808782,NA,NA
"Rubinisphaera brasiliensis",0.791885146769155,1.09637351492908e-27,0.764499619344528,0.632940879331496,1.06411361256557e-05,0.000143601163716914,0.99912194136074,3.54270023411254e-50,0.976056530863706,0.998028694704712,NA,0.877647130357947,9.31332985848846e-28,NA,NA,NA,0.0078587618205734,NA,0.494409169510852,0.940676258960152,0.214349337924951,0.999640773265629,NA,NA,0.844830918743322,0.663152144402733,0.0068132736603526,0.999994515808782,NA,NA
"Paracholeplasma brassicae",0.357320145321797,3.08541159596854e-33,1.80410542894659e-32,0.326875482758827,5.23929734531157e-09,3.15760233159489e-06,0.99912194136074,0.463803736903996,0.976056530863706,0.998028694704712,NA,0.648406932025723,0.999918319291581,NA,NA,NA,0.224180851334054,NA,6.54738528981345e-33,0.959966405996324,0.857777307691159,0.999640773265629,NA,NA,0.673724466783083,2.20275937791649e-32,0.119592612195193,0.999994515808782,NA,NA
"Dietzia sp. oral taxon 368",0.31649527531139,0.883431636222048,1.17901753332535e-14,0.666578766889265,0.0912740469345503,0.0822733969945488,1.37589561629317e-14,0.124400994742984,0.966940133085553,0.998028694704712,NA,0.685895328545351,1.8331665629544e-14,NA,NA,NA,0.932588455169149,NA,8.04442075604617e-15,0.845477137611949,1.51100404928799e-14,1.42893708184032e-14,NA,NA,0.781552629762951,1.48869624411719e-14,3.59095510532543e-14,0.999994515808782,NA,NA
"Pedobacter sp. D749",0.732590561536414,2.57527948934725e-30,0.303342806977689,0.218811366840989,0.0953133190617659,0.0317447304796134,0.99912194136074,2.11250370141192e-29,0.966940133085553,0.998028694704712,NA,0.983355084139703,2.14475566631897e-29,NA,NA,NA,0.121641963820567,NA,4.94370736628828e-30,0.604358015017012,1.57529636897742e-29,0.477682981366842,NA,NA,0.581508480094748,0.0348738683445609,0.480423203404182,0.999994515808782,NA,NA
"Bradyrhizobium sp. 41S5",0.682819002288104,0.919751522406065,7.30101225709114e-14,0.275187583968426,0.151800658861448,0.000467592493228216,0.99912194136074,0.858340926530573,1.90130801973748e-13,0.998028694704712,NA,0.463472135197922,1.11851724044016e-13,NA,NA,NA,0.74469690414745,NA,5.0503788264794e-14,0.964947999533876,0.93557004057531,2.08685324639472e-12,NA,NA,0.890985644679599,9.07661737042363e-14,0.145150880388831,0.999994515808782,NA,NA
"Asticcacaulis sp. AND118",0.971538131944274,8.46142846626314e-14,0.637973931302166,0.967775975564451,0.458917688205336,0.455955248820702,0.99912194136074,0.867786571252949,0.966940133085553,0.998028694704712,NA,0.79064386884866,2.24405493599695e-13,NA,NA,NA,0.211850720905257,NA,1.03507630790724e-13,0.999185423857796,0.802234432912364,1.79863469114591e-13,NA,NA,5.89556336551058e-13,0.953613992599324,0.126730687786218,0.999994515808782,NA,NA
"Paracoccus sanguinis",0.6542604934763,1.16233893411828e-14,2.1159737275987e-14,1.2971875411591e-13,0.134893517529558,0.23426707617402,0.253237798081045,1.43648862703012e-31,0.119084592745505,0.998028694704712,NA,0.884677840935613,3.24504700523325e-14,NA,NA,NA,0.828979637136034,NA,1.44593681722049e-14,0.812566265330076,2.68785851884159e-14,0.999640773265629,NA,NA,0.989650240528102,0.814686819692512,0.405864084648814,0.999994515808782,NA,NA
"Methylobacterium radiodurans",0.241338945490557,0.979254700841599,0.360655268563896,0.613125874059744,0.00274700416299451,0.0783212563418852,0.99912194136074,0.981694363569679,0.998691286464296,0.998028694704712,NA,0.957186701019053,0.999918319291581,NA,NA,NA,0.232140614831296,NA,0.973692112987441,0.947328337950176,0.71502793628154,3.50410107847797e-22,NA,NA,0.723628415293769,0.774238712359166,0.711774264548257,0.999994515808782,NA,NA
"Nostoc linckia",0.102287199343902,4.11074737596299e-46,0.346724932494203,0.933736095523858,4.25742585399071e-06,9.43689112622219e-06,0.99912194136074,0.301389630278609,0.262457458619014,0.998028694704712,NA,0.657199781815032,0.077347666140461,NA,NA,NA,0.0196988099538503,NA,0.262236515723493,0.871738142765225,0.794778071480406,0.538788992598394,NA,NA,0.531861590821187,0.595926412557511,0.0499705196494876,0.999994515808782,NA,NA
"Mesorhizobium amorphae",0.581574791502245,8.31862052316442e-23,2.22236097565823e-22,0.0378636174033689,0.00280286787033155,0.00210383665532717,0.99912194136074,4.6220502456682e-22,0.994033323855674,0.998028694704712,NA,0.849190348420244,0.999918319291581,NA,NA,NA,0.561984327971452,NA,1.26574004542907e-22,0.871738142765225,0.454542122860255,2.61831990237306e-22,NA,NA,0.390129808922561,0.691727616713727,0.409834550752969,0.999994515808782,NA,NA
"Exiguobacterium sibiricum",0.360660047817221,4.70833989712172e-39,0.0896769277533444,0.256036209262978,3.77164724702802e-08,1.85950528084796e-07,0.715018965611451,0.894026026745724,0.966940133085553,0.998028694704712,NA,0.270439500020733,0.000438874410468476,NA,NA,NA,0.13242259466102,NA,0.581193682895819,0.994094433146253,0.757707832550293,0.999640773265629,NA,NA,0.683038561326078,0.820767547025909,0.0223471401529454,0.999994515808782,NA,NA
"Clostridium sp. BNL1100",0.103687756559857,0.50101170576112,0.338723650415294,0.757956745017221,1.09992068535157e-08,1.86255169178072e-06,0.99912194136074,0.246905359401788,0.00357107465537711,0.998028694704712,NA,0.535377625221704,0.357718280387411,NA,NA,NA,0.0237203123933737,NA,0.352104140321206,0.932820509173796,0.727141023908506,0.741234497295365,NA,NA,0.958312312308815,0.640877990761453,0.0431876290485892,0.999994515808782,NA,NA
"Brevibacterium casei",0.705075891340249,0.90826970135688,2.22552179348934e-27,0.523571010400379,0.0998570854486409,0.109586087140505,0.99912194136074,3.91389540976322e-27,0.995568639401152,0.998028694704712,NA,0.77135963239507,0.999918319291581,NA,NA,NA,0.92519693118212,NA,0.673458295529408,0.888333016360467,0.71502793628154,2.08417959900704e-27,NA,NA,0.570678319530454,0.392853101827441,6.45432636385553e-05,0.999994515808782,NA,NA
"Micromonospora echinaurantiaca",0.128702492014963,0.915003859793799,1.78147177283517e-20,0.852102805609166,0.0106751150500531,0.00425532950569702,0.99912194136074,3.5540412121951e-20,0.976056530863706,0.998028694704712,NA,0.896366409035159,0.999918319291581,NA,NA,NA,0.222445830161812,NA,0.846600386779262,0.902837101017176,2.33818170184616e-20,2.16221293400887e-20,NA,NA,0.405639307031808,2.48828660522251e-20,0.0525937198570851,0.999994515808782,NA,NA
"Leucobacter sp. H25R-14",0.650691860346404,0.827757840121402,4.68706595452176e-13,0.848571633717705,0.0496804845482461,0.0048702964078674,5.39814311843721e-13,0.285688809789966,0.29104940303438,0.998274212518124,NA,0.893766202146548,7.0699396832344e-13,NA,NA,NA,0.974914217257311,NA,3.29509485095278e-13,0.988918110314484,5.97745993180443e-13,5.64032249111093e-13,NA,NA,0.64674261985198,5.82304589721515e-13,0.0388399976823362,0.999994515808782,NA,NA
