"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Enterococcus raffinosus",0.174729349869221,0.95502907978603,0.0190301968434896,0.0141926010807798,0.308751750296449,0.612957677772269,0.0178390453955106,0.361554309730068,0.277409843910384,0.169107338457583,0.0340958681507613,0.979725595748442,NA,0.717319794564666,0.0700942852296354,0.522577037478603,0.605641803431249,0.404048056703875,0.00845943108607529,0.107823032493997,0.822484105440063,0.672977480529281,0.740830208233029
"Bifidobacterium catenulatum",0.268495897905452,0.334116580615887,0.951340225838637,0.159095655226875,1.09499180799176e-09,3.85490029910854e-09,0.0874345787052066,0.0348477167176168,0.493751775291859,0.0668698465114049,0.47958574331448,0.236525628010772,NA,0.00240944899463406,0.593543651730663,0.313280368929701,0.590130148428548,0.803127457863772,0.3723442642638,0.88973688188767,0.317692738604216,0.583279441601566,0.0222437959232323
"Christensenella minuta",0.128630399442567,0.614363511769763,0.790833414021399,0.247433633391838,3.76215705482096e-07,7.71105984703892e-06,0.121532724900479,0.199703558803518,0.253697230742526,0.0653762390255165,0.356689209101764,3.23781237790132e-16,NA,0.000844167256919904,0.153429991909236,0.0663203533398559,0.297604693221529,0.897727426420765,0.161803776206197,0.456621175170759,0.0721726088339776,0.548278555831295,0.241704294488974
"Butyrivibrio hungatei",0.0390721674664186,0.181544205122688,0.797177703407761,0.376828820015986,1.38903724298392e-12,4.6789617936864e-10,0.858046335628055,0.0239442364470809,0.189089578019412,0.0366008092073881,0.62038356245613,0.066929591655898,NA,0.00134870030227434,0.421610420075489,0.180478355379995,0.664658223030158,0.78357537197623,0.538940891808073,0.749376276290956,0.0235215400953832,0.105000123173456,0.00423910081090392
"Oscillospiraceae bacterium",0.00411904811282282,0.199803561162416,0.287136671764221,0.197279500710901,9.72397695560366e-12,1.50088777765636e-09,0.437170926358055,0.0028715050380782,0.0232954334761033,0.0223653856619825,0.422705815833374,1.56370000164643e-05,NA,8.3361209876481e-06,0.276454955063147,0.153238383761251,0.87612154542851,0.491534529811939,0.75234435437414,0.180517901202784,0.0228202520340232,0.0141996787346101,0.399128904530205
"Streptococcus infantis",0.350932517142358,0.83710311495108,0.259233130614618,0.84383798940581,0.213824696732872,0.182756913393981,0.759761056235121,0.149251444045534,0.113768749649906,0.737279171234916,0.441118773041852,0.590620568486317,NA,0.0152333507146632,0.000936247402792937,0.565353735147684,0.275104108924947,0.730396134033471,0.779397787631579,0.308757268125357,0.947515667077911,0.228295513354058,0.15150637180401
"Lactiplantibacillus plantarum",0.138079846161428,0.00298185967402,0.333612679884336,0.459815148372399,0.470193391209356,0.882593986357668,0.0257076146039067,0.317739361907619,0.00648537052440004,0.325392025553056,0.342066301271482,0.321906503669677,NA,0.585348531569045,0.350106340245435,0.442702257467216,0.576985186872914,0.122326552830685,0.567926494623856,0.391495682198031,0.147682615080223,0.356248199878564,0.585203061571565
"uncultured human fecal virus",0.00116990233561887,0.0875706872461624,0.100194571065195,0.0473184981184366,1.73639143752965e-14,8.64539824165783e-10,0.246932543033745,0.0134096078361604,0.0381795617415419,0.00538313486941453,0.518694435036184,0.442378506212688,NA,6.55003304123229e-05,0.316118548802365,0.0693600167302004,0.318439439190164,0.917455873222221,0.298547870113882,0.427524609295614,0.0485948790989077,0.260713214512437,0.678601785373675
"Anaerotignum propionicum",0.149831994856928,0.177168827075289,0.713335016913502,0.285624639993827,1.21191525472345e-11,2.87421312279662e-10,0.844865062885494,0.00230365582774647,0.108467581090561,0.00244347128959658,0.198052929260885,0.00016516472704755,NA,0.00718308302590464,0.405157402589625,0.183093734090619,0.557061034430683,0.989952217294764,0.172875662189786,0.651269990048539,0.00450542570689856,0.16408199691068,0.143433387439376
"Roseburia hominis",0.00141171121718465,0.294425230333658,0.637145887461427,0.41503435984091,1.34045429700011e-12,6.42280610054982e-09,0.306480255980278,0.0402468619556119,0.375686518981588,0.0159630869662628,0.901128072114229,0.290899364317683,NA,0.000268676938515092,0.124252620065127,0.168263860069558,0.496083094343994,0.870471681306317,0.372363874649378,0.954447226306514,0.0150962650907088,0.848535502054146,9.90103470971509e-15
"Novisyntrophococcus fermenticellae",0.0904274571498563,0.155131206818656,0.697826432207904,0.305310308830277,5.98117597392434e-11,1.1715631822705e-09,0.923968839348782,0.0239254154873329,0.0320492017017994,0.00597540690289614,0.487268879206035,0.00114652919300457,NA,0.00427358590383254,0.303076941336887,0.156839453887794,0.558119063504864,0.975025931271655,0.207820577039276,0.745809895271332,0.013936121469366,0.293711824368773,0.438052264206978
"[Clostridium] innocuum",0.0539042742203242,0.0827118952529161,0.331477080779332,0.0508032657174396,0.0321118662985167,0.0203301551988941,0.725899778021237,0.314186482591039,0.225893379931156,0.300423742729463,0.222838094913146,0.604944737151167,NA,0.000104413272376678,0.439771769402025,0.0484411020857723,0.149023683328614,0.963386843036157,0.678177751289703,0.0418267118874133,0.412499725844244,0.0808781947669338,0.45100155763336
"Leuconostoc mesenteroides",0.103201076617007,0.0828438502422821,0.400251003156029,0.0202139019873884,0.000484959579210996,0.0251081195801654,0.374626794552856,0.233046142029542,0.60055857048176,0.296110810186348,0.542586376750942,0.444331624488694,NA,0.366165310118984,0.128219636778516,0.743341524532778,0.452082093351778,0.35412002360411,0.971807279739221,0.543944948212989,0.564304002865432,0.700108697163817,0.716711791839381
"Pauljensenia hongkongensis",0.95691293182675,0.804336284306977,0.0211166914314246,0.0304922522528393,2.39375860650969e-05,6.27265056829967e-06,0.488413632054722,0.761737779423958,0.34320858849343,0.181544463735535,0.457610551855081,0.104967246879103,NA,0.334272892824646,0.4907353737963,0.0880314677676695,0.232746771636592,0.269984159889773,0.093223787275798,0.392930985960413,0.0135324291996569,0.15056899818843,0.991207896211766
"Bacteroides zhangwenhongii",0.550352451202344,0.103682457573112,4.57839692641109e-07,0.00105956553491873,0.219403375475227,0.744644673951921,0.0887425933967907,0.00586124880788715,0.144870302122781,0.0809239372720366,0.298336545452786,0.132646193501476,NA,0.000720661678573693,0.0370661597351333,4.99763166168438e-06,0.472136698498048,0.745172526158574,0.0795359564407386,0.348913436020127,0.0352575598221448,0.0263549669799343,0.0560141202477079
