"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Enterococcus raffinosus",0.0985286870202332,0.545029680911889,0.0407486248483971,0.00632110467582907,0.421685306901979,0.99024875405338,0.0189557813347132,0.994566625235683,0.277409843910384,0.402629073301551,0.0386280323580637,0.979725595748442,NA,0.686224797767745,0.0187136963735942,0.522577037478603,0.185398597477464,0.00577779037633865,0.276708359592173,0.654905121013545,0.672977480529281,0.73509720167721
"Bifidobacterium catenulatum",0.428599613431243,0.15181812305737,0.919380309860784,0.0772525858436325,1.05542458732427e-09,2.74117085163939e-08,0.0433249711021691,0.0141098801656657,0.493751775291859,0.018538553822311,0.465257117037865,0.236525628010772,NA,0.00045354798904874,0.977405095194101,0.313280368929701,0.495974390493617,0.353696905212935,0.580698157048557,0.319124149857068,0.583279441601566,0.0725797418656235
"Christensenella minuta",0.0709351777986354,0.381790783004976,0.973152913786086,0.206292517794073,6.54347405579532e-07,1.4458813478349e-05,0.234477797398818,0.0509075037322706,0.253697230742526,0.00158111958259114,0.416774255504438,3.23781237790132e-16,NA,0.000669125473882676,0.239694357643079,0.0663203533398559,0.250588312327251,0.199147714619099,0.184703997236477,0.0901381953964557,0.548278555831295,0.0420198113961144
"Butyrivibrio hungatei",0.0431129835190943,0.0742793966846332,0.565800928216948,0.289229124703846,2.218323929091e-13,4.09253827260645e-09,0.799193207253361,0.00831273572657876,0.189089578019412,0.000559018805223869,0.57193032357959,0.066929591655898,NA,0.000964051584202526,0.630249720724095,0.180478355379995,0.54068395025246,0.768600483214843,0.406571861414499,0.0485669247384614,0.105000123173456,9.28263345413256e-07
"Oscillospiraceae bacterium",0.0511708554454513,0.0942371522691648,0.507975992119875,0.146593205008072,6.50066023442247e-12,1.52714566687417e-08,0.472803633887063,0.000637636297575987,0.0232954334761033,0.000148014179842953,0.349647983552415,1.56370000164643e-05,NA,1.71088448565578e-06,0.436425353741996,0.153238383761251,0.915205784829085,0.915286623973697,0.600171306142973,0.0515189694796828,0.0141996787346101,0.117914529960499
"Streptococcus infantis",0.243639457947859,0.729834857993016,0.137897836739639,0.759845378144019,0.33867887699294,0.565833617537074,0.92713548185848,0.0362433588533933,0.113768749649906,0.266030226513995,0.511938767624096,0.590620568486317,NA,0.000688443973536805,0.044753392158107,0.565353735147684,0.0818151992446935,0.689400579460089,0.204973848160389,0.919360350978425,0.228295513354058,0.0756166890819891
"Lactiplantibacillus plantarum",0.101324366707945,0.0131169631156363,0.844804925412328,0.679103490882353,0.596718384353589,0.660043936756785,0.115905059043105,0.555071857512769,0.00648537052440004,0.435161122290704,0.2533843937604,0.321906503669677,NA,0.534197911107505,0.191594250124728,0.442702257467216,0.158497896687161,0.612052772247839,0.0425335953358319,0.108507877654583,0.356248199878564,0.701946342999278
"uncultured human fecal virus",0.0103684142946159,0.0325239548476536,0.30088601866627,0.0398163712369326,5.75438573085243e-13,5.51401188272521e-07,0.242108375207005,0.00351080374936919,0.0381795617415419,2.03601651690292e-05,0.507029387998236,0.442378506212688,NA,3.07161152875127e-05,0.638725934441369,0.0693600167302004,0.313857718610488,0.395206568703339,0.788741533751269,0.0549691228014523,0.260713214512437,0.325476836942518
"Anaerotignum propionicum",0.218989565550083,0.102204899698556,0.869392721860441,0.282537183408536,5.1502606785495e-12,1.58828720665593e-09,0.729438416337218,0.000291088468167522,0.108467581090561,3.73190786375053e-05,0.167088932447627,0.00016516472704755,NA,0.00671448635777395,0.72453425675007,0.183093734090619,0.24055620438424,0.212962795819054,0.0968034809226861,0.00872249762392513,0.16408199691068,0.0213886663408846
"Roseburia hominis",0.00502687206520387,0.153564068283911,0.9110701478275,0.305174202497919,2.39246433293974e-11,1.74354706955637e-08,0.675552288079507,0.00706536519173025,0.375686518981588,0.000112556832818368,0.909938249254149,0.290899364317683,NA,0.000604702931803881,0.218909911081086,0.168263860069558,0.344860170561497,0.435382370146863,0.377656291516479,0.0375744636427931,0.848535502054146,2.78884307661946e-05
