"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Enterococcus raffinosus",0.266848527346465,0.664254923611364,0.189190043938987,0.0524517196504966,0.456825749143811,0.99024875405338,0.238475958727037,0.994566625235683,0.552719214647024,0.486146559094752,0.409164062315831,0.991313641981919,NA,0.749657342099217,0.260655056632205,0.655321686870274,0.681283369480009,0.99881363774454,0.360403210070583,0.499612315930313,0.721505641794583,0.778262282704045,0.818916977871439
"Bifidobacterium catenulatum",0.594853556007775,0.346251859604527,0.984789931162199,0.255326343042514,6.14351625457411e-09,2.09915497696622e-07,0.367701355951569,0.0444341839772977,0.686814868593295,0.0388711612403295,0.899442962501884,0.568056410136635,NA,0.0014740309644084,0.987533645403366,0.506968231877939,0.731082781900669,0.99881363774454,0.886536101820946,0.759974098150796,0.411471419199358,0.722155499125748,0.193577444920331
"Christensenella minuta",0.216205559492011,0.539699123918268,0.9958830161271,0.440921126359384,2.00941329272455e-06,4.94643618996148e-05,0.670061070212008,0.107318521381543,0.534821189132893,0.00673904172957788,0.888207429763557,2.10457804563586e-14,NA,0.00202641685764045,0.695751157679257,0.246332740976608,0.691816547915244,0.99881363774454,0.886536101820946,0.431344664204946,0.185999450818083,0.698786394686945,0.134097548918893
"Butyrivibrio hungatei",0.163243335654823,0.308704048754487,0.845449662852911,0.508105219074324,7.20955276954575e-12,5.14867718166618e-08,0.934644804055201,0.030875875555864,0.505102297449115,0.00363362223395515,0.93533874482805,0.30351791564884,NA,0.00266652565843252,0.893973974986878,0.380467884314585,0.761251771113571,0.99881363774454,0.98928775067257,0.612212455411793,0.146255944642865,0.43992256779132,1.39239501811988e-05
"Oscillospiraceae bacterium",0.182138369162574,0.308704048754487,0.807720707077006,0.371242532163298,7.45663968066107e-11,1.32352624462428e-07,0.798239901367768,0.00739745471361847,0.275309668353948,0.00199053552202592,0.843689028475788,0.000203281000214036,NA,2.84500907534705e-05,0.825720441478175,0.3578620938137,0.962076161949712,0.99881363774454,0.98977823864413,0.776839048609739,0.146659840124644,0.307659705916552,0.25981167618415
"Streptococcus infantis",0.413127776520283,0.804055352026204,0.424033725511666,0.85619834659573,0.37417779611118,0.650959029024952,0.983927445908308,0.0833954089062626,0.449811929258854,0.352610773194056,0.91148335032036,0.785168275150756,NA,0.00205433827192273,0.358366103780784,0.68902486471124,0.582187771303484,0.99881363774454,0.958787185243793,0.443462548910524,0.928887401247632,0.533952858977259,0.196603391613172
"Lactiplantibacillus plantarum",0.269086425623633,0.248238741021913,0.966319342366822,0.802204397029997,0.627278085978166,0.735477529528989,0.596397912653973,0.654012158398731,0.114967932023455,0.51428132634356,0.78271344080462,0.644530860778654,NA,0.610959487776912,0.689661587053575,0.601581464850921,0.681283369480009,0.99881363774454,0.947450450265496,0.225527656102543,0.211019651487435,0.595146442947475,0.795372686548333
"uncultured human fecal virus",0.0792878740176513,0.263693413706937,0.678297961155175,0.174476233510154,1.24678357501803e-11,2.90603328954437e-06,0.679296880077208,0.0194506871408089,0.320294110417556,0.000882273823991267,0.907070923483083,0.716628956448977,NA,0.000159723799495066,0.893973974986878,0.248168867199799,0.703152259472503,0.99881363774454,0.886536101820946,0.881401713934082,0.151683615651411,0.546589380248217,0.477202881231512
"Anaerotignum propionicum",0.399184744585314,0.308704048754487,0.979680588420366,0.501691637184146,6.2555308060729e-11,2.81560004816278e-08,0.925657093416418,0.00475791716759754,0.449408011121763,0.00103960290490193,0.694770291598806,0.00178928454301512,NA,0.0142317917365861,0.916940172277632,0.381853242221078,0.691816547915244,0.99881363774454,0.886536101820946,0.359555786284263,0.107755720064404,0.474014657741963,0.0859956687932472
"Roseburia hominis",0.056013717297986,0.346665993180221,0.984789931162199,0.531330084706199,2.22157402344405e-10,1.44677310027018e-07,0.89008578496962,0.0284071383997402,0.620496571402236,0.00168835249227551,0.985766436691994,0.619949464939325,NA,0.00191735075937816,0.689661587053575,0.367714769752679,0.709649462125443,0.99881363774454,0.906018287353351,0.59872338898954,0.146255944642865,0.903805552642753,0.000319896705847526
"Novisyntrophococcus fermenticellae",0.338209363994208,0.308704048754487,0.772164380411736,0.464770089915553,1.24431443841549e-10,7.18007342913606e-08,0.983218425842592,0.0211345936586768,0.304858260090287,0.00139565931521927,0.899442962501884,0.0103987531458554,NA,0.00478009132814321,0.833180142320447,0.359808158919056,0.709649462125443,0.99881363774454,0.886536101820946,0.443462548910524,0.143057874419652,0.557831850683409,0.31888279054329
