"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"efrB",0.40239718576345,0.967066603569747,0.974330539371036,0.577738582826365,0.880106496165842,0.326052331142808,0.926728313119011,0.979921407434878,0.945229162233052,0.92360016257392,0.766138996677511,NA,NA,0.959243441893594,0.00084212748665571,0.798290933205991,0.989040068364533,0.794477111229536,0.945776546720505,0.105271107024639,NA,NA
"Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",0.0108213298973664,0.963827806930906,0.878688930104585,0.619012759001805,0.711719176070672,0.682447943892942,3.27273358285276e-20,0.693841971165039,0.308679974634734,0.92360016257392,0.895940939824256,NA,NA,0.879991404346754,2.27183294905689e-20,0.269297522093158,0.989040068364533,0.961350325988965,0.953572160324204,0.940447833727817,NA,NA
"mdtB",0.0428537042898422,0.967066603569747,0.878688930104585,0.619012759001805,0.329275035885325,0.414685526536963,0.910651752891918,0.833159596362187,0.316917087531754,0.92360016257392,0.911644408736254,NA,NA,0.986001336646533,4.02245490854116e-42,0.0383334378757794,0.996194824009962,0.961350325988965,0.945776546720505,0.973545043578726,NA,NA
"msrC",0.968857031318212,0.967066603569747,0.85353308726478,0.989191959051677,0.223931701675897,0.393545276206991,0.979953963968866,0.693841971165039,0.956008036145761,0.92360016257392,0.868391665944687,NA,NA,0.949318141916733,0.781494100836884,0.961399816224008,0.989040068364533,0.961350325988965,0.945776546720505,0.661822170600427,NA,NA
"tet(44)",0.198701028799274,6.93498394776322e-24,0.960082471590885,0.00201494047093426,0.15065732142254,0.182870651960454,0.979953963968866,0.83269964317982,0.820757945646409,0.935215332072799,0.944392964436296,NA,NA,0.581573016301563,0.914844651220629,0.226880775583941,0.996194824009962,0.961350325988965,0.945776546720505,0.863054262791406,NA,NA
"tet(T)",0.301825525879206,0.483597688701589,0.402205138200125,0.619012759001805,7.23332800425143e-08,5.14817758457103e-05,0.979953963968866,0.937949111037291,0.0573086053909541,0.990673457148273,0.766138996677511,NA,NA,0.0500636967432722,1.63224796157682e-47,0.317826265564204,0.996194824009962,0.961350325988965,0.596409998566366,0.105271107024639,NA,NA
"gadW",0.551858947195552,0.951917487565906,0.960082471590885,0.939178698289254,0.0524345042776964,0.182870651960454,6.20167554448469e-12,0.937949111037291,0.828169715422691,0.92360016257392,0.884273866865442,NA,NA,0.80065905029792,0.781494100836884,1.35132991997541e-11,8.20221604270555e-12,3.37073444180627e-11,2.74336868767507e-11,0.93127989887217,NA,NA
"tet(36)",0.965206097233478,7.30755890892554e-39,0.75407342300461,0.577738582826365,2.99352943501145e-08,0.00013481521056964,0.444891468086396,0.693841971165039,0.885627229248318,0.990673457148273,0.774623747633514,NA,NA,0.0500636967432722,0.724357009923889,0.921717813397588,0.989040068364533,0.690030351806838,0.596409998566366,0.00032142146634706,NA,NA
"lnuC",0.965206097233478,3.23079395323492e-35,0.974082690571826,0.126736852023015,0.385602507909379,0.77208393066024,0.756692746056093,0.937949111037291,1.29231758129397e-34,0.990673457148273,0.911644408736254,NA,NA,0.488696932986285,2.58463516258794e-35,0.902814264497539,0.989040068364533,0.293587644770568,0.988452067442124,0.835003175459199,NA,NA
"mdeA",0.590413628728229,3.92916545017212e-17,0.741358626445605,0.872035076164948,0.880106496165842,0.506616300178851,2.10145139959119e-17,0.937949111037291,0.829610009034383,0.92360016257392,0.774623747633514,NA,NA,0.782128243675233,0.570970995994621,0.878061630725143,3.10214254225367e-17,0.961350325988965,1.51602928365187e-16,0.999225606280376,NA,NA
