"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"efrB",0.0583999881148914,0.235916790137584,0.613702443799877,0.448152994304959,0.765444246808728,0.532220883564937,0.209487699119782,0.905801729887634,0.674427553467143,0.000565057664889704,0.979938125536112,0.13290857128844,0.17685001963613,NA,NA,NA,0.436061774616685,0.00130517107301243,0.00043286926884172,0.19196947984079,0.51022916339726,0.220782293221273,0.306471440188147,NA,0.189951634690974,0.937911759878687,0.0302522771493719,0.278847018160558,0.36452029466416,NA
"Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",0.00416808901612344,0.82216396552459,0.373449875830438,0.355181113935089,0.971061472819674,0.521068127781032,5.52034174537189e-21,0.08219520337503,3.20936341752848e-12,0.378648376018401,5.52034174537189e-21,0.503561237574757,0.0969876654780714,NA,NA,NA,0.284750944104682,5.24035707423431e-21,5.52034174537189e-21,0.000375766928348393,0.0951618780785696,0.867764481572529,0.708685178304999,NA,0.783073230200263,0.295313122263452,0.361717321179518,0.847451980693108,0.923773300007339,NA
"mdtB",0.00402883943233876,0.710576035036442,0.970086303451349,0.166075428818682,0.232976733216374,0.0386380855693913,0.181476072487361,0.629574340019967,0.305998996466326,0.309568461467867,0.632529595757763,0.570258894990079,0.583290288192133,NA,NA,NA,0.531058823396539,1.1149181411537e-43,1.50372146113688e-43,0.151263722696823,0.00967292357613125,0.399130350027488,0.230217355717309,NA,0.867473351160414,0.599572523297493,0.402384116885539,0.600525697835881,0.847156345266106,NA
"msrC",0.0426011811512754,0.89260281254509,0.397648068023407,0.837031986175489,0.00157732440941495,0.000296136568529111,0.402628818449639,0.922058882718719,0.456165828948889,0.371887403087834,0.561045493848216,0.422877619199227,0.0991598667083003,NA,NA,NA,0.841742991258448,0.884225608958399,0.58608061985526,0.669526580336229,0.857308745208001,0.905075039744504,0.673662946490216,NA,0.632345788449778,0.806917522373943,0.380281385445069,0.689806224870326,0.908884324935525,NA
"tet(44)",0.00827252519895888,0.429327195687003,0.599450322073956,0.0147917620893133,0.00991960666941569,0.0277102466302436,0.878195736471563,0.307402709940387,0.437362972856177,0.189916015182407,5.83316406821222e-25,0.513862254161646,0.835313915429427,NA,NA,NA,0.0920036932175674,0.534760107554319,0.812245251083736,0.772278147074654,0.0678521945671598,0.409382218215201,0.50951274735375,NA,0.817150878948267,0.806436370055779,0.332329733085251,0.695188870065211,0.590289662353479,NA
"tet(T)",1.05142316456564e-05,0.361961931216439,0.157479639377704,0.206493156724868,1.79758139875017e-14,1.03677838748107e-09,0.490930325953462,9.23788482606712e-12,0.0751626583560868,0.424429634710436,3.0509307693026e-49,0.246728617280945,0.260146356346405,NA,NA,NA,0.000151579442839697,0.27328891558041,3.05093076930247e-49,0.0610225949594689,0.133665251872796,0.456063452759557,0.0217634048531647,NA,0.727978444710822,0.215955681700013,0.0110052578782059,0.967538342565342,0.450268377092502,NA
"gadW",0.174764564480947,0.70540926684711,0.407531352388003,0.644717925019771,0.0679661128051716,0.0604720783307656,2.34186664290125e-12,0.0653031387594713,0.718224779030895,0.091594216427787,2.34186664290123e-12,0.469228769920027,0.228858703140017,NA,NA,NA,0.969300562739534,0.662625024328476,0.601864560466369,8.46399937437925e-06,2.27326528593994e-12,2.3075063728108e-12,0.73891206001944,NA,2.20515337314429e-12,2.2391465506729e-12,0.631653017224976,0.193483685310473,2.37634296564366e-12,NA
"tet(36)",0.00848705023566721,0.624569571698906,0.297576574658067,0.18317622053936,1.44432943060756e-13,1.06908278227035e-09,0.756470179470428,0.691440892355711,0.879381242228733,0.258520981354559,2.04884829222211e-40,0.444428268270393,0.768135293929597,NA,NA,NA,9.1810927114736e-06,0.975386343250302,0.520007575819754,0.135834627254799,0.750725972494951,0.810793595345343,0.196783640851832,NA,0.148324281229507,0.0896780500809052,7.70894613271776e-07,0.603815188167685,0.939911691843051,NA
"lnuC",0.926107451919768,0.310540595104911,0.302808334482875,0.0207091079369364,0.0316267876809795,0.296278684010208,0.674237618125768,0.640719156990677,1.46460554690743e-36,0.975582343676058,0.155276660820111,0.879013404139913,0.103982682987652,NA,NA,NA,0.0401621807834222,9.9275770256625e-37,1.20777344046165e-36,0.37268166424741,0.691876352231759,0.0410990620731948,0.924654156983172,NA,0.0356695269347419,0.921854054430416,0.61723759512091,0.57981057608937,0.478537919282101,NA
"mdeA",0.174335768601719,5.87538758904243e-18,0.387681433090721,0.654850594977587,0.86755523495738,0.724755053720722,5.87538758904243e-18,6.08831713900252e-18,6.08831713900252e-18,0.784594757525905,0.668723963343786,0.444037846925515,0.261499542264699,NA,NA,NA,0.83813618030106,0.530362902747674,0.379596144533252,0.190942897797636,0.618679687960378,0.909710498475114,0.803915510272566,NA,0.62012523268762,0.849902218877654,0.742692979704038,0.231640617040797,0.843452179003151,NA
"adeF",0.806640085908977,0.719077310088678,0.0113954511271196,0.0284620776491146,0.138634301006074,0.0330159457144422,5.49193077228436e-50,0.659733317783142,0.606601119681605,0.0592091461107302,0.00592585348499663,0.500034924773519,0.790653763967952,NA,NA,NA,0.00360338165666261,0.0690345566102964,8.3715164192813e-08,0.274442826434003,0.130913361504667,0.384767169640897,0.892375009873208,NA,0.652668959023001,0.118759211478587,0.177039208158281,0.0101654762813618,0.445393061050455,NA
"emrA",0.155332386322814,0.850352585520183,0.346740280108618,0.626743524618578,0.214019462611019,0.0368698293582322,1.26803701196777e-28,0.130342968382473,0.727325085168971,0.910119097337523,0.863155172424453,0.468574012845232,0.00189202380457652,NA,NA,NA,0.27269867459077,0.923253593940772,1.26803701196777e-28,0.446550216800816,0.000339722621722182,0.557439093567421,0.163249774417578,NA,0.868669605968399,0.736134854697772,0.757624697153861,0.471142885107056,0.932146211394251,NA
"MuxC",0.130569497834715,0.803038460622908,1.6461309692602e-10,0.902749865238994,0.000747495077735977,0.0537322758966357,8.08951310013406e-21,8.50792826352145e-21,8.50792826352163e-21,0.0948503775450827,8.089513100134e-21,0.840456665266134,0.700778319901736,NA,NA,NA,0.0284409800349843,0.545186631157845,0.888462048952554,0.845747307006838,7.29895260486574e-21,0.566738683354824,0.394798444153606,NA,6.56772765386782e-21,6.92609961814613e-21,0.774746066817227,0.0407243420242457,8.50792826352145e-21,NA
"emrK",0.162284243972676,0.97978417105557,0.849212548708553,0.643142884431341,0.943412175975345,0.953061982616226,8.80853050747907e-19,0.074250923897658,0.972810531657493,0.817310723598584,8.80853050747907e-19,0.345979843841166,0.087641668469604,NA,NA,NA,0.76119134840455,8.4625478775194e-19,8.80853050747907e-19,0.111109321878926,0.930502755358197,0.862436398848974,0.403788255514957,NA,0.538159094152731,0.544027961931275,0.477190076434138,0.292206493989602,0.986109740008126,NA
"Klebsiella pneumoniae acrA",0.865793384760124,4.13393760889902e-11,0.904657546226009,0.382049150975107,0.287757488006921,0.120495490305943,0.784178473556689,0.761622097527497,0.761622097527497,0.279608567495832,4.13393760889902e-11,0.082787055261352,0.872395914531096,NA,NA,NA,0.670618674867813,4.08701935247099e-11,4.13393760889907e-11,0.372534808984019,4.04011521206464e-11,0.900064985769557,4.13393760889907e-11,NA,0.732640023401135,3.99322828466521e-11,0.00345662627979254,0.0201194093553554,4.1808669493275e-11,NA
"mdtE",0.915714475442896,0.804182515106934,0.629140738377579,0.939107523513567,0.542631029066279,0.769027356480806,3.75203612784153e-20,0.0791583220298981,4.61111334144069e-13,0.930785151906328,0.96994298054305,0.02342087464384,0.848126966389427,NA,NA,NA,0.145233762931405,0.83945125983261,3.75203612784153e-20,0.103846629838701,0.623825508341746,3.57864906354197e-20,0.0707442657422074,NA,0.262000163621103,0.216362314066862,0.161408595370313,0.799607039913747,3.93146294385466e-20,NA
"msbA",0.0125931885683198,0.890324587848094,0.848064592454406,0.176137111999837,0.536406634921674,0.110076371754477,0.857950251952614,0.726239748191572,0.275608807479457,0.854838978902836,0.447087694790599,0.771420883204992,0.337589383646625,NA,NA,NA,0.83641033142105,3.72334673181174e-36,4.49675253431146e-36,0.0537503352780568,0.00955517382761121,0.48889812462987,0.657250166977071,NA,0.688645851534073,0.457659001099213,0.398399942563444,0.45055943808701,0.808197282342748,NA
"nimA",9.57625129094971e-06,0.827768942846018,0.826696806758555,0.538307230487653,2.33898234124232e-11,2.83958118328889e-08,6.78762030457874e-24,0.000744723648661954,4.49861902566849e-24,0.014332025245561,6.78762030457874e-24,0.0398640486879233,0.356971789848859,NA,NA,NA,9.72566104179746e-09,0.551803984432567,0.827768942846018,0.183145820768971,0.638926470255516,0.419131966592393,0.874090289470808,NA,0.651046786552795,0.259784772868197,0.0331409088758648,0.514614224665457,7.27798792668018e-24,NA
"pmrA",0.0317859100371197,1.57387311122089e-13,0.944972587607811,0.893392247667374,0.438443487231083,0.321014288267752,1.57387311122089e-13,0.999055777951197,0.999055777951197,0.90541816065232,1.57387311122089e-13,0.0942983710150894,0.046649269824283,NA,NA,NA,0.644596593542113,0.330530514488718,0.632276944538092,0.290538967881605,1.51672682109592e-13,0.617883305762528,1.57387311122089e-13,NA,0.289301699959863,0.288970800708087,0.87932217837519,0.539023741562318,0.763844922574444,NA
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",0.128047955332913,2.08586354475986e-17,0.00206785084913198,0.436006720455688,0.489666096665681,0.225085405199637,2.08586354475986e-17,0.0572929452030466,0.693815708252926,0.97195953652189,0.80659014171305,0.195906645172034,0.286253651207518,NA,NA,NA,0.844081803321371,2.01717375358994e-17,2.08586354475986e-17,0.0241606776629098,1.94993693287831e-17,2.01717375358998e-17,0.493207727004185,NA,0.832177307350254,0.991946192923873,0.0975802580503647,0.71897107536962,2.15601425056018e-17,NA
"mdtM",0.952062702375028,0.665472623327954,0.17701662577667,0.651594747492276,0.392595794452239,0.553628680514265,0.995789822511097,0.115692923241175,0.759257384613116,0.190417330440094,0.831422451160686,0.915380080590427,0.24694265149415,NA,NA,NA,0.941552786992086,0.673164526642428,0.991113678323624,0.3264814615249,0.514785741973957,0.982013730312551,0.951817286127502,NA,0.0967061564170669,0.821019420573987,0.530714023089051,0.809992659736283,9.04698540854031e-26,NA
"PmrF",0.000502262144646132,0.5681019947573,0.7205103275034,0.162537954244701,0.736625858173251,0.361992203417779,3.6890621655617e-27,0.159342384038743,1.62325451360783e-19,0.926874423193949,3.68906216556167e-27,0.367895082846471,0.0160094840997163,NA,NA,NA,0.1542427854808,3.35231939987754e-27,3.6890621655617e-27,0.0430432400865734,0.158709853417758,0.91948972369154,0.749297658210391,NA,0.893531423965605,0.302647806899519,0.193224574774236,0.456249968270882,4.05412827288686e-27,NA
