"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"efrB",0.111858350368505,0.773525770266492,0.992504162500777,0.870466756710959,0.161848546792715,0.173601317102509,0.767548784359643,0.98824997698645,0.999055777951197,0.564236861201418,0.981266652245924,0.649140201517053,0.92341618960339,NA,NA,NA,0.0829804199317822,0.00340617816615439,7.34009045465778e-06,0.344887403635953,0.947574896974836,0.99857704678188,0.79981570975931,NA,0.63881017496836,0.975323868228269,0.0971239697326153,0.243741445093614,0.933446151749895,0.123523895549944
"Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",0.0267790350343247,0.965675717558559,0.992504162500777,0.299133273405696,0.788417020290644,0.732444972348561,2.26084579032502e-19,0.199569717242233,1.71700942837773e-11,0.916466573385301,0.860997847856524,0.814695073119174,0.389219403651412,NA,NA,NA,0.31743646910032,3.11510114968373e-20,3.11510114968373e-20,0.212822184058942,0.324497373185287,0.99857704678188,0.954363887483433,NA,0.950121539666241,0.610556780528317,0.280000736633804,0.656019196952327,0.719581241077018,0.99039458255124
"mdtB",0.0596989682732668,0.965675717558559,0.992504162500777,0.552465551838741,0.682317043790832,0.244280615358601,0.447346644818722,0.792522992731018,0.72759761381993,0.469489465474109,0.981266652245924,0.734811374712543,0.698527252383826,NA,NA,NA,0.69931127375458,1.19296241103446e-41,1.19296241103446e-41,0.890649344001165,0.370425205782693,0.99857704678188,0.724507560639767,NA,0.9560542644033,0.701007611119963,0.380691496403935,0.901754629278884,0.824113289967103,0.524252405363598
"msrC",0.157221061451771,0.965675717558559,0.98269967876395,0.937289318548431,0.0433116979040365,0.00478862353471615,0.492422337206551,0.98824997698645,0.938648917260215,0.827649381615537,0.981266652245924,0.679710928224678,0.940545276140037,NA,NA,NA,0.894917789081814,0.959108102443326,0.976812074251691,0.905660857163757,0.947574896974836,0.99857704678188,0.954363887483433,NA,0.9560542644033,0.975323868228269,0.496697012193621,0.993538647466775,0.926047960882062,0.732268120950735
"tet(44)",0.451743132097051,0.979169989025607,0.992504162500777,0.778449622000756,0.0433116979040365,0.227128313012146,0.785805544586354,0.450576574844128,0.917604668541391,0.50578526778455,0.981266652245924,0.734811374712543,0.501938255673522,NA,NA,NA,0.19429815903608,0.743108201406651,0.929847399062829,0.852661140065495,0.949279592644741,0.99857704678188,0.954363887483433,NA,0.9560542644033,0.807289237876792,0.455967463530305,0.967547944734566,0.892605678221931,7.4923922286233e-24
"tet(T)",0.00411750033266315,0.965675717558559,0.787954086573702,0.872835170795581,3.94178840602628e-11,7.38137205381275e-09,0.767548784359643,5.8144333905246e-11,0.23654130717945,0.288848715140886,0.297214478706391,0.649140201517053,0.47015715923356,NA,NA,NA,0.00697424338646585,0.487365232785065,0.665041186530891,0.178046714690335,0.537966584530413,0.99857704678188,0.155245621285908,NA,0.950121539666241,0.701007611119963,0.0971239697326153,0.993538647466775,0.450254054352528,0.0144931492367885
"gadW",0.22501171923057,0.965675717558559,0.982141487691392,0.872835170795581,0.645515321669568,0.477683150934011,0.680007475900342,0.199569717242233,0.999055777951197,0.492291169430318,0.99202660685861,0.734811374712543,0.389219403651412,NA,NA,NA,0.491157359327231,0.864644848818865,0.885189898373391,0.0668801638281214,2.94939263658053e-11,4.05398975992623e-11,0.954363887483433,NA,1.45667250705929e-10,0.213895474042343,0.91569430816996,0.704497142983835,2.46903181890756e-11,9.081024904424e-12
"tet(36)",0.147142376226869,0.965675717558559,0.992504162500777,0.796142074074618,3.05973129328157e-11,7.38137205381275e-09,0.791686247329851,0.840729266841603,0.999055777951197,0.288848715140886,6.63325837664031e-39,0.679710928224678,0.330435876662097,NA,NA,NA,0.00378370629917809,0.979372968643764,0.55077167444116,0.390561766161065,0.947574896974836,0.99857704678188,0.638056047610486,NA,0.739731002946796,0.975323868228269,0.000227382062479656,0.967547944734566,0.891209414153938,0.943132434724042
"lnuC",0.961297013159436,0.965675717558559,0.704152750952008,0.55716849924885,0.133226742307517,0.552908844567225,0.767548784359643,0.797173834860494,1.56712793519095e-34,0.916466573385301,0.419480839030722,0.859082124312006,0.493878721117616,NA,NA,NA,0.0893073162134027,5.31125370872944e-35,0.386692916659849,0.524411622467648,0.972448616263848,0.99857704678188,0.979584106902965,NA,0.63881017496836,0.975323868228269,0.69254554483798,0.9676410251141,0.972451325266064,0.99039458255124
"mdeA",0.555854363638517,1.21282342692153e-16,0.992504162500777,0.824828540557433,0.993590667029657,0.76540280197207,0.91793875993428,5.42874944894391e-17,7.23833259859189e-17,0.827649381615537,0.981266652245924,0.798033431573653,0.47015715923356,NA,NA,NA,0.897386614789219,0.743108201406651,0.788178202694459,0.560729616964336,0.947574896974836,0.99857704678188,0.954363887483433,NA,0.952141112375831,0.975323868228269,0.993613969064238,0.347138704421616,0.719581241077018,0.351964136062373
