"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"efrB",0.148983039399474,0.783903526517979,0.840876665131621,0.0356131390033907,0.755896979479276,0.492984938676193,NA,0.878762282532018,0.783217956625227,0.199041215358386,0.264979436610631,NA,NA,0.775396157800421,0.00043286926884172,0.51022916339726,0.414808979938447,NA,0.381972362922228,0.619672324291997,0.0629784656889272,NA,NA
"Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",0.000280848633611736,0.375648700371686,0.997742984001057,0.306411879693975,0.610184796836457,0.447221060348782,NA,0.203126310687418,0.0692366298246133,0.505631683772113,0.71172878397254,NA,NA,0.49862030205287,5.52034174537189e-21,0.0951618780785696,0.658415085859353,NA,0.595721100137888,0.831958093853955,0.169900833846487,NA,NA
"mdtB",0.0190347262711679,0.856161862728736,0.42931917801685,0.10391851929101,0.0505864457542751,0.282055763159589,NA,0.625421880673811,0.0740460484887276,0.378399204016368,0.787737807729571,NA,NA,0.525229044428029,1.50372146113688e-43,0.00967292357613125,0.988502112338701,NA,0.787351949224589,0.701130159723138,0.81728336812404,NA,NA
"msrC",0.808013906368808,0.89260281254509,0.282915423107028,0.645299286053986,0.0352266438643906,0.151461984068628,NA,0.0690148267324481,0.920269417972088,0.435087786271981,0.617943830047923,NA,NA,0.513874958132313,0.58608061985526,0.857308745208001,0.59665594858215,NA,0.412780095163081,0.700923765757495,0.404492606712704,NA,NA
"tet(44)",0.000951854680600445,5.83316406821205e-25,0.492826450589095,0.00172795194758903,0.00456402928319387,0.00111694674400273,NA,0.178719822516512,0.333435613113748,0.725850854152485,0.864958042193991,NA,NA,0.145143548748197,0.812245251083736,0.0678521945671598,0.981879668646125,NA,0.94937109103846,0.732822265546514,0.946209247714579,NA,NA
"tet(T)",0.274810114562752,0.131068532451833,2.03145406679176e-49,0.10923325514051,4.19889263311774e-07,2.65111828600809e-06,NA,0.103821322053544,0.00910510552940392,0.619062166690545,0.235526489153765,NA,NA,0.0494569221839217,3.05093076930247e-49,0.133665251872796,0.996194824009962,NA,0.714785677195471,0.117069566191144,0.0625917093017694,NA,NA
"gadW",0.413580278051807,0.27578917864059,0.822806541738849,0.654832053042663,0.0682873236297998,0.00931662374985086,NA,0.394611928680715,0.356035578592932,0.145581701049062,0.679200600334019,NA,NA,0.397918977309763,0.601864560466369,2.27326528593994e-12,2.37634296564366e-12,NA,2.23914655067286e-12,2.3075063728108e-12,0.901966844235389,NA,NA
"tet(36)",0.738201021160058,2.04884829222211e-40,0.168699395904921,0.231437167160602,4.80367077601711e-08,2.46298256049215e-06,NA,0.0767044467872907,0.60421296948717,0.8171256400987,0.369132628684215,NA,NA,0.0421173454301294,0.520007575819754,0.750725972494951,0.674602302372561,NA,0.278887046842911,0.118742597239056,0.000534062159957248,NA,NA
"lnuC",0.979090845655072,1.20777344046165e-36,0.790752749541601,0.0477482669129477,0.383298962967378,0.989397408069138,NA,0.80254951716946,1.20777344046165e-36,0.799731166910753,0.800883873095401,NA,NA,0.74157086857185,1.20777344046165e-36,0.691876352231759,0.431336908307636,NA,0.0884672479853193,0.988452067442124,0.212986532892554,NA,NA
"mdeA",0.294266851100483,5.87538758904243e-18,0.171448230587378,0.570592305060921,0.922095607583258,0.356002424161776,NA,0.716951428990996,0.430170136043847,0.204938931471389,0.347834370311069,NA,NA,0.376379746956763,0.379596144533252,0.618679687960378,6.08831713900252e-18,NA,0.828817806525219,5.66739919122196e-18,0.716311974261499,NA,NA
