"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"efrB",0.0917090455716398,0.478136979934926,0.615259722286079,0.797327907419789,0.00623092496736167,0.0437117241753074,0.298442090110254,0.401441700185764,0.783217956625227,0.456482053084909,0.101291945094185,0.667079505488319,NA,0.00149629888605573,0.302014895794433,0.696295620997353,0.180501435069506,0.0189107534714148,0.407756154924759,0.0293079614412893,0.815268488866545,0.0739319533960237
"Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",0.00665573584626779,0.0140328301400731,0.989170643282502,0.0153776052502377,0.163201284008235,0.288529637960707,0.0770182216798328,0.717708946396236,0.0692366298246133,0.602504006984465,0.475145394466269,0.808619954571807,NA,0.0957584396440919,4.97117966430383e-21,0.0805945891684168,0.447267888259064,0.520876933354348,0.280701800125027,0.097001521503734,0.298086430546326,0.443456114826715
"mdtB",0.159898653557759,0.352775694168475,0.774153635984219,0.115592579650074,0.8075521385665,0.66030458256621,0.474502812624936,0.932550813798609,0.0740460484887276,0.578034778483665,0.387258663806226,0.627402887901116,NA,0.311236709808647,8.2193749980272e-44,0.107319452142649,0.0980293054265918,0.614232493403523,0.425422615529202,0.368987356975806,0.520806111633377,0.0859406441750245
"msrC",0.179461775814901,0.707835687366919,0.739318138534763,0.86201752782554,0.0354045307096218,0.00145023188327477,0.228737168950607,0.93740406408712,0.920269417972088,0.14545345274049,0.248491036881712,1.25139349663474e-27,NA,0.616761343522659,0.801862947066775,0.717802586648422,0.375575207757123,0.733814427955833,0.683913849804527,0.420176318785747,0.787573499441754,0.138617605147624
"tet(44)",0.127082201007061,0.129249439596859,0.934812765912405,0.389375366349896,0.00434112469382739,0.0161883729745368,0.628369669673309,0.832073170513964,0.333435613113748,0.065557994772824,0.529731507078965,0.884547179140263,NA,0.0143079906517806,0.63502554546927,0.77184415476722,0.0392369502861735,0.818975285996913,0.806172038804964,0.305368651067407,0.665472133282166,0.116589586225744
"tet(T)",0.000591515277037604,0.0798517405797967,0.336791026616321,0.659306880710474,1.73262893139941e-11,2.93256556342417e-08,0.990803323658071,0.00115128165930445,0.00910510552940392,0.000513795889523887,0.128510724123599,0.238973864145921,NA,0.00183330750723704,0.433868203829331,0.20613672865184,0.970257882610209,0.795796172150673,0.0776357137599743,0.069116807681639,0.0907457895802353,0.168561398891624
"gadW",0.190394390588089,0.0222127722211559,0.405072045161731,0.581189705769786,0.0555417884155405,0.0354017823240815,0.872130393631946,0.355280355227373,0.356035578592932,0.521935737107013,0.353737958290579,2.37634296564366e-12,NA,0.503679142883432,0.744278104320033,2.20515337314432e-12,0.816320458634543,2.03718569416298e-12,0.202667042983246,0.981088380627285,2.3075063728108e-12,2.34186664290125e-12
"tet(36)",0.144766004230413,0.0367837087198286,0.50983833235441,0.448420299604098,2.57313269151254e-12,7.84452745663929e-09,0.590251655616756,0.022095761287758,0.60421296948717,0.000580824537581935,0.272593370640996,0.332680220766235,NA,9.22393776520472e-05,0.618354571553077,0.739175599903391,0.703921475541999,0.370270374166796,0.117051662798697,3.60598588884421e-05,0.641337615793021,0.387713868446749
"lnuC",0.892739988389697,0.145738716362618,0.109922185699114,0.168638484234342,0.023359229093308,0.677200370218024,0.390255830110292,0.245726435707683,1.20777344046165e-36,0.087807133088303,0.691005752270074,0.459106839612591,NA,0.00530250140420638,0.665908085570161,0.878898097639083,0.982742648672141,0.278883142842247,0.702543103181607,0.628450961108243,0.943400833512256,0.434148609484619
"mdeA",0.554428493865017,0.00493875560810085,0.450617822734012,0.660736818121656,0.639636684157573,0.986745891514913,0.773187374133813,0.636257182359705,0.430170136043847,0.844429901195723,0.503237125542294,0.233528189313329,NA,0.78076997633484,0.383446686265375,0.729163120263204,0.81683079470266,0.872363618593945,0.763237678110961,0.722084128500725,0.302627624752017,0.363831062210446
"adeF",0.637509037752608,0.220931406796946,3.05184801639695e-08,0.00762158872548903,0.887020708357147,0.216670884589932,0.0758487426490133,0.000567543772437117,0.560569081366392,0.171865616093152,0.458854792150473,0.285617178906955,NA,0.000473324360046505,7.3241184991991e-12,0.0178463119156304,0.092521773815046,0.484798957925255,0.285139856777019,0.116252129797763,0.133275318534404,0.0487785905709178
"emrA",0.252654752475682,0.0604075048734138,0.410050385706539,0.202646145661559,0.988202815524794,0.917260695899167,0.014007934339358,0.621757210217537,0.807061679925429,0.19903245360002,0.494656308773764,0.00439860874071622,NA,0.0458788139635448,1.01919985484851e-28,0.0246235884236005,0.940613488631538,0.602407763979879,0.74034622207696,0.878561681212811,0.904089982016186,0.177252498362027
"MuxC",0.760294628519919,0.68378384438942,0.0159642305950707,0.785054030303692,0.0696170419705519,0.720891830946186,0.142154103617875,0.00679781616547039,0.470410701039713,0.23843323619281,0.809346900072322,0.226516720168788,NA,0.0105688820470331,0.421071693325021,6.56772765386782e-21,0.439317066326629,0.238202724438248,0.284517042788468,0.310900110669305,0.207472657135365,0.0562137528740635
"emrK",0.148769404823498,0.0157161140811796,0.79007046961923,0.204838659158481,0.579917472426618,0.855258812399289,0.570302424635587,0.410282715876028,0.657829015518794,0.50246376838921,0.237652849562129,0.792018978448986,NA,0.195111199024304,8.12603175856401e-19,0.719661133922115,0.751186919885898,0.371712675374447,0.499262632054087,0.665931624181453,0.722938529139159,8.80853050747907e-19
"Klebsiella pneumoniae acrA",0.667578620599634,0.737464045961506,0.166662308000644,0.21729973325391,0.0327071409602425,0.0050548714083907,0.366517212038532,0.506727812787999,0.399030997021901,0.829488048204241,0.109551707935946,0.780244803260357,NA,0.0826099801812643,4.04011521206464e-11,0.685764189736904,0.766881161975673,0.673546935315037,0.396890028467261,0.0241012805947835,0.579248548942715,4.13393760889902e-11
"mdtE",0.254836029678969,0.0395802163507579,0.890898692207204,0.639414143484456,0.849779344971548,0.388459076084594,0.913692407479393,0.514938902715055,1.15464029301134e-11,0.512271965960964,0.0103738775023532,3.9314629438546e-20,NA,0.106893893899083,3.41118588492518e-20,0.940099375757974,0.580362146561674,0.0147895217167305,0.552098391579913,0.155896479114902,3.57864906354184e-20,3.75203612784153e-20
"msbA",0.0541157173251388,0.17741275881709,0.496483508739005,0.00708380023793338,0.753949201806736,0.183538246175637,0.953140827074829,0.249253229840959,0.516404727466515,0.570966381069952,0.873512446643408,0.787455033043173,NA,0.726618227858536,3.07320406291052e-36,0.0484721740256121,0.401458300940591,0.660401198544327,0.422284102241419,0.109911618778102,0.197845229383952,0.0393829817432621
"nimA",0.0193404623916693,0.411975563880558,0.882714197684024,0.524034766439935,0.000105393018149354,0.000487969897854334,0.00228524719912969,0.0424304516254916,0.0165594231212442,0.000461113285291328,0.0283783161798793,0.453392504562935,NA,3.3889735225491e-06,0.396679610205873,0.952072071098395,0.649568078746716,0.480773358252372,0.796623002472866,0.195895665708601,0.996201413473922,0.470251033219225
"pmrA",0.0915495039049275,0.0110320362501591,0.806712002594248,0.909372747899803,0.800379558425377,0.519429221706059,0.725997367833185,0.519761297072254,0.666048043053096,0.453442884529725,0.0564984897270247,0.966329006597719,NA,0.802675827541705,0.511937197648337,1.46038000412019e-13,0.436801298903903,0.366192704889356,0.0224183103173255,0.901183133538795,0.8315926161959,0.521727156577108
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",0.0367980314690044,0.11350551166637,0.341917255006851,0.286525275789937,0.33664406290338,0.410901664077991,0.443641011798648,0.0587534362092881,0.431363116196533,0.551273394477594,0.199693770186838,2.15601425056018e-17,NA,0.846647619408925,1.94993693287835e-17,0.584804069087372,0.733359742144873,0.481368399364831,0.761559164106566,0.15898739552016,2.01717375358994e-17,0.717415648303978
