"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"tetM",0.461257717900274,0.335556333589334,0.8744067863606,0.560510077740623,0.753268899505964,0.83251220408712,1.95448082558941e-15,0.464985242986774,0.914365567750719,0.987130427207478,NA,0.566675485770896,0.869317307142989,NA,NA,NA,0.822296811466501,NA,0.310894098814172,0.563067264285137,0.766580559154267,0.0168113892998083,NA,NA,0.0139062359942742,0.606210892016347,0.993530161504375,0.931677899326567,NA,NA
"mtrC",0.614153986104679,1.46905932798963e-09,0.841629693324083,0.000439359828814689,0.180387316643025,0.940645946469184,1.27199039374712e-09,1.93154096828266e-09,2.04516102524047e-09,0.405428368359263,NA,0.653183093923653,1.60466480441944e-09,NA,NA,NA,2.96546283177948e-08,NA,0.239750439472436,0.625278672724511,0.997819209676164,0.854735213054539,NA,NA,0.644833534699263,0.993385081374305,0.306066744310345,0.754087183432255,NA,NA
"arnA",0.190449631344975,0.924614634404305,1.67197815393856e-08,0.918940265330613,0.626366735725152,0.422302819790831,4.32828935046917e-09,6.79093673952916e-09,0.914365567750719,0.885031770906983,NA,0.671587466894521,0.869317307142989,NA,NA,NA,0.349392348212491,NA,3.86907872354568e-09,0.824435042048274,0.636422337925281,0.92348560401875,NA,NA,0.856541565155897,0.85560583109854,0.84076206859197,0.799858244072105,NA,NA
"MexI",0.22870553439617,1.42925976813236e-22,0.964239259684564,0.99694854073882,0.756723913336373,0.4897705341453,1.25274771293177e-22,0.99143571253904,0.287159734263771,0.604420329648542,NA,0.845807474003165,1.6079172391489e-22,NA,NA,NA,0.788864024558738,NA,0.0969043964229545,0.678367373313256,0.751591273890874,1.49856074914794e-22,NA,NA,0.660034422314798,0.993385081374305,0.135765986933982,0.731473375669422,NA,NA
"Paer_emrE",0.354525678237813,0.529053041266501,0.964239259684564,0.613364800377703,0.974631892519565,0.938809846414437,0.691667804164464,0.74598955657537,0.9434896437652,0.51809252264124,NA,0.513870076842284,0.65135889380265,NA,NA,NA,0.85626203066711,NA,0.135842359833433,0.477799745250965,0.030160873598448,0.945714257136899,NA,NA,0.622144700922007,0.460655062624708,0.226279833291739,0.107621159042694,NA,NA
"ParS",0.140051885234849,0.273064046351282,0.964239259684564,0.734637487968502,0.828921792585137,0.60088231568477,1.41874945176571e-09,2.14102189993734e-09,2.18067045363989e-09,0.942701531721721,NA,0.845807474003165,1.78418491661446e-09,NA,NA,NA,0.604555789051519,NA,0.177069095869804,0.338252904501632,0.883997828565317,1.65853809150075e-09,NA,NA,6.95143779210265e-09,0.955306830394193,0.993530161504375,0.956456508015454,NA,NA
"ArmR",0.274298842746717,0.417114040459064,0.899602809299456,0.560510077740623,0.71722996268544,0.998527729758587,0.648233382821549,0.577854008007137,0.958790565080502,0.352914993747826,NA,0.892484369361992,0.645876527725688,NA,NA,NA,0.822296811466501,NA,0.00585380857327434,0.492152886780359,0.122057143571208,0.92348560401875,NA,NA,0.456542090969041,0.786392527263214,0.413021839360817,0.27541232078841,NA,NA
"patB",0.245063743292177,3.21141136026758e-26,0.65287689821619,0.760620994460562,0.271686940590611,0.0701502322841419,0.742420950187652,2.67617613355631e-26,4.01426420033447e-26,0.331798029629571,NA,0.583481301487397,0.810653715318176,NA,NA,NA,0.952405328709546,NA,0.0238648875760669,0.625278672724511,0.0791588238593345,0.92625812722368,NA,NA,0.764848539066512,0.550266709846119,0.551602617191168,0.963314486990342,NA,NA
"vanV_in_vanB_cl",0.516264888191255,0.401141753023724,0.964239259684564,0.734637487968502,0.720309581080754,0.938809846414437,0.794800913261448,0.945114179410605,0.914365567750719,0.352914993747826,NA,0.901567776110941,0.728926121006786,NA,NA,NA,0.962819000613748,NA,6.75190168890544e-10,0.816168274180062,0.327146594374056,0.92348560401875,NA,NA,0.126071412395917,0.811447520208863,0.0772838634374131,0.107621159042694,NA,NA
"APH(6)-Id",0.327329089199818,0.701203325775542,0.480771161749835,0.734637487968502,0.116234169099324,0.418679290749684,0.994541885192874,0.154710899836187,0.894144673645794,0.942701531721721,NA,0.146440130778422,0.869317307142989,NA,NA,NA,0.935494654413387,NA,0.83028797446893,0.323434652515334,1.17147290145887e-15,0.629409391765943,NA,NA,0.0126315119441091,0.69083475311009,0.707342642332769,0.136638933576586,NA,NA
