"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tetM",0.0526148095725523,0.179351833497965,0.0736171324920156,0.142173977754696,0.0584047040752143,0.610104842277351,0.000911089839774766,0.20133003088614,0.381074331412602,0.564887278682837,0.42258752786499,0.456238101938813,NA,0.16089823134864,0.262024457863449,0.638389830198704,5.46978610771704e-07,0.0018603660193009,0.023231863513077,0.879682020415719,0.0811536178761861,NA
"mtrC",0.302410042855353,0.134561421157521,0.714084225871832,0.105539735221809,0.696109384683217,0.856669967804327,3.4567168572306e-10,0.940041879055541,3.4567168572306e-10,0.0658511403983112,0.478643422149754,3.48840174873792e-10,NA,0.000365357753162198,0.195649188064463,0.994482021683936,0.532046207553233,0.437796680748998,0.626760066767439,0.0274643331038688,3.48840174873792e-10,NA
"arnA",0.301476864381738,0.557648308529485,1.20171847722038e-09,0.255686392577691,0.853167930838593,0.9230618482789,1.30694632467596e-09,0.476966527607493,0.699334627237276,0.958336745634868,0.316273860889777,0.630955983256492,NA,0.0975993498479915,1.30694632467596e-09,0.446985588509395,0.982449696089196,0.723468029240371,0.680939413620363,0.709721976142892,1.31730545449062e-09,NA
"MexI",0.295945179957575,0.4591080361066,0.662713386778507,0.901213119116292,0.529936454798571,0.22555578307474,4.00590137373909e-24,0.733231469614217,0.628452047463101,0.0299642459079588,0.645276669343739,4.30211970340843e-24,NA,0.0407155095986834,0.0690322288899308,0.604408565833537,0.799047440495493,0.484565517904172,0.85913646384474,0.0199123953782913,0.702362168709504,NA
"Paer_emrE",0.0120937754618389,0.679066302514585,0.952422041923431,0.26634648301738,0.179629992462116,0.16605897729757,0.125008294062161,0.412441047311378,0.669964500092693,0.0743970027902091,0.430135676305035,0.843996584250503,NA,0.429988319037638,0.101313867032962,0.00647905572274386,0.836953969394988,0.416150301620071,0.0187294260985946,0.0156959200678041,0.302941443569289,NA
"ParS",0.209533600194236,0.0960883066857536,0.368182367954757,0.770927262057849,0.72494670638571,0.365134945390884,3.90301665116379e-10,0.270683920327164,3.90301665116382e-10,0.121548057934481,0.416415927567505,3.93833459854696e-10,NA,0.820087068011827,0.140237948426295,0.795302394261104,3.86763166225273e-10,3.76108735261698e-10,0.970623796790145,0.775713307211971,3.93833459854694e-10,NA
"ArmR",0.0159482059644944,0.444032073461195,0.411052468097996,0.176592997674493,0.215895977491703,0.16939886994093,0.0999620644553541,0.745247357582027,0.415961580667331,0.0854743719709171,0.883969867651732,0.978661028413373,NA,0.574219838133081,0.00287461318538688,0.0391889156616588,0.578659862471031,0.261099322928783,0.285140112307258,0.0813621888022456,0.52903586409489,NA
"patB",0.0650322404186077,0.319076051985307,0.708148571248883,0.751409207476618,0.0225160448254678,0.0171289828208053,0.181609394898617,0.12531701574977,0.456823203547377,0.126948163909561,0.146159851611458,0.678642925553858,NA,0.68494229239318,0.0143668219521473,0.0225033445753961,0.555799527291051,0.59090305192095,0.820717997737547,0.474007260418424,0.516322672308613,NA
"vanV_in_vanB_cl",0.0690334994508259,0.219733991207701,0.663822823941436,0.503387924546177,0.142732020101945,0.143684200175057,0.252364033288663,0.147093559219049,0.371583865585943,0.0378105930133086,0.674316832513219,0.101477846788052,NA,0.213371886495645,2.07750821197091e-10,0.150596187393104,0.915825637994432,0.0396344908535659,0.220120665952015,0.00822748351820578,0.874083528038441,NA
"APH(6)-Id",0.0193936965372094,0.289904168280814,0.000380967231565591,0.191646878143466,0.943570975330938,0.402540820642877,0.781608425197427,0.116059753322306,0.465476948484689,0.508919873617784,0.241562270716683,3.88535202028887e-17,NA,0.145784029872046,0.796965380175863,3.5261726130869e-17,0.00634201980168516,0.00160534265510417,0.0254588854197506,0.502374833889115,0.527321757977696,NA
"dfrF",0.379035011241649,0.131385933777335,0.0187172080850929,0.503699206558756,0.0782603101571662,0.355473833941083,0.0946674914918438,0.194732714110917,0.823385883651144,0.246554602248035,0.0194479935402754,4.99480562387825e-05,NA,0.175528808080032,0.428362328864604,0.392639298144415,0.281966969591996,0.161258849960882,0.751449706648158,0.928206510079873,0.329875764209636,NA
"rsmA",0.698176129495654,0.160212855152474,0.753799189683279,0.377766524965322,0.0451244909180623,0.0185682272063362,0.0448354424066096,0.911958986399472,0.970007882483846,0.0891976993377449,0.468935287446264,0.0749729556369478,NA,0.921497981836992,0.0773103341665416,0.117568520447507,0.172214638738294,0.0435956592823659,0.445350959017462,0.107770183327299,0.843552365063949,NA
"CfxA2",0.764591892836507,0.969629164433579,0.0420496581070369,0.324386575103682,0.220847933651892,0.332156077579188,0.00450228140019845,0.500271263338346,3.04500995244448e-22,0.045621298987211,0.914972524517831,0.691556787019612,NA,0.0659933845600643,0.00435050854075599,0.00286172334984877,0.476745695983065,0.901742255565248,0.0135359578751291,0.0167673862773623,0.36395223496668,NA
"aadA5",0.0241113236053253,0.136668267424124,0.119055091239483,0.552209010016457,0.172788150414841,0.358125183331952,1.55175568199446e-08,0.0226386567196043,0.606582485330702,0.29150834425816,0.0156978251312709,1.5608752478436e-08,NA,0.215034076267146,0.785959930406267,1.53338457749214e-08,1.54259217797065e-08,0.120946017918622,0.000104142691926189,0.26355147231828,0.881010963767432,NA
"vanT_in_vanC_cl",0.176492416074672,0.195229616749016,0.52550307312785,0.954154517985638,0.79536180957363,0.291593325650424,0.595963678138708,0.497663063682448,0.351221039088608,0.543807831945493,0.348533845166998,3.2787756658639e-16,NA,0.638261984860745,0.0398701219224813,0.919744822686207,0.365129015587284,0.0511140958947941,0.530767210788544,0.30810653363696,0.40150762165495,NA
"vanS_in_vanC_cl",0.330064173421106,0.588298840246013,0.65528190408581,0.746192602471703,0.031854111014852,0.0208286972291598,0.464262695924285,0.269863012738426,2.97826253537801e-15,0.110332597604365,0.78978603220625,3.05118547339385e-15,NA,0.974301676417287,0.108754981064969,0.946552950864933,0.21323032168284,0.00449114432598333,0.000733770635887924,0.252330640485556,3.05118547339385e-15,NA
"mel",0.0631934390849036,0.40195841631526,0.309485249379113,0.655507438420012,6.51154100168012e-08,0.000140852901244067,0.40240487362774,0.544810724298184,0.856327337177328,0.0696598018036969,0.0296143738682599,0.67899184066025,NA,2.18113843143538e-05,0.00894309083907523,0.892375057834746,0.522092354869831,0.138168869351078,0.00117300022597178,0.0016927898979548,0.00305741438721893,NA
"ErmB",0.112976695637971,0.612079957342141,0.0283734078947745,0.180766851156104,0.380543394482801,0.933215511828854,0.0056669444816696,0.725845946503918,0.68075382986105,0.463724066090469,0.152365501114459,0.556254607169262,NA,0.174818076555734,4.24981721344456e-18,0.0106037469870148,0.0122543662715599,0.000811736255327989,0.562131699251816,0.535962104666573,0.0274464084193718,NA
"Mef(En2)",0.563324111348149,0.815804645240837,0.0385557042696849,0.623789074586407,0.758131158487642,0.900208142418236,0.0476984803001494,0.085189202478138,0.772903181873643,0.120194270963457,0.159331244020613,0.143466232593619,NA,0.0140458995162215,6.67531936161372e-12,0.000870362438198339,0.536628120319649,0.0761623972892827,0.643999462678033,0.539156319103571,0.0385362026688816,NA
"APH(3'')-Ib",0.00621939255369056,0.157099691145943,0.000389414591877504,0.100154572937726,0.693157651868726,0.653497966939044,0.659076506258197,0.459169563541392,0.539811264289079,0.238021297721489,0.275232364988437,0.747998404089864,NA,0.149594190670664,0.977872775790377,0.335828302556556,0.435718214147045,3.83628818335489e-15,0.21776955475301,0.403566923367428,4.0421302286577e-17,NA
"msrC",0.651802471037985,0.908132457711371,0.892860898401472,0.892943778523185,0.00179340037532864,0.00176432828434216,0.188012793186964,0.640097857836906,0.255766057640399,0.364353828323911,0.689506986710336,0.893692356159168,NA,0.368319008295191,1.2618610764188e-41,0.071635296617436,0.772450036144576,0.137402312365526,0.509444069829684,0.262601461744183,0.428969280034414,NA
"Erm(35)",0.503828052933604,0.915408510050838,0.481879104750844,0.502625309083815,0.177985292330005,0.134063880923286,5.29786202641095e-21,0.71997902812516,0.184357029837829,0.424303881521331,0.319547381897937,0.23987051655917,NA,0.790869586280457,5.29786202641095e-21,0.181419126042544,0.12470378388497,0.429609056946932,0.781372577700234,0.87999709319588,0.568306222049066,NA
"CfxA3",0.233865494048707,0.418964979913525,0.0131870164643706,0.407992774671967,0.713773860183104,0.556288933821779,9.81653864657231e-16,0.366235422453201,0.0574399465541616,0.233348017999688,0.546075130575538,0.637187940572162,NA,0.969814184306223,9.81653864657231e-16,9.3095131534386e-16,9.5611855918579e-16,0.613333127629218,9.06152966478225e-16,0.530869417238373,0.0669407498490295,NA
"tet(A)",0.244439179093409,0.152951039441787,0.0263330556426509,0.244176356030497,0.953859116308819,0.458983051067633,1.158634965521e-05,0.443368196174349,0.535207798673576,0.425052187506146,0.00935336220907639,5.54510086131425e-23,NA,0.167474260009954,0.742576233158443,0.327479330259088,0.028804632897003,7.92586046250838e-05,0.751546886992852,0.315005086873188,0.352836866735183,NA
"tet37",0.977571503779137,0.274478175184764,0.739751030427907,0.512313884797661,0.00981586652896915,0.00397114926029579,0.271793460746512,0.162925136350549,1.14499934670532e-07,0.105282937167234,0.861687807902338,0.109881174052242,NA,0.238339044353838,0.00531533579033348,0.774705609531136,0.585384639304041,0.0160198478300572,0.873525594858566,0.147101181037467,0.317719218334187,NA
