"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tetM",0.11940769204387,0.380395316542226,0.0473164800861653,0.857174591604491,0.0425793189974665,0.409954177286337,0.0549759696590513,0.0341884522171751,0.710700072111611,0.817576351524766,0.669643233799486,0.785799650364633,NA,0.221852382985944,0.888855041026876,0.978775050031059,0.301839628552487,0.00244761126920258,0.228405022954925,0.992585926783208,6.48377896835628e-05,0.0918775981977129
"mtrC",0.667728443798468,0.121912788027856,0.15727049505633,0.790490269279812,0.464976028284488,0.291006789970312,9.859423961108e-09,0.961675865085242,3.44519446770649e-09,0.345943889150188,0.99202323327284,1.3037901535908e-09,NA,0.000110502542095579,0.128674600186,0.901050302516447,0.846143106571686,0.753952651392239,0.793347032849794,0.0755709018723693,4.09627040905452e-09,1.04303212287264e-09
"arnA",0.359307478417634,0.661611805539022,0.0443745347029441,0.895445215941791,0.97881718752851,0.962203606829864,0.788447717924775,0.952851028703416,0.874745093512341,0.508874304705955,0.679496163176666,0.899009134351252,NA,0.0850017437766061,6.80123648729938e-09,0.816559723331623,0.822165640524688,0.938757865752968,0.960693790642203,0.605660703361702,1.38453742777166e-08,0.912417489837401
"MexI",0.624672877393462,0.804736061358485,0.011869271316834,0.790490269279812,0.825990197400417,0.877038308723693,0.606439433720895,0.943556098216117,0.846428658520122,0.910058106751048,0.766141832804472,1.42925976813236e-22,NA,0.0209706536431817,0.0306338336573916,0.901050302516447,0.973015937152616,0.315318239761664,0.913986031524553,0.0332168179327598,0.901671176855005,4.76419922710785e-23
"Paer_emrE",0.0319587642060053,0.214972671001614,0.784596582291298,0.790490269279812,0.441710604014732,0.455665436436476,0.535432052377262,0.878267259609167,0.863445627274634,0.266117856895358,0.679496163176666,0.959781222998788,NA,0.414552766183512,0.132127010586936,0.647706980378598,0.968724368339554,0.267953138841933,0.793347032849794,0.0349825233786504,0.901671176855005,0.433577358271484
"ParS",0.339614173409571,0.254957997888004,0.947865442416015,0.935526876465346,0.937749433508651,0.61728475160208,0.465639661888659,0.801456983066291,3.76452251192898e-09,0.955759370170483,0.679496163176666,1.45378030242659e-09,NA,0.882596722138394,0.0843785005888072,0.991534983844004,0.807186507660109,1.21393600649294e-08,0.819857176606342,0.676520258290956,0.65714873353374,1.16590301481736e-09
"ArmR",0.0319587642060053,0.291178283669672,0.962581667337551,0.790490269279812,0.926184113437319,0.902442191107696,0.658148006992502,0.512718473364771,0.710700072111611,0.269438722521468,0.991248104671436,0.983531987083437,NA,0.459376549007133,0.232640693774955,0.795770767796165,0.842898307086872,0.132368149263419,0.971694920586046,0.0965031292236923,0.91282063167343,0.207963476774579
"patB",0.0427594228917498,0.15808797067659,0.902192954028678,0.941018481670318,0.322534671488087,0.434199073521802,0.24769957099104,0.45596961574694,0.730428544709442,0.516639092771158,0.564437713515778,0.918636019716809,NA,0.599149639501103,0.987224076050554,0.401201723749755,0.73355763458363,0.644490207168307,0.793347032849794,0.614326619630848,0.533589317635859,0.906431656724893
"vanV_in_vanB_cl",0.0734624804240994,0.0367610797154124,0.741303554121101,0.895445215941791,0.464976028284488,0.489297185054433,0.55113966273547,0.826285280453477,0.710700072111611,0.247546172720479,0.937716721699196,0.252848968246897,NA,0.117783643429213,0.447894970135831,0.965479802826689,0.956516984962773,0.0324933540205983,0.960693790642203,0.0217868440130002,0.838466684719327,0.195631380309636
"APH(6)-Id",0.0550657783232334,0.324749637900872,0.657768211377717,0.790490269279812,0.926184113437319,0.672955130766551,0.652426477133592,0.377797323488225,0.7326084335721,0.652208508727285,0.564437713515778,4.1490009073799e-16,NA,0.198532484999997,0.90473988557994,0.91650365208215,0.00376477617459068,0.000792642510648712,0.00895303006317725,0.450190382409115,0.186002017044366,2.6402733046963e-16
