"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tetM",0.794099275844197,0.236453702972438,0.749129717227533,0.593962123224505,0.893138723329207,0.813593557123456,NA,0.788169568036914,0.710700072111611,0.54002271753077,0.566675485770896,NA,NA,0.666805259305794,0.310894098814172,0.766580559154267,0.0168113892998083,NA,0.0426151718360242,0.606210892016347,0.89134275658809,NA,NA
"mtrC",0.530513914409305,1.72259723385325e-09,1.99118698103782e-09,0.0042979454528729,0.196343396179237,0.71152270408912,NA,0.814457991795427,3.44519446770649e-09,0.417984221408781,0.653183093923653,NA,NA,2.32078005497834e-08,0.239750439472436,0.997819209676164,0.854735213054539,NA,0.548772453045688,0.993385081374305,0.573953584907567,NA,NA
"arnA",0.304056692435984,0.934536214391733,6.6839737892425e-09,0.996949307872087,0.614050038253127,0.732969116868557,NA,0.885940753866879,0.874745093512341,0.96859730180063,0.671587466894521,NA,NA,0.00043160223871184,3.86907872354568e-09,0.636422337925281,0.92348560401875,NA,0.960844535502382,0.85560583109854,0.37872182301662,NA,NA
"MexI",0.256855522487112,1.49720563843498e-22,0.918824607144281,0.962000895076626,0.654227948446009,0.48028217444482,NA,0.970161651289428,0.846428658520122,0.759051600492656,0.845807474003165,NA,NA,0.912372777935311,0.0969043964229545,0.751591273890874,1.49856074914794e-22,NA,0.598373854454219,0.993385081374305,0.363580312419589,NA,NA
"Paer_emrE",0.293147908076077,0.958402291680004,0.871911058487304,0.777454249682625,0.732030818145049,0.920466644201082,NA,0.620041735285835,0.863445627274634,0.337762044284787,0.513870076842284,NA,NA,0.721582707043867,0.135842359833433,0.030160873598448,0.945714257136899,NA,0.250050300115159,0.460655062624708,0.530110048637784,NA,NA
"ParS",0.145796008190694,0.914498244257845,0.725444772469575,0.910449518848239,0.750579844288983,0.82072034284463,NA,0.814457991795427,3.76452251192898e-09,0.54002271753077,0.845807474003165,NA,NA,0.618272371477365,0.177069095869804,0.883997828565317,1.65853809150075e-09,NA,6.62702447531533e-09,0.955306830394193,0.900072920180068,NA,NA
"ArmR",0.316891989971158,0.846870994008822,0.90821636796283,0.703213262358409,0.50322863465475,0.841931289762148,NA,0.927283735964126,0.710700072111611,0.278708602058481,0.892484369361992,NA,NA,0.674658583398701,0.00585380857327434,0.122057143571208,0.92348560401875,NA,0.0882222823110207,0.786392527263214,0.86179345018948,NA,NA
"patB",0.165390537652927,2.90067189363865e-26,0.895608068109275,0.864486417062077,0.32809802089452,0.057423984751802,NA,0.656651724478141,0.730428544709442,0.758623369752802,0.583481301487397,NA,NA,0.942349180483615,0.0238648875760669,0.0791588238593345,0.92625812722368,NA,0.783821760126391,0.550266709846119,0.793352572543058,NA,NA
"vanV_in_vanB_cl",0.520700552822261,0.369323995063158,0.634301155895626,0.858179061813976,0.597034053818947,0.88197256569207,NA,0.471652932521254,0.710700072111611,0.187310818822431,0.901567776110941,NA,NA,0.983232453434106,6.75190168890544e-10,0.327146594374056,0.92348560401875,NA,0.0564861768813418,0.811447520208863,0.265346957112886,NA,NA
"APH(6)-Id",0.651479633018931,0.779024313060274,0.527751760536162,0.831908824551353,0.436392176595395,0.625048208120237,NA,0.471652932521254,0.7326084335721,0.981984161067983,0.146440130778422,NA,NA,0.862233635076838,0.83028797446893,1.17147290145887e-15,0.629409391765943,NA,0.0469182817586946,0.69083475311009,0.900072920180068,NA,NA
"dfrF",0.639498587446473,0.316634746772985,0.89807021484456,0.846863422657514,0.50322863465475,0.265673401864841,NA,0.656651724478141,0.920786986667783,0.75761846334032,0.240286050553205,NA,NA,0.321646053285468,0.485152789130744,0.592925000733233,0.941529632927925,NA,0.405485505062142,0.900932367924269,0.793352572543058,NA,NA
"rsmA",0.777222429721163,0.732176431072757,0.978080348051411,0.700187511775051,0.732030818145049,0.608665465462906,NA,0.767984923630927,0.9789208433658,0.221986191929106,0.845807474003165,NA,NA,0.789249957700922,0.106524377492147,0.276622070527527,0.101417651222232,NA,0.0954397995594609,0.518218479249051,0.573953584907567,NA,NA
"CfxA2",0.844573448559417,0.0893705645055721,0.00946419390148211,0.878742023344858,0.845333992063701,0.749079776931578,NA,0.923210235640575,2.27614493945225e-20,0.54002271753077,0.794840578452842,NA,NA,0.560752598204341,0.00850197420709831,0.0147010757914736,0.424538594830463,NA,0.892484830826705,0.460655062624708,0.573953584907567,NA,NA
"aadA5",0.115799069732151,0.837605762337419,6.33095309001718e-05,0.995666555581822,0.933064511977093,0.803684256887796,NA,0.471652932521254,0.8319640509811,0.89051814678818,0.24345270452395,NA,NA,0.862233635076838,0.82168538178837,9.75493592915211e-08,5.24383931578917e-08,NA,0.404455444671305,0.0441165056823473,0.953266347056164,NA,NA
