"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tetM",0.0245852557540797,0.0713002941142831,0.00414293493766795,0.594047101167736,0.00364223510634566,0.171873274018013,0.00141180686809417,0.00240196561498596,0.381074331412602,0.414657469239874,0.22639780540086,0.456238101938813,NA,0.159870548524657,0.918021940233585,0.926390275254781,0.319951799498895,0.757269674401992,1.06432003256279e-05,0.0983105088875984,0.662140945699126,7.58970782249063e-06,0.107506690274629
"mtrC",0.252032834699356,0.00611291652874494,0.287752936052377,0.24180052764678,0.300403032154921,0.578492477893866,3.2013013604952e-10,0.499276039306855,3.4567168572306e-10,0.152536268693834,0.941224376275022,3.48840174873792e-10,NA,0.0150140619137935,0.0131408691600172,0.70594332363311,0.615989739934866,0.690250493092974,0.319758864972341,0.63606646138524,0.968331733617556,3.42497525840679e-10,3.45671685723058e-10
"arnA",0.194692363649307,0.580950860004865,0.0115611853692571,0.86900285878818,0.913333904379366,0.809076597602107,0.702821767510302,0.6079853561412,0.699334627237276,0.159622279078461,0.399575443879511,0.630955983256492,NA,0.79731637057182,1.2861370414912e-09,0.595351236409009,0.219922208165542,0.645530198317015,0.710265165855756,0.656300631611804,0.710063341830555,1.29655678854871e-09,0.364714641906392
"MexI",0.509359774405376,0.513658389291009,0.00581234192055641,0.207678993110255,0.777317994571397,0.466148048178719,0.207589678900082,0.776204153313595,0.628452047463101,0.883492384001807,0.489157430610494,4.30211970340843e-24,NA,0.18323825512271,0.760761278243409,0.700635664102359,0.287577727933638,0.62965871133923,0.0483181064882151,0.756863200706213,0.000985349260195126,0.784349511298098,4.00590137373909e-24
"Paer_emrE",0.0180675395621361,0.0330703191827588,0.767509810274842,0.209331898805807,0.529983014997953,0.513962028297621,0.542469432426381,0.343144117948333,0.669964500092693,0.250457566686301,0.383447936208927,0.843996584250503,NA,0.425321360548691,0.239742989509478,0.367206024934535,0.790995288112991,0.339247935988463,0.237439837757875,0.0480257407768522,0.0165821910530806,0.799159421252823,0.118821794754622
"ParS",0.178830081981924,0.129735874022535,0.53633053045664,0.563822142789795,0.762339293076006,0.32759521259906,0.0670884704123319,0.401948937467995,3.90301665116382e-10,0.536524905320413,0.309924887067652,3.93833459854696e-10,NA,0.799584685606855,0.00593863391185028,0.984902642814947,0.555664164894561,0.613081568150356,3.58229979430531e-10,0.473425073950398,0.427781735395872,0.37362971471818,0.655142968562337
"ArmR",0.00476725989731881,0.116114025438659,0.823301337544622,0.148092407610027,0.780787372653725,0.882610564819833,0.90701445237262,0.0733646588933672,0.415961580667331,0.192738338820102,0.982508163939908,0.978661028413373,NA,0.386659219669902,0.334638999542209,0.553967114942572,0.427411273834724,0.243162900779437,0.100386035830756,0.139093421393667,0.0556235575057189,0.826304028676871,0.105415902212479
"patB",0.0138274188561936,0.00925819114330441,0.886151147743889,0.899477145583711,0.255851041290824,0.566381893620317,0.866135061680186,0.086058798552023,0.456823203547377,0.49639039125942,0.134576851201941,0.678642925553858,NA,0.524655998938513,0.730332815153452,0.123446684230694,0.0785557550156101,0.242407534690652,0.598777214267194,0.637988883355083,0.717359218708557,0.272312062740553,0.808340929564055
"vanV_in_vanB_cl",0.01696355103193,0.000877927832942095,0.811019811184157,0.448969011825123,0.614481236624851,0.875783299345894,0.482172085241731,0.733359891351661,0.371583865585943,0.0314913547704982,0.891593951367234,0.101477846788052,NA,0.027094521989081,0.349853303715317,0.862150860718147,0.266061235426672,0.591584429165065,0.0333129409534914,0.101185949481275,0.00558051670036665,0.648904375445175,0.131233589304324
"APH(6)-Id",0.00561531019085802,0.0443359974849529,0.679586653300525,0.128605168887938,0.477025109880372,0.251405437292603,0.159022037528476,0.17730890823034,0.465476948484689,0.189937466792755,0.147634548682079,3.88535202028887e-17,NA,0.0842730189471749,0.751998008589088,0.744850794167098,0.136872233781201,0.71337022137552,2.45736133214635e-06,0.328488783482416,0.308825394143051,0.0559872292106788,3.76321683810517e-17
