"","PostTtest_p","PostTtest_adj_p"
"tet(W)",0.270840190009785,0.742799447991985
"vanS-D",0.886372364623929,0.949684676382781
"vanR-D",0.128646766953532,0.742799447991985
"sul2",0.488143399197087,0.742799447991985
"tet(O)",0.409587008734124,0.742799447991985
"mef(A)",0.58454615792714,0.742799447991985
"aadE",0.204694265227405,0.742799447991985
"lnu(C)",0.819699127365662,0.945806685421917
"tet(40)",0.594239558393588,0.742799447991985
"msr(D)",0.386555671022961,0.742799447991985
"vanH-D",0.54935817671574,0.742799447991985
"vanZ-A",0.423641940101046,0.742799447991985
"dfrF",0.965830173364863,0.965830173364863
"erm(B)",0.576282502422417,0.742799447991985
"vanX-D",0.356793674674844,0.742799447991985
