"","brackenPreTtest_p","brackenPreTtest_adj_p"
"Enterococcus raffinosus",0.0289639780985305,0.990044721772639
"Bifidobacterium catenulatum",0.477264226698579,0.990044721772639
"Christensenella minuta",0.457771186122486,0.990044721772639
"Butyrivibrio hungatei",0.400631232042327,0.990044721772639
"Oscillospiraceae bacterium",0.671263055878931,0.990044721772639
"Streptococcus infantis",0.917940917593102,0.990044721772639
"Lactiplantibacillus plantarum",0.507202546694785,0.990044721772639
"uncultured human fecal virus",0.713949689206722,0.990044721772639
"Anaerotignum propionicum",0.771877449385221,0.990044721772639
"Roseburia hominis",0.385908758338087,0.990044721772639
"Novisyntrophococcus fermenticellae",0.128039563809897,0.990044721772639
"[Clostridium] innocuum",0.157548298644154,0.990044721772639
"Leuconostoc mesenteroides",0.573627552383347,0.990044721772639
"Pauljensenia hongkongensis",0.187038265422007,0.990044721772639
"Bacteroides zhangwenhongii",0.0604948805905952,0.990044721772639
"Ligilactobacillus salivarius",0.33392164194849,0.990044721772639
"Clostridium gasigenes",0.339895708689909,0.990044721772639
"Enterococcus cecorum",0.989170967680633,0.998338441166133
"Lawsonibacter asaccharolyticus",0.517370069151139,0.990044721772639
"Clostridium sp. SY8519",0.260494451943538,0.990044721772639
"Akkermansia muciniphila",0.963775875737212,0.990752696875372
"Pseudomonas putida",0.290871331386635,0.990044721772639
"Qiania dongpingensis",0.147126524618793,0.990044721772639
"Cellulosilyticum sp. WCF-2",0.895887816231828,0.990044721772639
"Gordonibacter pamelaeae",0.652959453658769,0.990044721772639
"Veillonella atypica",0.0759793465226409,0.990044721772639
"Staphylococcus aureus",0.662467588977838,0.990044721772639
"Clostridium sp. C1",0.343142835461727,0.990044721772639
"Weizmannia coagulans",0.725765057331218,0.990044721772639
"Emergencia timonensis",0.668365026895545,0.990044721772639
"Vescimonas coprocola",0.483858031302578,0.990044721772639
"Streptococcus pyogenes",0.74664287624757,0.990044721772639
"Bacteroides faecis",0.0508974765973469,0.990044721772639
"Bacteroides caccae",0.0842024844609705,0.990044721772639
"Actinomyces sp. oral taxon 169",0.215058149475365,0.990044721772639
"Anaerobutyricum hallii",0.325979463414371,0.990044721772639
"Escherichia coli",0.797936844998351,0.990044721772639
"Peptacetobacter hiranonis",0.850175541918504,0.990044721772639
"Paraprevotella xylaniphila",0.0486102879984461,0.990044721772639
"Streptococcus thermophilus",0.639604136411358,0.990044721772639
"Alistipes communis",0.0349111276072947,0.990044721772639
"Enterococcus faecalis",0.351266949814611,0.990044721772639
"Blautia liquoris",0.171218400313972,0.990044721772639
"Fusobacterium nucleatum",0.676776288635601,0.990044721772639
"Clostridium sp. BJN0001",0.548781817670565,0.990044721772639
"Campylobacter concisus",0.460035543641006,0.990044721772639
"Phocaeicola vulgatus",0.0571322043196989,0.990044721772639
"Anaerostipes caccae",0.377194470273342,0.990044721772639
"Prevotella melaninogenica",0.113421609329482,0.990044721772639
"Geosporobacter ferrireducens",0.956737376025106,0.990752696875372
"Streptococcus mitis",0.779153572139377,0.990044721772639
"Eubacterium maltosivorans",0.810760815777669,0.990044721772639
"Bacteroides thetaiotaomicron",0.337044305921172,0.990044721772639
"Fusobacterium ulcerans",0.769946032917042,0.990044721772639
"Anaerostipes hadrus",0.949290565304837,0.990044721772639
"Streptococcus parasanguinis",0.785575850388066,0.990044721772639
"Parabacteroides sp. CT06",0.101051564644918,0.990044721772639
"Enterococcus durans",0.926542216282543,0.990044721772639
"Faecalibacterium sp. IP118",0.678822779719826,0.990044721772639
"Romboutsia hominis",0.696174518907979,0.990044721772639
"Lachnoclostridium phocaeense",0.286985280670315,0.990044721772639
"Wansuia hejianensis",0.699026029978062,0.990044721772639
"Anaerostipes rhamnosivorans",0.134353023012916,0.990044721772639
"Bacteroides cellulosilyticus",0.699063769497023,0.990044721772639
"Bacteroides fragilis",0.681835331291118,0.990044721772639
"Eggerthella lenta",0.853064960074645,0.990044721772639
"Adlercreutzia hattorii",0.443913632233823,0.990044721772639
"Plasmodium malariae",0.289552212089059,0.990044721772639
"Faecalibacterium sp. I2392",0.461480748985203,0.990044721772639
"Aminipila luticellarii",0.624365141274777,0.990044721772639
"Bifidobacterium animalis",0.649496035839883,0.990044721772639
"Alistipes senegalensis",0.0521395377129895,0.990044721772639
"Bacillus velezensis",0.581703435826374,0.990044721772639
"Bacteroides salyersiae",0.114040310904084,0.990044721772639
"Erysipelatoclostridium ramosum",0.759011860421917,0.990044721772639
"Lacticaseibacillus rhamnosus",0.0358284763828501,0.990044721772639
"Clostridium saccharoperbutylacetonicum",0.499166097774755,0.990044721772639
"Enterobacter hormaechei",0.871186218164727,0.990044721772639
"Actinomyces viscosus",0.399920272887706,0.990044721772639
"Enterococcus gallinarum",0.903483886499061,0.990044721772639
"Veillonella rodentium",0.120754134778961,0.990044721772639
"Clostridioides difficile",0.128096057979295,0.990044721772639
"Collinsella aerofaciens",0.592998461232405,0.990044721772639
