"","PostTtest_p","PostTtest_adj_p"
"Enterococcus",0.990485627799113,0.990485627799113
"Tetragenococcus",0.404263934817448,0.494100364776881
"Vagococcus",0.653406599484412,0.722035819204213
"Lactococcus",0.293346919819025,0.387217934161113
"Streptococcus",0.377175014104853,0.470676383147653
"Carnobacterium",0.204145418977055,0.303155947180927
"Granulicatella",0.801604271824336,0.832465145147957
"Jeotgalibaca",0.916107192810106,0.922800385153682
"Lacticaseibacillus",0.500805741804864,0.574283032108281
"Lactobacillus",0.45770279759064,0.54375092353768
"Pediococcus",0.865446529490742,0.886336618133622
"Lactiplantibacillus",0.902345869780749,0.914664584726561
"Leuconostoc",0.794992823189966,0.832465145147957
"Loigolactobacillus",0.472500848410192,0.559094629393734
"Ligilactobacillus",0.448195093341774,0.534594147479947
"Weissella",0.487477375557718,0.567532298553604
"Companilactobacillus",0.710650176635913,0.77312491743907
"Limosilactobacillus",0.742794908563321,0.799311912475748
"Latilactobacillus",0.801633102735069,0.832465145147957
"Levilactobacillus",0.547706593582927,0.618996732151721
"Lentilactobacillus",0.6539651022422,0.722035819204213
"Liquorilactobacillus",0.797832652790232,0.832465145147957
"Aerococcus",0.872786869229263,0.890782474780381
"Staphylococcus",0.497331878532844,0.572509953194786
"Mammaliicoccus",0.921875187886622,0.924989631088942
"Macrococcus",0.789840420135841,0.832465145147957
"Bacillus",0.677890622698623,0.742928099415096
"Metabacillus",0.0903435520991583,0.191109744526899
"Priestia",0.168480490969663,0.260577029326491
"Lysinibacillus",0.354390964111737,0.445992018394855
"Weizmannia",0.73100369974538,0.78948399572501
"Heyndrickxia",0.0536739651252159,0.167920510811082
"Virgibacillus",0.102955873974938,0.199125838893962
"Cytobacillus",0.180404786210111,0.273368477063281
"Geobacillus",0.851013221916046,0.877607385100922
"Peribacillus",0.11454371267156,0.210388079256415
"Anoxybacillus",0.861981884238057,0.88584297445918
"Parageobacillus",0.303441744965981,0.395272799363581
"Alkalihalobacillus",0.288796864596116,0.382913699933242
"Halobacillus",0.274145108473007,0.371785832038736
"Mesobacillus",0.1010702975155,0.199125838893962
"Gracilibacillus",0.582571289708517,0.650464936253494
"Niallia",0.138315646072008,0.230078868832926
"Neobacillus",0.0548427257531143,0.167920510811082
"Gemella",0.529782656318557,0.6028561261556
"Exiguobacterium",0.548135153386878,0.618996732151721
"Listeria",0.697595587476416,0.76171282897241
"Paenibacillus",0.0815899958953352,0.18444604951036
"Brevibacillus",0.142058480773602,0.232612144152201
"Cohnella",0.0977197027397867,0.196430688090027
"Sporosarcina",0.231735042509969,0.332489408818651
"Planococcus",0.179100856503331,0.273368477063281
"Mediterraneibacter",0.270851130632695,0.370704082018021
"Blautia",0.0445698948176641,0.165591844750274
"Anaerostipes",0.26004390410454,0.359223439623481
"Lacrimispora",0.0573422741923347,0.1708993866338
"Lachnoclostridium",0.068008091625419,0.175241634608395
"Anaerobutyricum",0.344097220867789,0.436738780332194
"Roseburia",0.350026757464388,0.44237424241244
"Enterocloster",0.00734558186810538,0.165573293540911
"Dorea",0.10510932806503,0.201014182501356
"Sellimonas",0.169331200875464,0.260577029326491
"Coprococcus",0.112692988327172,0.210388079256415
"Faecalicatena",0.113692574440231,0.210388079256415
"Anaerocolumna",0.126472823361878,0.222239940668978
"Lachnoanaerobaculum",0.103250434982054,0.199125838893962
"Wansuia",0.0631136060622087,0.17340029473684
"Novisyntrophococcus",0.114757134139863,0.210388079256415
"Simiaoa",0.164170626502084,0.256624610900627
"Butyrivibrio",0.0436097517391376,0.165591844750274
"Lachnospira",0.417099533542551,0.50769902238581
"Wujia",0.431601905217495,0.521080348982097
