"","PreTtest_p","PreTtest_adj_p"
"Enterococcus",0.915855163205444,0.997188309374259
"Tetragenococcus",0.413625026288957,0.997188309374259
"Vagococcus",0.711680642195393,0.997188309374259
"Lactococcus",0.00967754607941649,0.997188309374259
"Streptococcus",0.795724341692614,0.997188309374259
"Carnobacterium",0.0881369705453632,0.997188309374259
"Granulicatella",0.0784065223392766,0.997188309374259
"Jeotgalibaca",0.759900742519215,0.997188309374259
"Lacticaseibacillus",0.0664536072824131,0.997188309374259
"Lactobacillus",0.759673397025466,0.997188309374259
"Pediococcus",0.40237461787579,0.997188309374259
"Lactiplantibacillus",0.156989670847571,0.997188309374259
"Leuconostoc",0.860982455092257,0.997188309374259
"Loigolactobacillus",0.159727488852518,0.997188309374259
"Ligilactobacillus",0.272149335972717,0.997188309374259
"Weissella",0.766598024692904,0.997188309374259
"Companilactobacillus",0.427847802026094,0.997188309374259
"Limosilactobacillus",0.427025364731748,0.997188309374259
"Latilactobacillus",0.935318040652864,0.997188309374259
"Levilactobacillus",0.235742343314763,0.997188309374259
"Lentilactobacillus",0.7021926746548,0.997188309374259
"Liquorilactobacillus",0.740728414819823,0.997188309374259
"Aerococcus",0.76437098614055,0.997188309374259
"Staphylococcus",0.86006671945375,0.997188309374259
"Mammaliicoccus",0.938086448623825,0.997188309374259
"Macrococcus",0.556981508940011,0.997188309374259
"Bacillus",0.957850426299547,0.997188309374259
"Metabacillus",0.744337866918382,0.997188309374259
"Priestia",0.843390911981207,0.997188309374259
"Lysinibacillus",0.954844673017762,0.997188309374259
"Weizmannia",0.814604977499538,0.997188309374259
"Heyndrickxia",0.580284208926821,0.997188309374259
"Virgibacillus",0.845755426111709,0.997188309374259
"Cytobacillus",0.946357278504155,0.997188309374259
"Geobacillus",0.868229106202306,0.997188309374259
"Peribacillus",0.398616919540505,0.997188309374259
"Anoxybacillus",0.480111012117067,0.997188309374259
"Parageobacillus",0.993830772979059,0.997188309374259
"Alkalihalobacillus",0.784856899585338,0.997188309374259
"Halobacillus",0.990530577161587,0.997188309374259
"Mesobacillus",0.80633083081257,0.997188309374259
"Gracilibacillus",0.467102051007378,0.997188309374259
"Niallia",0.526027273159864,0.997188309374259
"Neobacillus",0.819976065646199,0.997188309374259
"Gemella",0.428393035466337,0.997188309374259
"Exiguobacterium",0.749265009439032,0.997188309374259
"Listeria",0.629010209078415,0.997188309374259
"Paenibacillus",0.980654568210965,0.997188309374259
"Brevibacillus",0.851574876467239,0.997188309374259
"Cohnella",0.784111690543767,0.997188309374259
"Sporosarcina",0.677753798695849,0.997188309374259
"Planococcus",0.880558136987742,0.997188309374259
"Mediterraneibacter",0.416911252748446,0.997188309374259
"Blautia",0.281950667610748,0.997188309374259
"Anaerostipes",0.940041611256711,0.997188309374259
"Lacrimispora",0.990525359859525,0.997188309374259
"Lachnoclostridium",0.72613946371048,0.997188309374259
"Anaerobutyricum",0.504470027816937,0.997188309374259
"Roseburia",0.92357959589228,0.997188309374259
"Enterocloster",0.667106688442716,0.997188309374259
"Dorea",0.909048582427853,0.997188309374259
"Sellimonas",0.861291343376525,0.997188309374259
"Coprococcus",0.624375013880113,0.997188309374259
"Faecalicatena",0.883942424748474,0.997188309374259
"Anaerocolumna",0.975888749634922,0.997188309374259
"Lachnoanaerobaculum",0.977936431030195,0.997188309374259
"Wansuia",0.840122417186409,0.997188309374259
"Novisyntrophococcus",0.385551049653823,0.997188309374259
"Simiaoa",0.565092008514972,0.997188309374259
"Butyrivibrio",0.816462251374929,0.997188309374259
"Lachnospira",0.914258136058533,0.997188309374259
"Wujia",0.482992388614962,0.997188309374259
"Pseudobutyrivibrio",0.910737574257409,0.997188309374259
"Anaerotignum",0.61206603766079,0.997188309374259
"Cellulosilyticum",0.53276060335599,0.997188309374259
"Qiania",0.33569270277251,0.997188309374259
"Faecalibacterium",0.751779161608952,0.997188309374259
"Ruminococcus",0.857122339842539,0.997188309374259
"Flavonifractor",0.295871309927917,0.997188309374259
"Anaerotruncus",0.201638673443327,0.997188309374259
"Ruthenibacterium",0.506063539292813,0.997188309374259
"Dysosmobacter",0.564333924990519,0.997188309374259
"Monoglobus",0.754420528426345,0.997188309374259
"Acetivibrio",0.721140051343976,0.997188309374259
"Clostridium",0.233782476450832,0.997188309374259
"Geosporobacter",0.791545818849393,0.997188309374259
"Hungatella",0.396582264794436,0.997188309374259
"Crassaminicella",0.439998805550803,0.997188309374259
"Alkaliphilus",0.800770142232954,0.997188309374259
"Paraclostridium",0.943786986158041,0.997188309374259
"Clostridioides",0.0920548335525558,0.997188309374259
"Terrisporobacter",0.826864402152653,0.997188309374259
"Romboutsia",0.834011715447611,0.997188309374259
"Paeniclostridium",0.8410429281916,0.997188309374259
"Aminipila",0.81289551463259,0.997188309374259
"Mogibacterium",0.419642035085111,0.997188309374259
"Massilistercora",0.586474001524282,0.997188309374259
"Intestinimonas",0.457365314122371,0.997188309374259
"Lawsonibacter",0.284015177342254,0.997188309374259
"Flintibacter",0.56780195838659,0.997188309374259
"Eubacterium",0.572805636164748,0.997188309374259
"Desulfitobacterium",0.740133638141103,0.997188309374259
"Vallitalea",0.817119026626803,0.997188309374259
"Thermoanaerobacterium",0.528562389635012,0.997188309374259
"Veillonella",0.066308602510392,0.997188309374259
"Megasphaera",0.763566519294645,0.997188309374259
"Phascolarctobacterium",0.0762832898245845,0.997188309374259
"Acidaminococcus",0.87287980727412,0.997188309374259
"Erysipelatoclostridium",0.572762051588467,0.997188309374259
"Faecalitalea",0.594465724558114,0.997188309374259
"Longicatena",0.539704530428206,0.997188309374259
"Amedibacterium",0.526652769954762,0.997188309374259
"Intestinibaculum",0.829670189416496,0.997188309374259
"Erysipelothrix",0.930776801105092,0.997188309374259
"Turicibacter",0.236724305237241,0.997188309374259
"Catenibacterium",0.31249358923387,0.997188309374259
"Finegoldia",0.78344686307263,0.997188309374259
"Parvimonas",0.229634669683079,0.997188309374259
"Anaerococcus",0.684177242357753,0.997188309374259
"Rothia",0.991158273960256,0.997188309374259
"Arthrobacter",0.606245835685457,0.997188309374259
"Microbacterium",0.622379773362056,0.997188309374259
"Bifidobacterium",0.702679809874013,0.997188309374259
"Actinomyces",0.446391733420425,0.997188309374259
"Schaalia",0.488921512645063,0.997188309374259
"Pauljensenia",0.487679008999758,0.997188309374259
"Mycolicibacterium",0.43602178628072,0.997188309374259
"Mycobacterium",0.283027172247527,0.997188309374259
"Corynebacterium",0.594239761344743,0.997188309374259
"Rhodococcus",0.359338924773879,0.997188309374259
"Gordonia",0.7751131569922,0.997188309374259
"Propionibacterium",0.244894643116995,0.997188309374259
"Cutibacterium",0.504972850517764,0.997188309374259
"Nocardioides",0.674516383858166,0.997188309374259
"Streptomyces",0.553039332864932,0.997188309374259
"Amycolatopsis",0.466691772056582,0.997188309374259
"Collinsella",0.958150880686762,0.997188309374259
"Lancefieldella",0.10532435955179,0.997188309374259
"Olsenella",0.638115378059217,0.997188309374259
"Eggerthella",0.918994726126294,0.997188309374259
"Adlercreutzia",0.426062894605691,0.997188309374259
"Gordonibacter",0.713330318944094,0.997188309374259
"Nostoc",0.991346877207113,0.997188309374259
"Calothrix",0.456782158734287,0.997188309374259
"Synechococcus",0.779673466626767,0.997188309374259
"Spiroplasma",0.395870276999111,0.997188309374259
"Mycoplasma",0.681198694352567,0.997188309374259
"Mycoplasmopsis",0.44828543563807,0.997188309374259
"Deinococcus",0.816352884753727,0.997188309374259
"Escherichia",0.51894298993344,0.997188309374259
"Salmonella",0.699844421237897,0.997188309374259
"Citrobacter",0.679105023424984,0.997188309374259
"Klebsiella",0.804875443754915,0.997188309374259
"Shigella",0.857110595906885,0.997188309374259
"Enterobacter",0.784360819276578,0.997188309374259
"Kosakonia",0.688824637661721,0.997188309374259
"Leclercia",0.608581934125068,0.997188309374259
"Buchnera",0.62504817015363,0.997188309374259
"Erwinia",0.93158774248345,0.997188309374259
"Pantoea",0.655202011630336,0.997188309374259
"Proteus",0.137206148535957,0.997188309374259
"Providencia",0.734439031289165,0.997188309374259
"Serratia",0.881561160233424,0.997188309374259
"Yersinia",0.948635952556869,0.997188309374259
"Pectobacterium",0.940508453056819,0.997188309374259
"Vibrio",0.808791675994514,0.997188309374259
"Haemophilus",0.822606973844904,0.997188309374259
"Acinetobacter",0.792341610478995,0.997188309374259
"Psychrobacter",0.304383197186874,0.997188309374259
"Pseudoalteromonas",0.859146619409275,0.997188309374259
"Shewanella",0.977579340928862,0.997188309374259
"Pseudomonas",0.50898954093805,0.997188309374259
"Legionella",0.663607505387191,0.997188309374259
"Francisella",0.8776824970261,0.997188309374259
"Campylobacter",0.538160067222967,0.997188309374259
"Helicobacter",0.538473250689078,0.997188309374259
"Malaciobacter",0.916295893459412,0.997188309374259
"Arcobacter",0.574115055911115,0.997188309374259
"Aliarcobacter",0.682637908323022,0.997188309374259
"Sulfurimonas",0.877068113249745,0.997188309374259
"Bradyrhizobium",0.685108106777869,0.997188309374259
"Mesorhizobium",0.845142377151235,0.997188309374259
"Bartonella",0.784510309257825,0.997188309374259
"Sphingomonas",0.398665837922145,0.997188309374259
"Brevundimonas",0.917911613128754,0.997188309374259
"Ralstonia",0.0816342288000741,0.997188309374259
"Cupriavidus",0.829483992351381,0.997188309374259
"Burkholderia",0.634482473234665,0.997188309374259
"Acidovorax",0.367379394493204,0.997188309374259
"Comamonas",0.360437903196859,0.997188309374259
"Massilia",0.404545149603619,0.997188309374259
"Bacteroides",0.243865936503656,0.997188309374259
"Phocaeicola",0.0945302114913681,0.997188309374259
"Parabacteroides",0.0215987452114992,0.997188309374259
"Alistipes",0.311567043350989,0.997188309374259
"Odoribacter",0.422639256720057,0.997188309374259
"Butyricimonas",0.794321814658489,0.997188309374259
"Prevotella",0.134881764932348,0.997188309374259
"Kaistella",0.376933431470923,0.997188309374259
"Chryseobacterium",0.65798370977585,0.997188309374259
"Elizabethkingia",0.906604955784674,0.997188309374259
"Flavobacterium",0.536901913827598,0.997188309374259
"Capnocytophaga",0.0941417291897172,0.997188309374259
"Myroides",0.480984796481173,0.997188309374259
"Polaribacter",0.870154693153047,0.997188309374259
"Formosa",0.428955761055071,0.997188309374259
"Blattabacterium",0.33838150608132,0.997188309374259
"Sphingobacterium",0.246619540281766,0.997188309374259
"Mucilaginibacter",0.383780564465603,0.997188309374259
"Pedobacter",0.168257695874788,0.997188309374259
"Hymenobacter",0.160259025783543,0.997188309374259
"Arachidicoccus",0.0520695486765939,0.997188309374259
"Borrelia",0.218290123604964,0.997188309374259
"Treponema",0.931656575474621,0.997188309374259
"Brachyspira",0.866755900480632,0.997188309374259
"Leptospira",0.971559300181187,0.997188309374259
"Akkermansia",0.841471125338411,0.997188309374259
"Fusobacterium",0.599724485330283,0.997188309374259
"Leptotrichia",0.536205629477838,0.997188309374259
"Saccharomyces",0.570877335737586,0.997188309374259
"Candida",0.275362606272044,0.997188309374259
"Fusarium",0.605958145693592,0.997188309374259
"Pyricularia",0.347558383565239,0.997188309374259
"Aspergillus",0.985140429587181,0.997188309374259
"Plasmodium",0.354420460755704,0.997188309374259
"Toxoplasma",0.969121958268515,0.997188309374259
"Dictyostelium",0.388116576629431,0.997188309374259
"Methanosarcina",0.99839766127699,0.99839766127699
"Methanobrevibacter",0.264358189751187,0.997188309374259
"Herbinix",0.272634970612315,0.997188309374259
"Solibaculum",0.430057138984143,0.997188309374259
"Pusillibacter",0.466690183897532,0.997188309374259
"Caproicibacterium",0.624210044967835,0.997188309374259
"Ruminiclostridium",0.629582897662466,0.997188309374259
"Acutalibacter",0.912550927326673,0.997188309374259
"Vescimonas",0.482454295420423,0.997188309374259
"Oscillibacter",0.798455595422391,0.997188309374259
"Emergencia",0.78046210051373,0.997188309374259
"Acetobacterium",0.722886078231392,0.997188309374259
"Alkalibacter",0.0505786445444411,0.997188309374259
"Peptacetobacter",0.917810638486414,0.997188309374259
"Christensenella",0.520282289403146,0.997188309374259
"Desulfosporosinus",0.702334709004043,0.997188309374259
"Desulforamulus",0.817807405647551,0.997188309374259
"Caldicellulosiruptor",0.949224411465814,0.997188309374259
"Thermoanaerobacter",0.871869292194472,0.997188309374259
"Faecalibacillus",0.551708104028041,0.997188309374259
"Tannockella",0.979246111415982,0.997188309374259
"Dialister",0.535101712395766,0.997188309374259
"Selenomonas",0.872548608779633,0.997188309374259
"Megamonas",0.524508431196506,0.997188309374259
"Pelosinus",0.918477492276391,0.997188309374259
"Tissierella",0.658755908316595,0.997188309374259
"Brevibacterium",0.916935577183387,0.997188309374259
"Nocardia",0.693375275311069,0.997188309374259
"Micromonospora",0.914804593088764,0.997188309374259
"Actinoplanes",0.939285050388973,0.997188309374259
"Raoultella",0.670546943812984,0.997188309374259
"Morganella",0.518345243079757,0.997188309374259
"Dickeya",0.743763183214361,0.997188309374259
"Marinobacter",0.949676446869929,0.997188309374259
"Alteromonas",0.438082985596513,0.997188309374259
"Photobacterium",0.940581243791927,0.997188309374259
"Xanthomonas",0.946423728589289,0.997188309374259
"Stenotrophomonas",0.581276579183155,0.997188309374259
"Lysobacter",0.585428641898141,0.997188309374259
"Halomonas",0.973379771859435,0.997188309374259
"Pasteurella",0.945416935426353,0.997188309374259
"Aeromonas",0.933188435860157,0.997188309374259
"Rhizobium",0.877154618102704,0.997188309374259
"Agrobacterium",0.542526316694441,0.997188309374259
"Methylobacterium",0.0888553268588058,0.997188309374259
"Paracoccus",0.919248484663701,0.997188309374259
"Komagataeibacter",0.437958048356854,0.997188309374259
"Azospirillum",0.862168459502442,0.997188309374259
"Sphingobium",0.687698180978929,0.997188309374259
"Desulfovibrio",0.8290833557324,0.997188309374259
"Polynucleobacter",0.763310767718386,0.997188309374259
"Paraburkholderia",0.941971884771897,0.997188309374259
"Variovorax",0.676784781579608,0.997188309374259
"Bordetella",0.98417511984243,0.997188309374259
"Achromobacter",0.899827465294881,0.997188309374259
"Neisseria",0.81920474724896,0.997188309374259
"Paraprevotella",0.0989561613254958,0.997188309374259
"Porphyromonas",0.318998539059272,0.997188309374259
"Coprobacter",0.127267801258223,0.997188309374259
"Barnesiella",0.0464124757325161,0.997188309374259
"Gramella",0.360423039130316,0.997188309374259
"Tenacibaculum",0.645157113350434,0.997188309374259
"Winogradskyella",0.906847253279319,0.997188309374259
"Cellulophaga",0.695576155297105,0.997188309374259
"Aquimarina",0.303829184283669,0.997188309374259
"Echinicola",0.327826520502709,0.997188309374259
"Spirosoma",0.206193605631968,0.997188309374259
"Flammeovirga",0.261462364031017,0.997188309374259
"Chitinophaga",0.411444456406418,0.997188309374259
"Gimesia",0.657416084821401,0.997188309374259
