"","PostTtest_p","PostTtest_adj_p"
"PWY-7663: gondoate biosynthesis (anaerobic)",0.635308619679765,0.776927242692196
"PWY-5973: cis-vaccenate biosynthesis",0.658549914250359,0.788812534651529
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",0.286928144201466,0.549550359288553
"LACTOSECAT-PWY: lactose and galactose degradation I",0.0990730063485128,0.471674378828062
"PWY0-1477: ethanolamine utilization",0.0887800905373244,0.471674378828062
"PWY-7664: oleate biosynthesis IV (anaerobic)",0.443770959372258,0.642093379268709
"PWY0-1296: purine ribonucleosides degradation",0.850181323525689,0.926697642643001
"PWY0-1296: purine ribonucleosides degradation|unclassified",0.425461285663721,0.632925473516159
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0.404463702102174,0.622480898453602
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.904795611331523,0.954915604774728
"PWY0-862: (5Z)-dodecenoate biosynthesis I",0.602777308476785,0.765452170090064
"PWY-5989: stearate biosynthesis II (bacteria and plants)",0.144503965464178,0.471674378828062
"PWY-5971: palmitate biosynthesis (type II fatty acid synthase)",0.594551797550836,0.763573541382626
"PWY-6609: adenine and adenosine salvage III",0.832872855296039,0.920511350107912
"PWY-6609: adenine and adenosine salvage III|unclassified",0.504376555204784,0.697869051812297
"PWY-7356: thiamine diphosphate salvage IV (yeast)",0.57273401888939,0.746151490744344
"PWY-5695: inosine 5'-phosphate degradation",0.253866763264251,0.525407794857026
"PWY-5695: inosine 5'-phosphate degradation|unclassified",0.299127446848946,0.551735326560654
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",0.310730557930269,0.56137509637126
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.958813244709048,0.978744290377792
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)",0.947788282904874,0.977686966908182
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified",0.811296609380716,0.912952059425266
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",0.140412570061897,0.471674378828062
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0.140412570061897,0.471674378828062
"PWY-6608: guanosine nucleotides degradation III",0.991639553569128,0.991639553569128
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0.266421257929841,0.53389615863683
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",0.25118199664144,0.525407794857026
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified",0.779677787239373,0.896636194463115
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.627325967928805,0.776927242692196
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",0.178872818256645,0.505743875579506
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0.209042289125234,0.515696592778713
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",0.283381846284751,0.549550359288553
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.650006621737396,0.784325333240326
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified",0.154454289033347,0.481014785846708
"PWY-7199: pyrimidine deoxyribonucleosides salvage",0.123738219235167,0.471674378828062
"PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified",0.563680943109649,0.740255696372912
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)",0.702855984823594,0.826740672796099
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified",0.132214183003205,0.471674378828062
"PWY66-409: superpathway of purine nucleotide salvage",0.812443575818814,0.912952059425266
"PWY-7208: superpathway of pyrimidine nucleobases salvage",0.252393695598731,0.525407794857026
"PWY-7791: UMP biosynthesis III",0.389817588830244,0.618788114308202
"PWY-7791: UMP biosynthesis III|unclassified",0.263827914882745,0.53389615863683
"PWY-3841: folate transformations II (plants)",0.961953133098604,0.978744290377792
"PWY-3841: folate transformations II (plants)|unclassified",0.349525176143165,0.586126833840077
"PWY-6897: thiamine diphosphate salvage II",0.381870010661579,0.615130509784908
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.50859927045109,0.697869051812297
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified",0.179407613355421,0.505743875579506
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.954666106373044,0.978607576125346
"PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified",0.353947358568857,0.590514215571512
"PWY-6606: guanosine nucleotides degradation II",0.964835023915714,0.978744290377792
"PWY-6317: D-galactose degradation I (Leloir pathway)",0.344852358172554,0.584283529131737
"PWY-6317: D-galactose degradation I (Leloir pathway)|unclassified",0.586027740015393,0.758246479598957
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",0.112383989462371,0.471674378828062
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",0.743250829407234,0.864921783687421
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified",0.313500734967754,0.563267804035471
"PWY-6123: inosine-5'-phosphate biosynthesis I",0.840046945382687,0.924900172189019
"PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified",0.22258750562452,0.517750455653935
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.58665553314537,0.758246479598957
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified",0.203064045057925,0.514743742123578
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",0.980044742505508,0.986075787074773
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|unclassified",0.208879460565353,0.515696592778713
"PWY-7790: UMP biosynthesis II",0.389817588830244,0.618788114308202
"PWY-7790: UMP biosynthesis II|unclassified",0.291552710280641,0.549550359288553
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)",0.937318718132364,0.97302609787074
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)|unclassified",0.216053208940403,0.515696592778713
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.236602655396932,0.517750455653935
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified",0.0564335612108628,0.471674378828062
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.236602655396932,0.517750455653935
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified",0.0564335612108628,0.471674378828062
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",0.232005121449763,0.517750455653935
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I",0.324131188477182,0.56679624936919
"PWY-6151: S-adenosyl-L-methionine salvage I",0.427238634184058,0.632925473516159
"PWY-6151: S-adenosyl-L-methionine salvage I|unclassified",0.467728792478295,0.659255668708632
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",0.166148419896199,0.505743875579506
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.273124365131173,0.534800403580201
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified",0.0462112161081574,0.471674378828062
"PWY-7234: inosine-5'-phosphate biosynthesis III",0.143988432377512,0.471674378828062
"PWY-5686: UMP biosynthesis I",0.389817588830244,0.618788114308202
"PWY-5686: UMP biosynthesis I|unclassified",0.228191406587292,0.517750455653935
"PWY-6124: inosine-5'-phosphate biosynthesis II",0.87853741228342,0.942284372734678
"PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified",0.21763342447542,0.515696592778713
"PWY-6700: queuosine biosynthesis I (de novo)",0.63306700351779,0.776927242692196
"PWY-6700: queuosine biosynthesis I (de novo)|unclassified",0.0898646639163059,0.471674378828062
"PWY-5384: sucrose degradation IV (sucrose phosphorylase)",0.672651498353501,0.799799935768894
"PWY-5659: GDP-mannose biosynthesis",0.306407221715131,0.556639786115822
"PWY-5981: CDP-diacylglycerol biosynthesis III",0.133099690920727,0.471674378828062
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0.0440944927550939,0.471674378828062
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified",0.025490649812459,0.471674378828062
"PWY0-1319: CDP-diacylglycerol biosynthesis II",0.143866345393555,0.471674378828062
"PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified",0.0571150444678404,0.471674378828062
"PWY-5667: CDP-diacylglycerol biosynthesis I",0.142988780526977,0.471674378828062
"PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified",0.0571150444678404,0.471674378828062
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I",0.542104983385422,0.726509547405873
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified",0.300332991216503,0.551735326560654
"TRNA-CHARGING-PWY: tRNA charging",0.46986962711752,0.659430764237893
"TRNA-CHARGING-PWY: tRNA charging|unclassified",0.217250336706828,0.515696592778713
"PENTOSE-P-PWY: pentose phosphate pathway",0.318786678058169,0.56679624936919
"THRESYN-PWY: superpathway of L-threonine biosynthesis",0.596086008152559,0.763573541382626
"THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified",0.327671925819748,0.568977442507197
"PWY-6859: all-trans-farnesol biosynthesis",0.293061190091873,0.549550359288553
"PWY-922: mevalonate pathway I (eukaryotes and bacteria)",0.247629389882886,0.525407794857026
"PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)",0.216326139501008,0.515696592778713
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",0.508552061782989,0.697869051812297
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.11264182094674,0.471674378828062
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified",0.0619032794439429,0.471674378828062
"ARO-PWY: chorismate biosynthesis I",0.200523154396339,0.514743742123578
"ARO-PWY: chorismate biosynthesis I|unclassified",0.106604252194307,0.471674378828062
"PWY-621: sucrose degradation III (sucrose invertase)",0.790398029474756,0.89743109596613
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.228563620620525,0.517750455653935
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified",0.139816510258615,0.471674378828062
"PWY-6936: seleno-amino acid biosynthesis (plants)",0.141873568629845,0.471674378828062
"PWY-6936: seleno-amino acid biosynthesis (plants)|unclassified",0.9670429813267,0.978744290377792
"PWY-2941: L-lysine biosynthesis II",0.8324886148872,0.920511350107912
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0.00520215125214271,0.471674378828062
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified",0.0449477715448115,0.471674378828062
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.148495365130629,0.471674378828062
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.338705298292896,0.581325537952984
"PWY-5097: L-lysine biosynthesis VI",0.0631369275224278,0.471674378828062
"PWY-5097: L-lysine biosynthesis VI|unclassified",0.0433085865260896,0.471674378828062
"PWY-6823: molybdopterin biosynthesis",0.169213226917054,0.505743875579506
"PWY-6823: molybdopterin biosynthesis|unclassified",0.0790349655008784,0.471674378828062
"P164-PWY: purine nucleobases degradation I (anaerobic)",0.0419402871238758,0.471674378828062
"PWY-2942: L-lysine biosynthesis III",0.0186726686258853,0.471674378828062
"PWY-5100: pyruvate fermentation to acetate and lactate II",0.646172532284814,0.782586733544941
"PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified",0.271439676795894,0.534703459712393
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.658530381853975,0.788812534651529
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified",0.512197469220034,0.697869051812297
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.150012646477426,0.471674378828062
"CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified",0.0822200373716234,0.471674378828062
"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage",0.561984448677751,0.740255696372912
"PWY-3001: superpathway of L-isoleucine biosynthesis I",0.131514762926056,0.471674378828062
"PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified",0.195015138743609,0.508802545420785
"PWY-702: L-methionine biosynthesis II",0.376747990279854,0.609884122878773
"PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP",0.406990138138632,0.622480898453602
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I",0.737145398652325,0.860880519140394
"PWY-I9: L-cysteine biosynthesis VI (from L-methionine)",0.571470645842156,0.746151490744344
"PWY-6612: superpathway of tetrahydrofolate biosynthesis",0.548811667644239,0.726564434492576
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",0.934350982820031,0.97302609787074
"PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV",0.989503634165707,0.991639553569128
"VALSYN-PWY: L-valine biosynthesis",0.0245309137051035,0.471674378828062
"VALSYN-PWY: L-valine biosynthesis|unclassified",0.195909785747796,0.508802545420785
"ANAEROFRUCAT-PWY: homolactic fermentation",0.824748213169985,0.920511350107912
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III",0.0955898276438579,0.471674378828062
"PWY-8178: pentose phosphate pathway (non-oxidative branch) II",0.265732396584471,0.53389615863683
"PWY-8178: pentose phosphate pathway (non-oxidative branch) II|unclassified",0.207245163499494,0.515696592778713
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis",0.187467507419072,0.508802545420785
"PWY-8004: Entner-Doudoroff pathway I",0.511942764708307,0.697869051812297
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",0.118410478416028,0.471674378828062
"PWY-5265: peptidoglycan biosynthesis II (staphylococci)",0.54740479931141,0.726564434492576
"PWY-1042: glycolysis IV",0.597782344324013,0.763573541382626
"PWY-1042: glycolysis IV|unclassified",0.243064160142354,0.525407794857026
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",0.0811012524420414,0.471674378828062
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified",0.184701503616247,0.508802545420785
"PWY-5484: glycolysis II (from fructose 6-phosphate)",0.790223797860785,0.89743109596613
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",0.0673370636394183,0.471674378828062
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified",0.294101874236993,0.549550359288553
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",0.427756971397771,0.632925473516159
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified",0.234024138574713,0.517750455653935
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)",0.464301270251641,0.65725764230427
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",0.477605084723975,0.667422490191196
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.0819806420339385,0.471674378828062
