"","PreTtest_p","PreTtest_adj_p"
"PWY-7663: gondoate biosynthesis (anaerobic)",0.647150015524616,0.993749879323152
"PWY-5973: cis-vaccenate biosynthesis",0.624463028687107,0.993749879323152
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",0.370071383376951,0.993749879323152
"LACTOSECAT-PWY: lactose and galactose degradation I",0.836902564264204,0.993749879323152
"PWY0-1477: ethanolamine utilization",0.0255821912014604,0.993749879323152
"PWY-7664: oleate biosynthesis IV (anaerobic)",0.382744176286693,0.993749879323152
"PWY0-1296: purine ribonucleosides degradation",0.901078155984597,0.993749879323152
"PWY0-1296: purine ribonucleosides degradation|unclassified",0.464537919762979,0.993749879323152
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0.377077470442614,0.993749879323152
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.898440255110537,0.993749879323152
"PWY0-862: (5Z)-dodecenoate biosynthesis I",0.341990270815776,0.993749879323152
"PWY-5989: stearate biosynthesis II (bacteria and plants)",0.38237990457906,0.993749879323152
"PWY-5971: palmitate biosynthesis (type II fatty acid synthase)",0.141896279914684,0.993749879323152
"PWY-6609: adenine and adenosine salvage III",0.357640296628154,0.993749879323152
"PWY-6609: adenine and adenosine salvage III|unclassified",0.32450581234791,0.993749879323152
"PWY-7356: thiamine diphosphate salvage IV (yeast)",0.300559414851181,0.993749879323152
"PWY-5695: inosine 5'-phosphate degradation",0.1020148956067,0.993749879323152
"PWY-5695: inosine 5'-phosphate degradation|unclassified",0.69656776002129,0.993749879323152
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",0.733656290882843,0.993749879323152
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.456106786231148,0.993749879323152
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)",0.186106251630871,0.993749879323152
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified",0.697390841832597,0.993749879323152
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",0.96592449739135,0.993749879323152
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0.96592449739135,0.993749879323152
"PWY-6608: guanosine nucleotides degradation III",0.89246666616762,0.993749879323152
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0.760561711330249,0.993749879323152
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",0.881296001314312,0.993749879323152
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified",0.734677182370402,0.993749879323152
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.406718838396876,0.993749879323152
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",0.857744917653829,0.993749879323152
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0.838455912868244,0.993749879323152
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",0.702816273574871,0.993749879323152
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.6349993916253,0.993749879323152
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified",0.350181192656925,0.993749879323152
"PWY-7199: pyrimidine deoxyribonucleosides salvage",0.849795114585531,0.993749879323152
"PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified",0.530378459373137,0.993749879323152
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)",0.384280440768908,0.993749879323152
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified",0.716329447120231,0.993749879323152
"PWY66-409: superpathway of purine nucleotide salvage",0.667553654430026,0.993749879323152
"PWY-7208: superpathway of pyrimidine nucleobases salvage",0.928867481451135,0.993749879323152
"PWY-7791: UMP biosynthesis III",0.471664904209537,0.993749879323152
"PWY-7791: UMP biosynthesis III|unclassified",0.501779092945627,0.993749879323152
"PWY-3841: folate transformations II (plants)",0.653946119178441,0.993749879323152
"PWY-3841: folate transformations II (plants)|unclassified",0.826433789733346,0.993749879323152
"PWY-6897: thiamine diphosphate salvage II",0.928247814876841,0.993749879323152
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.432346620026271,0.993749879323152
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified",0.369125545436794,0.993749879323152
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.274047353640763,0.993749879323152
"PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified",0.38042922497625,0.993749879323152
"PWY-6606: guanosine nucleotides degradation II",0.179874919959373,0.993749879323152
"PWY-6317: D-galactose degradation I (Leloir pathway)",0.526597825062666,0.993749879323152
"PWY-6317: D-galactose degradation I (Leloir pathway)|unclassified",0.492708702315266,0.993749879323152
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",0.946025768906483,0.993749879323152
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",0.621172644321195,0.993749879323152
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified",0.296418989279252,0.993749879323152
"PWY-6123: inosine-5'-phosphate biosynthesis I",0.523571976283921,0.993749879323152
"PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified",0.833318474941341,0.993749879323152
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.65524865832786,0.993749879323152
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified",0.410248672873657,0.993749879323152
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",0.628281070795773,0.993749879323152
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|unclassified",0.660287137328682,0.993749879323152
"PWY-7790: UMP biosynthesis II",0.471664904209537,0.993749879323152
"PWY-7790: UMP biosynthesis II|unclassified",0.501779092945627,0.993749879323152
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)",0.589585949933082,0.993749879323152
