"","PreTtest_p","PreTtest_adj_p"
"Firmicutes",0.168340043390653,0.951052886844201
"Actinobacteria",0.93664722718484,0.958752189690641
"Cyanobacteria",0.958752189690641,0.958752189690641
"Tenericutes",0.577188886141401,0.951052886844201
"Deinococcus-Thermus",0.77884485095128,0.951052886844201
"Chloroflexi",0.814850198384245,0.951052886844201
"Proteobacteria",0.763002881547735,0.951052886844201
"Bacteroidetes",0.141407303268506,0.951052886844201
"Spirochaetes",0.890568233231732,0.958752189690641
"Verrucomicrobia",0.835617687616996,0.951052886844201
"Planctomycetes",0.845380343861512,0.951052886844201
"Chlamydiae",0.730894673190597,0.951052886844201
"Fusobacteria",0.639583038246887,0.951052886844201
"Thermotogae",0.801385613019056,0.951052886844201
"Ascomycota",0.685530729290281,0.951052886844201
"Basidiomycota",0.647471082690283,0.951052886844201
"Apicomplexa",0.277285902634344,0.951052886844201
"Evosea",0.427035256735048,0.951052886844201
"Euglenozoa",0.731779114132583,0.951052886844201
"Euryarchaeota",0.358931770167906,0.951052886844201
"Crenarchaeota",0.793216671707936,0.951052886844201
"Thaumarchaeota",0.688280842806887,0.951052886844201
"Uroviricota",0.130668258465821,0.951052886844201
"Chlorobi",0.596095842751259,0.951052886844201
"Acidobacteria",0.31815025802576,0.951052886844201
"Synergistetes",0.371461645319099,0.951052886844201
"Peploviricota",0.442238350833461,0.951052886844201
