"","PreTtest_p","PreTtest_adj_p"
"efrB",0.94696052883823,0.983735695006704
"Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",0.284324563605283,0.947284041932356
"mdtB",0.772682280926329,0.979401230984252
"msrC",0.471817248777966,0.947284041932356
"tet(44)",0.212704508122938,0.947284041932356
"tet(T)",0.548340643534666,0.947284041932356
"gadW",0.56960783604832,0.947284041932356
"tet(36)",0.753553833107348,0.979401230984252
"lnuC",0.72312593704205,0.979401230984252
"mdeA",0.874271573974629,0.983735695006704
"adeF",0.272835227239725,0.947284041932356
"emrA",0.562728302175417,0.947284041932356
"MuxC",0.13701731570932,0.947284041932356
"emrK",0.171393736366188,0.947284041932356
"Klebsiella pneumoniae acrA",0.718801545781976,0.979401230984252
"mdtE",0.606423780935431,0.968467829255091
"msbA",0.82425718705888,0.983735695006704
"nimA",0.29610094756944,0.947284041932356
"pmrA",0.0811838209179971,0.947284041932356
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",0.126931955662446,0.947284041932356
"mdtM",0.772421019366906,0.979401230984252
"PmrF",0.67185445401286,0.979401230984252
"poxtA",0.940522628426236,0.983735695006704
"mtrD",0.172586305179013,0.947284041932356
"tet(32)",0.584306044556407,0.947284041932356
"CfxA3",0.752780580012707,0.979401230984252
"BlaB-38",0.82270140033079,0.983735695006704
"vanS gene in vanA cluster",0.358492105349656,0.947284041932356
"baeS",0.70247534053899,0.979401230984252
"H-NS",0.10075900774089,0.947284041932356
"SHV-43",0.0247819577091553,0.947284041932356
"cpxA",0.858984537895978,0.983735695006704
"fexA",0.835545255890958,0.983735695006704
"TaeA",0.491989982421069,0.947284041932356
"emrR",0.22796945280034,0.947284041932356
"Bifidobacterium bifidum ileS conferring resistance to mupirocin",0.132833110832838,0.947284041932356
"nimJ",0.759516999172439,0.979401230984252
"eptA",0.290717846191283,0.947284041932356
"kdpE",0.896040375993438,0.983735695006704
"Escherichia coli mdfA",0.851739788352281,0.983735695006704
"rsmA",0.353023121944738,0.947284041932356
"vanH gene in vanA cluster",0.267693635814147,0.947284041932356
"farB",0.941665636108097,0.983735695006704
"tet(M)",0.372627641589079,0.947284041932356
"TolC",0.104137743887127,0.947284041932356
"Escherichia coli acrA",0.415239804258913,0.947284041932356
"PDC-402",0.982865249745566,0.992137563422411
"tet(W)",0.266626027331994,0.947284041932356
"vanX gene in vanD cluster",0.542626204748846,0.947284041932356
"Streptomyces rimosus otr(A)",0.267338355296965,0.947284041932356
"APH(3'')-Ib",0.449574833199817,0.947284041932356
"oleB",0.957342842159525,0.984958501067973
"tetB(46)",0.331905394700692,0.947284041932356
"mdtG",0.665439779520527,0.979401230984252
"vanR gene in vanE cluster",0.778029015267864,0.979401230984252
"mdtC",0.474970413569703,0.947284041932356
"tet(40)",0.980380621565591,0.992137563422411
"mefH",0.998187818444876,0.998187818444876
"mdtO",0.800832110552032,0.983735695006704
"APH(6)-Ic",0.427787123317257,0.947284041932356
"AcrS",0.407848903216502,0.947284041932356
"tetB(60)",0.223389391088615,0.947284041932356
"chrB",0.555025574559237,0.947284041932356
"tet(O)",0.790161108695363,0.983107425934928
"emrB",0.741031325680506,0.979401230984252
"adeA",0.250550931218272,0.947284041932356
"lmrD",0.209840992046395,0.947284041932356
"vanX gene in vanA cluster",0.505930475948254,0.947284041932356
"oqxB",0.271526402553393,0.947284041932356
"vanI",0.945804017216316,0.983735695006704
"BlaB-16",0.440063473252691,0.947284041932356
"Escherichia coli UhpT with mutation conferring resistance to fosfomycin",0.188931251877157,0.947284041932356
"tet(W/32/O)",0.269283831100347,0.947284041932356
"AcrF",0.423414323094416,0.947284041932356
"acrD",0.744540693908519,0.979401230984252
"CRP",0.472016432220012,0.947284041932356
"gadX",0.883666805872903,0.983735695006704
"Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin",0.711353977827996,0.979401230984252
"mdtN",0.420826563475147,0.947284041932356
"vanA",0.0801186906178007,0.947284041932356
"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin",0.755266418174468,0.979401230984252
"AcrE",0.93593226586466,0.983735695006704
"YojI",0.267902461877102,0.947284041932356
"evgA",0.776366747013864,0.979401230984252
"vanS gene in vanD cluster",0.701479461096622,0.979401230984252
"vanR gene in vanD cluster",0.322788395539487,0.947284041932356
"SAT-4",0.557697353806892,0.947284041932356
"ErmB",0.187032511063343,0.947284041932356
"baeR",0.845954477226412,0.983735695006704
"mdtF",0.756118334779155,0.979401230984252
"tet(W/N/W)",0.358526451645875,0.947284041932356
"acrB",0.415171938816194,0.947284041932356
"ErmF",0.927819791003698,0.983735695006704
"mdtA",0.566552384144183,0.947284041932356
"emrY",0.304384957019423,0.947284041932356
"evgS",0.0315207648507111,0.947284041932356
"mdtH",0.0366515868186425,0.947284041932356
"marA",0.54495588235349,0.947284041932356
"bacA",0.523595469331817,0.947284041932356
"myrA",0.211028733514312,0.947284041932356
"mdtP",0.578187937027761,0.947284041932356
"aad(6)",0.226976081124634,0.947284041932356
"ANA-1",0.576213669586432,0.947284041932356
"Klebsiella pneumoniae KpnH",0.399628226133054,0.947284041932356
"Escherichia coli GlpT with mutation conferring resistance to fosfomycin",0.546654331155148,0.947284041932356
"Escherichia coli soxR with mutation conferring antibiotic resistance",0.893463510497331,0.983735695006704
"Escherichia coli soxS with mutation conferring antibiotic resistance",0.105349554481114,0.947284041932356
