"","PostTtest_p","PostTtest_adj_p"
"Enterococcus raffinosus",0.773760737300186,0.863696161723487
"Bifidobacterium catenulatum",0.0584331727655997,0.240011992153869
"Christensenella minuta",0.0953037818763885,0.258506918744497
"Butyrivibrio hungatei",0.10696051594679,0.279963766572136
"Oscillospiraceae bacterium",0.0657030059684277,0.248348169120496
"Streptococcus infantis",0.792631126172122,0.871664071022981
"Lactiplantibacillus plantarum",0.748434210966057,0.855980475884933
"uncultured human fecal virus",0.607909541792108,0.750465973220105
"Anaerotignum propionicum",0.0476491134929397,0.232556264557779
"Roseburia hominis",0.517952265421527,0.675831640408685
"Novisyntrophococcus fermenticellae",0.0881189835783486,0.251724617427014
"[Clostridium] innocuum",0.0232930032205607,0.224141474181326
"Leuconostoc mesenteroides",0.752917846456396,0.858590526660802
"Pauljensenia hongkongensis",0.514108466825947,0.675091926135082
"Bacteroides zhangwenhongii",0.156489724116764,0.326368943345122
"Ligilactobacillus salivarius",0.416186144723756,0.573542743612243
"Clostridium gasigenes",0.178743215090784,0.350300773293497
"Enterococcus cecorum",0.533709516194481,0.68695284262656
"Lawsonibacter asaccharolyticus",0.0477083312335528,0.232556264557779
"Clostridium sp. SY8519",0.0518779359398123,0.232556264557779
"Akkermansia muciniphila",0.312343099121391,0.475835190067744
"Pseudomonas putida",0.229316464791515,0.400907721135817
"Qiania dongpingensis",0.0582888297114807,0.240011992153869
"Cellulosilyticum sp. WCF-2",0.0501289191764792,0.232556264557779
"Gordonibacter pamelaeae",0.239076045953326,0.405389817051292
"Veillonella atypica",0.624874548645811,0.759193376859397
"Staphylococcus aureus",0.518137590979992,0.675831640408685
"Clostridium sp. C1",0.0176863275309888,0.224141474181326
"Weizmannia coagulans",0.776614006272367,0.863696161723487
"Emergencia timonensis",0.0255773142006681,0.224141474181326
"Vescimonas coprocola",0.0481699021200535,0.232556264557779
"Streptococcus pyogenes",0.500712113480074,0.661958387312641
"Bacteroides faecis",0.0573646977978115,0.240011992153869
"Bacteroides caccae",0.0139437918221557,0.224141474181326
"Actinomyces sp. oral taxon 169",0.0358153367305303,0.224141474181326
"Anaerobutyricum hallii",0.378012080426279,0.53030471714478
"Escherichia coli",0.826885768706971,0.884236083791386
"Peptacetobacter hiranonis",0.0394086664690066,0.224141474181326
"Paraprevotella xylaniphila",0.0413799644642448,0.224141474181326
"Streptococcus thermophilus",0.914392930146371,0.945923720841074
"Alistipes communis",0.00330583755866756,0.162891091965913
"Enterococcus faecalis",0.892769957262955,0.932765463870743
"Blautia liquoris",0.27104727254206,0.43279633097501
"Fusobacterium nucleatum",0.0943280765416202,0.258506918744497
"Clostridium sp. BJN0001",0.229128148002133,0.400907721135817
"Campylobacter concisus",0.122523614840168,0.293365636287088
"Phocaeicola vulgatus",0.165153841480068,0.335468740506388
"Anaerostipes caccae",0.352670281848077,0.509412629336111
"Prevotella melaninogenica",0.806912105086806,0.879038326770543
"Geosporobacter ferrireducens",0.0411860399270961,0.224141474181326
"Streptococcus mitis",0.613649805683754,0.752796847083235
"Eubacterium maltosivorans",0.0126683281835491,0.224141474181326
"Bacteroides thetaiotaomicron",0.0646568777396613,0.247827353587044
"Fusobacterium ulcerans",0.171687665425414,0.343375330850828
"Anaerostipes hadrus",0.449875062071149,0.607097834628887
"Streptococcus parasanguinis",0.180856194288528,0.35266957886263
"Parabacteroides sp. CT06",0.0158322320300827,0.224141474181326
"Enterococcus durans",0.969765668222757,0.983600880037691
"Faecalibacterium sp. IP118",0.956064607905946,0.976737186625517
"Romboutsia hominis",0.208006380518514,0.377121656341838
"Lachnoclostridium phocaeense",0.059467759403005,0.240011992153869
"Wansuia hejianensis",0.074192409984158,0.251683433821041
"Anaerostipes rhamnosivorans",0.189161254721573,0.363413247987258
"Bacteroides cellulosilyticus",0.523767345320178,0.680897548916231
"Bacteroides fragilis",0.208867378897018,0.377121656341838
"Eggerthella lenta",0.259741518489411,0.418591703350703
"Adlercreutzia hattorii",0.978758323493177,0.988900896793624
"Plasmodium malariae",0.0797678236486587,0.251683433821041
"Faecalibacterium sp. I2392",0.146293874810534,0.314743371446905
"Aminipila luticellarii",0.0636082347096039,0.247827353587044
"Bifidobacterium animalis",0.65441498020839,0.782889086752368
"Alistipes senegalensis",0.0137048745120706,0.224141474181326
"Bacillus velezensis",0.732964903223634,0.843233959460818
"Bacteroides salyersiae",0.0789589752521771,0.251683433821041
"Erysipelatoclostridium ramosum",0.462711612415413,0.620128965092822
"Lacticaseibacillus rhamnosus",0.356845161937915,0.513541007954933
"Clostridium saccharoperbutylacetonicum",0.0779842306310909,0.251683433821041
"Enterobacter hormaechei",0.200689195581087,0.372708506079162
"Actinomyces viscosus",0.19930348226635,0.37207520779028
"Enterococcus gallinarum",0.549370515468814,0.702473773878156
"Veillonella rodentium",0.922763000314344,0.952057063816387
"Clostridioides difficile",0.0258124307975892,0.224141474181326
"Collinsella aerofaciens",0.308601381825994,0.471978583969167
"Streptococcus sp. 116-D4",0.672218471948843,0.796966946548541
"Brevibacillus laterosporus",0.420234119374015,0.577082065337555
"Amedibacterium intestinale",0.105480516927055,0.277955416226699
"Streptococcus salivarius",0.28238868558942,0.444078981370459
"Dictyostelium discoideum",0.0366160106545709,0.224141474181326
"Megasphaera massiliensis",0.370135207817292,0.523017141480956
"Listeria monocytogenes",0.708288481159882,0.824574649708519
"[Eubacterium] rectale",0.470034303655009,0.627785542552923
"Homo sapiens",0.327432259167744,0.482904899679658
"Hungatella hathewayi",0.00624783978151717,0.203054792899308
"Lachnoclostridium phytofermentans",0.083894477940347,0.251683433821041
"Enterococcus mundtii",0.246118420410718,0.409249644689124
"[Ruminococcus] gnavus",0.359184867870518,0.514822436299861
"Intestinibaculum porci",0.24916419753457,0.410017033917647
"Streptococcus pseudopneumoniae",0.823259434775467,0.884236083791386
"Lachnoclostridium sp. YL32",0.0355377700637853,0.224141474181326
"Clostridium septicum",0.24659914487678,0.409249644689124
"Niallia circulans",0.177688644222387,0.349992784074399
"Clostridium tetani",0.0719407120369324,0.251683433821041
"uncultured Blautia sp.",0.269410817408109,0.432387731642644
"Parabacteroides merdae",0.00240824432326952,0.162891091965913
"Clostridium thermarum",0.0874137928446831,0.251724617427014
"Enterobacter cloacae",0.348145504355961,0.506629651861286
"[Clostridium] hylemonae",0.0758744039557933,0.251683433821041
"Bacteroides eggerthii",0.0376070988100222,0.224141474181326
"Streptococcus sp. HSISS2",0.676400152070685,0.796966946548541
"Streptococcus sp. HSISS3",0.336073433831192,0.490893779753426
"Streptococcus sp. HSISS1",0.244813944831325,0.409249644689124
"Dorea longicatena",0.120489438468244,0.293365636287088
"Roseburia intestinalis",0.207450888636758,0.377121656341838
"Faecalibacterium sp. HTFF",0.321619887363615,0.481274172699648
"Lachnospira eligens",0.560360392718261,0.707331043355931
"Salmonella enterica",0.777326545551138,0.863696161723487
"Parabacteroides distasonis",0.0164882427581935,0.224141474181326
"Pediococcus acidilactici",0.561930209246664,0.707331043355931
"Bifidobacterium dentium",0.360375705409902,0.514822436299861
"Streptococcus gwangjuense",0.447458185463527,0.607097834628887
"Vallitalea pronyensis",0.190240253942764,0.363694603125872
"Finegoldia magna",0.0284556275740587,0.224141474181326
"[Ruminococcus] torques",0.236774623452661,0.405009224326921
"Clostridium chauvoei",0.639734595819188,0.772035936443125
"Wujia chipingensis",0.218640652937188,0.391146122227079
"Streptococcus infantarius",0.719969571913364,0.83319920785226
"Schaalia meyeri",0.562237496000868,0.707331043355931
"Christensenella sp. Marseille-P3954",0.0389452577413829,0.224141474181326
"Coprobacter secundus",0.0892614884696822,0.251724617427014
"Monoglobus pectinilyticus",0.295864724248354,0.461548969827432
"CrAssphage GF1-2_000079F",0.0714663167221915,0.251683433821041
"Faecalibacterium sp. I3333",0.122740374199331,0.293365636287088
"Blautia obeum",0.0699835583528402,0.251683433821041
"Paeniclostridium sordellii",0.0668629686093644,0.248348169120496
"Enterocloster bolteae",0.0110181375547721,0.224141474181326
"Coprococcus comes",0.0954487084595064,0.258506918744497
"Serratia marcescens",0.0234234749593292,0.224141474181326
"Blautia wexlerae",0.429088245191778,0.58717338815717
"Erysipelotrichaceae bacterium I46",0.121568185984955,0.293365636287088
"Clostridium novyi",0.0588495250568493,0.240011992153869
"Ruminococcus sp. FMBCY1",0.275927189003204,0.437445543541665
"Streptococcus oralis",0.957294388216877,0.976737186625517
