"","PreTtest_p","PreTtest_adj_p"
"Enterococcus raffinosus",0.247184336424852,0.997478696793346
"Bifidobacterium catenulatum",0.10625127142787,0.997478696793346
"Christensenella minuta",0.329558079760743,0.997478696793346
"Butyrivibrio hungatei",0.76340087069485,0.997478696793346
"Oscillospiraceae bacterium",0.790386944178477,0.997478696793346
"Streptococcus infantis",0.427627814097782,0.997478696793346
"Lactiplantibacillus plantarum",0.16802292551283,0.997478696793346
"uncultured human fecal virus",0.741098652578398,0.997478696793346
"Anaerotignum propionicum",0.335795822827078,0.997478696793346
"Roseburia hominis",0.165235481941995,0.997478696793346
"Novisyntrophococcus fermenticellae",0.39786154601822,0.997478696793346
"[Clostridium] innocuum",0.259289039956718,0.997478696793346
"Leuconostoc mesenteroides",0.781502156835745,0.997478696793346
"Pauljensenia hongkongensis",0.520812975329809,0.997478696793346
"Bacteroides zhangwenhongii",0.153795638026119,0.997478696793346
"Ligilactobacillus salivarius",0.307549136247725,0.997478696793346
"Clostridium gasigenes",0.634988160325359,0.997478696793346
"Enterococcus cecorum",0.864376284068074,0.997478696793346
"Lawsonibacter asaccharolyticus",0.293868719571992,0.997478696793346
"Clostridium sp. SY8519",0.359549078927725,0.997478696793346
"Akkermansia muciniphila",0.861969174054376,0.997478696793346
"Pseudomonas putida",0.397037254243567,0.997478696793346
"Qiania dongpingensis",0.393850641043134,0.997478696793346
"Cellulosilyticum sp. WCF-2",0.902135901533442,0.997478696793346
"Gordonibacter pamelaeae",0.884953414644068,0.997478696793346
"Veillonella atypica",0.0332458657514893,0.997478696793346
"Staphylococcus aureus",0.543864172136486,0.997478696793346
"Clostridium sp. C1",0.445061560651073,0.997478696793346
"Weizmannia coagulans",0.848923194384197,0.997478696793346
"Emergencia timonensis",0.760359661354586,0.997478696793346
"Vescimonas coprocola",0.540023936511701,0.997478696793346
"Streptococcus pyogenes",0.291287582838455,0.997478696793346
"Bacteroides faecis",0.092088127729898,0.997478696793346
"Bacteroides caccae",0.18903553863544,0.997478696793346
"Actinomyces sp. oral taxon 169",0.578131055184636,0.997478696793346
"Anaerobutyricum hallii",0.541841178460902,0.997478696793346
"Escherichia coli",0.500897173547563,0.997478696793346
"Peptacetobacter hiranonis",0.973332410562856,0.997478696793346
"Paraprevotella xylaniphila",0.101992358491114,0.997478696793346
"Streptococcus thermophilus",0.782099552245519,0.997478696793346
"Alistipes communis",0.0874213932686958,0.997478696793346
"Enterococcus faecalis",0.427085852084997,0.997478696793346
"Blautia liquoris",0.507756087677693,0.997478696793346
"Fusobacterium nucleatum",0.558235101503597,0.997478696793346
"Clostridium sp. BJN0001",0.780371743097443,0.997478696793346
"Campylobacter concisus",0.750574935189819,0.997478696793346
"Phocaeicola vulgatus",0.0511157930266465,0.997478696793346
"Anaerostipes caccae",0.742811985965527,0.997478696793346
"Prevotella melaninogenica",0.0336596712433911,0.997478696793346
"Geosporobacter ferrireducens",0.767680245633931,0.997478696793346
"Streptococcus mitis",0.0732547996825582,0.997478696793346
"Eubacterium maltosivorans",0.796388827828236,0.997478696793346
"Bacteroides thetaiotaomicron",0.704737618344891,0.997478696793346
"Fusobacterium ulcerans",0.977636853663802,0.997478696793346
"Anaerostipes hadrus",0.82538355324331,0.997478696793346
"Streptococcus parasanguinis",0.487261226868644,0.997478696793346
"Parabacteroides sp. CT06",0.122593364717934,0.997478696793346
"Enterococcus durans",0.771272934406996,0.997478696793346
"Faecalibacterium sp. IP118",0.622306073638259,0.997478696793346
"Romboutsia hominis",0.905085192353836,0.997478696793346
"Lachnoclostridium phocaeense",0.43273921134405,0.997478696793346
"Wansuia hejianensis",0.989884796724662,0.997478696793346
"Anaerostipes rhamnosivorans",0.469795544282622,0.997478696793346
"Bacteroides cellulosilyticus",0.493688201534198,0.997478696793346
"Bacteroides fragilis",0.675695295277405,0.997478696793346
"Eggerthella lenta",0.868032837129421,0.997478696793346
"Adlercreutzia hattorii",0.338574344227058,0.997478696793346
"Plasmodium malariae",0.420205175631441,0.997478696793346
"Faecalibacterium sp. I2392",0.4824205638424,0.997478696793346
"Aminipila luticellarii",0.544128915548289,0.997478696793346
"Bifidobacterium animalis",0.598201185724542,0.997478696793346
"Alistipes senegalensis",0.0689507459608393,0.997478696793346
"Bacillus velezensis",0.621768936560462,0.997478696793346
"Bacteroides salyersiae",0.149532694604556,0.997478696793346
"Erysipelatoclostridium ramosum",0.318069155321105,0.997478696793346
"Lacticaseibacillus rhamnosus",0.145877265972363,0.997478696793346
"Clostridium saccharoperbutylacetonicum",0.567513824351935,0.997478696793346
"Enterobacter hormaechei",0.55100690882975,0.997478696793346
"Actinomyces viscosus",0.989194203558352,0.997478696793346
"Enterococcus gallinarum",0.941609630030833,0.997478696793346
"Veillonella rodentium",0.11235706311372,0.997478696793346
"Clostridioides difficile",0.103735757077256,0.997478696793346
"Collinsella aerofaciens",0.987979713439848,0.997478696793346
"Streptococcus sp. 116-D4",0.180846407034945,0.997478696793346
"Brevibacillus laterosporus",0.68639226418503,0.997478696793346
"Amedibacterium intestinale",0.401163910609742,0.997478696793346
"Streptococcus salivarius",0.72057170893354,0.997478696793346
"Dictyostelium discoideum",0.428578934690393,0.997478696793346
"Megasphaera massiliensis",0.643406273752715,0.997478696793346
"Listeria monocytogenes",0.61873858415142,0.997478696793346
"[Eubacterium] rectale",0.545296113165052,0.997478696793346
"Homo sapiens",0.473466751766738,0.997478696793346
"Hungatella hathewayi",0.516311590829234,0.997478696793346
"Lachnoclostridium phytofermentans",0.939411907840879,0.997478696793346
"Enterococcus mundtii",0.700472567683144,0.997478696793346
"[Ruminococcus] gnavus",0.575660925371631,0.997478696793346
"Intestinibaculum porci",0.847569748634142,0.997478696793346
"Streptococcus pseudopneumoniae",0.382858894340182,0.997478696793346
"Lachnoclostridium sp. YL32",0.77172753507322,0.997478696793346
"Clostridium septicum",0.852113070941237,0.997478696793346
"Niallia circulans",0.519462446509615,0.997478696793346
"Clostridium tetani",0.691458386859015,0.997478696793346
"uncultured Blautia sp.",0.798692851695237,0.997478696793346
"Parabacteroides merdae",0.0575887469182946,0.997478696793346
"Clostridium thermarum",0.679896075615595,0.997478696793346
"Enterobacter cloacae",0.972565469633774,0.997478696793346
"[Clostridium] hylemonae",0.42206039630323,0.997478696793346
"Bacteroides eggerthii",0.102441360276305,0.997478696793346
"Streptococcus sp. HSISS2",0.784300001022572,0.997478696793346
"Streptococcus sp. HSISS3",0.368786703837777,0.997478696793346
"Streptococcus sp. HSISS1",0.984342188290693,0.997478696793346
"Dorea longicatena",0.99553014614038,0.997478696793346
"Roseburia intestinalis",0.654354839979627,0.997478696793346
"Faecalibacterium sp. HTFF",0.455862924599514,0.997478696793346
"Lachnospira eligens",0.933103812997343,0.997478696793346
"Salmonella enterica",0.613624502234283,0.997478696793346
"Parabacteroides distasonis",0.0146763440484616,0.997478696793346
"Pediococcus acidilactici",0.738177734595383,0.997478696793346
"Bifidobacterium dentium",0.6851097155609,0.997478696793346
"Streptococcus gwangjuense",0.208967064751941,0.997478696793346
"Vallitalea pronyensis",0.937954914505813,0.997478696793346
"Finegoldia magna",0.809062015345389,0.997478696793346
