"","PostTtest_p","PostTtest_adj_p"
"tetM",0.761723665656686,0.835919800974013
"mtrC",0.287391525315532,0.652258040662849
"arnA",0.350849360242428,0.652258040662849
"MexI",0.339668273628559,0.652258040662849
"Paer_emrE",0.0949826093212578,0.652258040662849
"ParS",0.33213835157075,0.652258040662849
"ArmR",0.0790289551662759,0.652258040662849
"patB",0.479039767344078,0.668454957572017
"vanV_in_vanB_cl",0.835452236709445,0.885816378638738
"APH(6)-Id",0.289854757597566,0.652258040662849
"dfrF",0.205212992890853,0.652258040662849
"rsmA",0.0712284275990637,0.652258040662849
"CfxA2",0.292746105083687,0.652258040662849
"aadA5",0.341116165022959,0.652258040662849
"vanT_in_vanC_cl",0.888842077514132,0.922155600030972
"vanS_in_vanC_cl",0.365066997791025,0.652258040662849
"mel",0.325225257462575,0.652258040662849
"ErmB",0.114723015102787,0.652258040662849
"Mef(En2)",0.360730934600649,0.652258040662849
"APH(3'')-Ib",0.280593845225072,0.652258040662849
"msrC",0.412832802153512,0.652258040662849
"Erm(35)",0.620529990615346,0.763532786806537
"CfxA3",0.355087586538983,0.652258040662849
"tet(A)",0.311665490625848,0.652258040662849
"tet37",0.302050027060409,0.652258040662849
"tetW",0.0650457651583626,0.652258040662849
"Kpne_acrA",0.130612991896872,0.652258040662849
"OCH-1",0.644532984406698,0.774280607982849
"qacJ",0.996178131798568,0.996691308307365
"OKP-B-12",0.281912783545557,0.652258040662849
"SHV-12",0.917137829207697,0.937544293224181
"ykkC",0.19682476639251,0.652258040662849
"ykkD",0.567832258107912,0.713508038992762
"tet(40)",0.256543840456125,0.652258040662849
"rmtB",0.0462629957535068,0.652258040662849
"rpoB2",0.674384351546505,0.783928482300054
"Kpne_KpnE",0.279557510305243,0.652258040662849
"Kpne_KpnF",0.518743854553855,0.698668524827039
"marA",0.426241916891221,0.652258040662849
"baeS",0.43080151724328,0.652258040662849
"baeR",0.423903121369283,0.652258040662849
"acrD",0.799274036358617,0.865880206055168
"emrA",0.541444465673673,0.703877805375775
"gadX",0.84899881339741,0.896998746310337
"mdtE",0.528197072244316,0.70147011712921
"CRP",0.729971558063309,0.808375910596035
"mdtP",0.60327488902261,0.745368561230415
"mdtO",0.723252937243786,0.808375910596035
"mdtN",0.598591608743279,0.742651000059089
"sul2",0.566100096408647,0.713508038992762
"vanR_in_vanD_cl",0.45581168022003,0.652258040662849
"lsaA",0.679055106741518,0.783928482300054
"APH(2'')-If",0.54963349293145,0.711430365309539
"aad(6)",0.344868204332388,0.652258040662849
"lnuC",0.424369243076332,0.652258040662849
"dfrB5",0.21934998296538,0.652258040662849
"evgA",0.828616794300855,0.884844362485556
"cpxA",0.822461104173257,0.883690982673155
"mecI",0.194574391829418,0.652258040662849
"Cper_mprF",0.216220661635074,0.652258040662849
"mdtG",0.561207639485584,0.713508038992762
"abeS",0.310307918144268,0.652258040662849
"Bbif_ileS_MUP",0.264514730974177,0.652258040662849
"APH(3')-IIIa",0.225380362249368,0.652258040662849
"gadW",0.802490515350457,0.866226224150854
"mphA",0.340906167835338,0.652258040662849
"emrY",0.678855344033568,0.783928482300054
"emrK",0.834837694418389,0.885816378638738
"qacL",0.320982825004454,0.652258040662849
"vanU_in_vanG_cl",0.186681058603989,0.652258040662849
"dfrA17",0.296349354089408,0.652258040662849
"dfrB2",0.306410971070594,0.652258040662849
"vanL",0.444702378919704,0.652258040662849
"dfrB4",0.189952905038568,0.652258040662849
"oqxB",0.147927965123241,0.652258040662849
"tet32",0.261407997867228,0.652258040662849
