"","PreTtest_p","PreTtest_adj_p"
"tetM",0.827101409520741,0.974214308447355
"mtrC",0.884206771159023,0.992187431630778
"arnA",0.129459207407528,0.864331231344447
"MexI",0.993237778944528,0.999803159449731
"Paer_emrE",0.760323577727116,0.954887237080519
"ParS",0.161769497458067,0.864331231344447
"ArmR",0.726680862700299,0.954887237080519
"patB",0.635492294064276,0.942172654881364
"vanV_in_vanB_cl",0.868715351661228,0.989686695587345
"APH(6)-Id",0.586065202989967,0.942172654881364
"dfrF",0.569073164331714,0.936927088236745
"rsmA",0.300253583079024,0.864331231344447
"CfxA2",0.409181980186084,0.864331231344447
"aadA5",0.374974506773384,0.864331231344447
"vanT_in_vanC_cl",0.386315747131353,0.864331231344447
"vanS_in_vanC_cl",0.417808610285416,0.864331231344447
"mel",0.441607213018531,0.864331231344447
"ErmB",0.888973302836972,0.992187431630778
"Mef(En2)",0.434679755980469,0.864331231344447
"APH(3'')-Ib",0.769581859696416,0.954887237080519
"msrC",0.906796833737878,0.998412275698202
"Erm(35)",0.858893009252954,0.989686695587345
"CfxA3",0.70634050117336,0.954887237080519
"tet(A)",0.280024830725105,0.864331231344447
"tet37",0.11064076859223,0.864331231344447
"tetW",0.219421166848001,0.864331231344447
"Kpne_acrA",0.780438039189217,0.954887237080519
"OCH-1",0.275912306256759,0.864331231344447
"qacJ",0.30493791697418,0.864331231344447
"OKP-B-12",0.957606366796823,0.999803159449731
"SHV-12",0.402590589261246,0.864331231344447
"ykkC",0.878953906942569,0.992152516170022
"ykkD",0.964136687375585,0.999803159449731
"tet(40)",0.0306912048258129,0.864331231344447
"rmtB",0.23316516387399,0.864331231344447
"rpoB2",0.336446061583235,0.864331231344447
"Kpne_KpnE",0.931648213432507,0.999803159449731
"Kpne_KpnF",0.627213423656575,0.942172654881364
"marA",0.989260456604888,0.999803159449731
"baeS",0.734331735425745,0.954887237080519
"baeR",0.356890914535864,0.864331231344447
"acrD",0.631668991524292,0.942172654881364
"emrA",0.777000344516198,0.954887237080519
"gadX",0.986710565091349,0.999803159449731
"mdtE",0.481064352429852,0.874129128195706
"CRP",0.344754823366752,0.864331231344447
"mdtP",0.995874145609214,0.999803159449731
"mdtO",0.951673580435033,0.999803159449731
"mdtN",0.45690994336206,0.864331231344447
"sul2",0.412023847756343,0.864331231344447
"vanR_in_vanD_cl",0.654302543743052,0.954887237080519
"lsaA",0.210435761345601,0.864331231344447
"APH(2'')-If",0.441612516203859,0.864331231344447
"aad(6)",0.346795112461878,0.864331231344447
"lnuC",0.705780901062417,0.954887237080519
"dfrB5",0.634571779826747,0.942172654881364
"evgA",0.999748028305022,0.999803159449731
"cpxA",0.466478332728828,0.864331231344447
"mecI",0.308385283514363,0.864331231344447
"Cper_mprF",0.281286988458231,0.864331231344447
"mdtG",0.620557108066074,0.942172654881364
"abeS",0.96115466796396,0.999803159449731
"Bbif_ileS_MUP",0.981519846751281,0.999803159449731
"APH(3')-IIIa",0.333173215925673,0.864331231344447
"gadW",0.861563179224082,0.989686695587345
"mphA",0.467785067529172,0.864331231344447
"emrY",0.986027925284956,0.999803159449731
"emrK",0.73803143210928,0.954887237080519
"qacL",0.5970377962847,0.942172654881364
"vanU_in_vanG_cl",0.13131149518315,0.864331231344447
"dfrA17",0.410978115350934,0.864331231344447
"dfrB2",0.963191467468518,0.999803159449731
"vanL",0.0706034376960975,0.864331231344447
"dfrB4",0.448004049146463,0.864331231344447
"oqxB",0.364534770592187,0.864331231344447
"tet32",0.517158638854954,0.911456343623407
"TolC",0.466764426355862,0.864331231344447
"ANT(6)-Ib",0.314306322457865,0.864331231344447
"ArnT",0.664358552454904,0.954887237080519
"dfrB3",0.801776073711529,0.963424475669498
"CfxA6",0.498194166947014,0.889720089658764
"CblA-1",0.873448325300241,0.989686695587345
"dfrB6",0.625139419435286,0.942172654881364
"dfrB7",0.24330005452397,0.864331231344447
"QnrB54",0.561395015229387,0.936927088236745
"efrB",0.43763855902917,0.864331231344447
"lsaC",0.209441445170758,0.864331231344447
"RbpA",0.727624512324333,0.954887237080519
"tetB(46)",0.406595323374024,0.864331231344447
"tetA(46)",0.495693591193473,0.889720089658764
"qacE",0.714973512042146,0.954887237080519
"OXA-209",0.0865875075928467,0.864331231344447
"TEM-192",0.421578148581002,0.864331231344447
"sul1",0.416616187984452,0.864331231344447
"Ecol_mdfA",0.815537899567446,0.971534403520395
"facT",0.214107047147566,0.864331231344447
"BRP(MBL)",0.82555475554149,0.974214308447355
"vanO",0.131723219740564,0.864331231344447
"Rm3",0.785058298942037,0.954887237080519
"rphA",0.498601526755079,0.889720089658764
"PDC-56",0.205482394314769,0.864331231344447
"AAC(6')-Ib7",0.271461894520981,0.864331231344447
"tet(W/N/W)",0.258195579302273,0.864331231344447
"tetA(60)",0.717942364695171,0.954887237080519
"BahA",0.635427570195967,0.942172654881364
"TaeA",0.782985750283773,0.954887237080519
"tetS",0.227289445157197,0.864331231344447
"tetA(P)",0.18518064384513,0.864331231344447
"ErmG",0.140319880763055,0.864331231344447
"ErmF",0.370551878895745,0.864331231344447
"tetO",0.654982710709192,0.954887237080519
"bmr",0.886348869341493,0.992187431630778
