"","PostWilcox_p","PostTtest_adj_p"
"tet(W)",0.36175421832284,0.903086238944425
"vanS-D",0.764522655130371,0.903086238944425
"vanR-D",0.15377253898512,0.847790461259714
"sul2",0.624954263210954,0.903086238944425
"tet(O)",0.16822597862793,0.847790461259714
"mef(A)",0.815857276153632,0.903086238944425
"aadE",0.169558092251943,0.847790461259714
"lnu(C)",0.74303762136122,0.903086238944425
"tet(40)",0.903086238944425,0.903086238944425
"msr(D)",0.875256095460418,0.903086238944425
"vanH-D",0.624954263210954,0.903086238944425
"vanZ-A",0.802983631964333,0.903086238944425
"dfrF",0.492493318252016,0.903086238944425
"erm(B)",0.879183314946495,0.903086238944425
"vanX-D",0.44681833423592,0.903086238944425
