"","PreWilcox_p","PreTtest_adj_p"
"Enterococcus",0.881983805668016,0.977422351803734
"Tetragenococcus",0.456096689688021,0.944615559321442
"Vagococcus",0.710300071445582,0.944615559321442
"Lactococcus",0.00969278399618957,0.944615559321442
"Streptococcus",0.602679209335556,0.944615559321442
"Carnobacterium",0.0310311979042629,0.944615559321442
"Granulicatella",0.201369373660395,0.944615559321442
"Jeotgalibaca",0.881983805668016,0.977422351803734
"Lacticaseibacillus",0.095177423195999,0.944615559321442
"Lactobacillus",0.130804953560372,0.944615559321442
"Pediococcus",0.602679209335556,0.944615559321442
"Lactiplantibacillus",0.175410812098119,0.944615559321442
"Leuconostoc",1,1
"Loigolactobacillus",0.175410812098119,0.944615559321442
"Ligilactobacillus",0.229864253393665,0.944615559321442
"Weissella",0.823755656108597,0.944615559321442
"Companilactobacillus",0.602679209335556,0.944615559321442
"Limosilactobacillus",0.229864253393665,0.944615559321442
"Latilactobacillus",0.766432483924744,0.944615559321442
"Levilactobacillus",0.370219099785663,0.944615559321442
"Lentilactobacillus",0.294724934508216,0.944615559321442
"Liquorilactobacillus",1,1
"Aerococcus",0.710300071445582,0.944615559321442
"Staphylococcus",0.602679209335556,0.944615559321442
"Mammaliicoccus",0.710300071445582,0.944615559321442
"Macrococcus",0.823755656108597,0.944615559321442
"Bacillus",0.602679209335556,0.944615559321442
"Metabacillus",0.766432483924744,0.944615559321442
"Priestia",0.331162181471779,0.944615559321442
"Lysinibacillus",0.502726839723744,0.944615559321442
"Weizmannia",0.766432483924744,0.944615559321442
"Heyndrickxia",0.456096689688021,0.944615559321442
"Virgibacillus",0.260978804477257,0.944615559321442
"Cytobacillus",0.655632293403191,0.944615559321442
"Geobacillus",1,1
"Peribacillus",0.551631340795428,0.944615559321442
"Anoxybacillus",0.370219099785663,0.944615559321442
"Parageobacillus",0.370219099785663,0.944615559321442
"Alkalihalobacillus",0.655632293403191,0.944615559321442
"Halobacillus",0.602679209335556,0.944615559321442
"Mesobacillus",0.111943319838057,0.944615559321442
"Gracilibacillus",0.370219099785663,0.944615559321442
"Niallia",0.823755656108597,0.944615559321442
"Neobacillus",0.260978804477257,0.944615559321442
"Gemella",0.602679209335556,0.944615559321442
"Exiguobacterium",0.551631340795428,0.944615559321442
"Listeria",0.456096689688021,0.944615559321442
"Paenibacillus",0.602679209335556,0.944615559321442
"Brevibacillus",0.411895689449869,0.944615559321442
