"","PostWilcox_p","PostTtest_adj_p"
"PWY-7663: gondoate biosynthesis (anaerobic)",0.411895689449869,0.657023855854181
"PWY-5973: cis-vaccenate biosynthesis",0.411895689449869,0.657023855854181
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",0.260978804477257,0.600986401859598
"LACTOSECAT-PWY: lactose and galactose degradation I",0.130804953560372,0.50186552353735
"PWY0-1477: ethanolamine utilization",0.095177423195999,0.50186552353735
"PWY-7664: oleate biosynthesis IV (anaerobic)",0.294724934508216,0.609968693570802
"PWY0-1296: purine ribonucleosides degradation",0.766432483924744,0.87938042892418
"PWY0-1296: purine ribonucleosides degradation|unclassified",0.602679209335556,0.801122363628971
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0.294724934508216,0.609968693570802
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.878317092913338,0.958168453333692
"PWY0-862: (5Z)-dodecenoate biosynthesis I",0.456096689688021,0.690479710777698
"PWY-5989: stearate biosynthesis II (bacteria and plants)",0.095177423195999,0.50186552353735
"PWY-5971: palmitate biosynthesis (type II fatty acid synthase)",0.710300071445582,0.853926924127594
"PWY-6609: adenine and adenosine salvage III",0.710300071445582,0.853926924127594
"PWY-6609: adenine and adenosine salvage III|unclassified",0.710300071445582,0.853926924127594
"PWY-7356: thiamine diphosphate salvage IV (yeast)",0.411895689449869,0.657023855854181
"PWY-5695: inosine 5'-phosphate degradation",0.151940938318647,0.50186552353735
"PWY-5695: inosine 5'-phosphate degradation|unclassified",0.502726839723744,0.724192407883983
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",0.260978804477257,0.600986401859598
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.260978804477257,0.600986401859598
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)",1,1
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified",0.909235064156366,0.98292549496419
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",0.130804953560372,0.50186552353735
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0.130804953560372,0.50186552353735
"PWY-6608: guanosine nucleotides degradation III",1,1
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0.175410812098119,0.526232436294356
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",0.294724934508216,0.609968693570802
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified",0.940843057870922,0.98292549496419
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.710300071445582,0.853926924127594
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",0.151940938318647,0.50186552353735
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0.175410812098119,0.526232436294356
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",0.502726839723744,0.724192407883983
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.655632293403191,0.837467812276733
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified",0.331162181471779,0.633275048779367
"PWY-7199: pyrimidine deoxyribonucleosides salvage",0.095177423195999,0.50186552353735
"PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified",0.42485650438126,0.667923446791692
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)",0.940843057870922,0.98292549496419
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified",0.130804953560372,0.50186552353735
"PWY66-409: superpathway of purine nucleotide salvage",0.502726839723744,0.724192407883983
"PWY-7208: superpathway of pyrimidine nucleobases salvage",0.229864253393665,0.587231334841629
"PWY-7791: UMP biosynthesis III",0.370219099785663,0.650869062526408
"PWY-7791: UMP biosynthesis III|unclassified",0.502726839723744,0.724192407883983
"PWY-3841: folate transformations II (plants)",0.766432483924744,0.87938042892418
"PWY-3841: folate transformations II (plants)|unclassified",0.602679209335556,0.801122363628971
"PWY-6897: thiamine diphosphate salvage II",0.411895689449869,0.657023855854181
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.551631340795428,0.764336645932647
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified",0.370219099785663,0.650869062526408
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.823755656108597,0.928855515681073
"PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified",0.655632293403191,0.837467812276733
"PWY-6606: guanosine nucleotides degradation II",1,1
"PWY-6317: D-galactose degradation I (Leloir pathway)",0.655632293403191,0.837467812276733
"PWY-6317: D-galactose degradation I (Leloir pathway)|unclassified",0.602679209335556,0.801122363628971
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",0.095177423195999,0.50186552353735
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",0.411895689449869,0.657023855854181
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified",0.456096689688021,0.690479710777698
"PWY-6123: inosine-5'-phosphate biosynthesis I",0.823755656108597,0.928855515681073
"PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified",0.370219099785663,0.650869062526408
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.766432483924744,0.87938042892418
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified",0.370219099785663,0.650869062526408
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",0.881983805668016,0.958168453333692
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|unclassified",0.370219099785663,0.650869062526408
"PWY-7790: UMP biosynthesis II",0.370219099785663,0.650869062526408
"PWY-7790: UMP biosynthesis II|unclassified",0.602679209335556,0.801122363628971
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)",0.940843057870922,0.98292549496419
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)|unclassified",0.370219099785663,0.650869062526408
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.201369373660395,0.544196571792969
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified",0.175410812098119,0.526232436294356
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.201369373660395,0.544196571792969
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified",0.175410812098119,0.526232436294356
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",0.130804953560372,0.50186552353735
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I",0.294724934508216,0.609968693570802
"PWY-6151: S-adenosyl-L-methionine salvage I",0.551631340795428,0.764336645932647
"PWY-6151: S-adenosyl-L-methionine salvage I|unclassified",0.881983805668016,0.958168453333692
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",0.130804953560372,0.50186552353735
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.260978804477257,0.600986401859598
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified",0.151940938318647,0.50186552353735
"PWY-7234: inosine-5'-phosphate biosynthesis III",0.130804953560372,0.50186552353735
"PWY-5686: UMP biosynthesis I",0.370219099785663,0.650869062526408
"PWY-5686: UMP biosynthesis I|unclassified",0.411895689449869,0.657023855854181
