"","PreWilcox_p","PreTtest_adj_p"
"PWY-7663: gondoate biosynthesis (anaerobic)",0.896750308515014,0.999006329981758
"PWY-5973: cis-vaccenate biosynthesis",0.896750308515014,0.999006329981758
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",0.896750308515014,0.999006329981758
"LACTOSECAT-PWY: lactose and galactose degradation I",0.761826408885232,0.999006329981758
"PWY0-1477: ethanolamine utilization",0.0342794460441519,0.999006329981758
"PWY-7664: oleate biosynthesis IV (anaerobic)",1,1
"PWY0-1296: purine ribonucleosides degradation",0.965400612459436,0.999006329981758
"PWY0-1296: purine ribonucleosides degradation|unclassified",0.696466931761049,0.999006329981758
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0.828557063851181,0.999006329981758
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.559493362429752,0.999006329981758
"PWY0-862: (5Z)-dodecenoate biosynthesis I",0.696466931761049,0.999006329981758
"PWY-5989: stearate biosynthesis II (bacteria and plants)",0.696466931761049,0.999006329981758
"PWY-5971: palmitate biosynthesis (type II fatty acid synthase)",0.688668026994117,0.999006329981758
"PWY-6609: adenine and adenosine salvage III",0.514785867727044,0.999006329981758
"PWY-6609: adenine and adenosine salvage III|unclassified",0.40824534942182,0.999006329981758
"PWY-7356: thiamine diphosphate salvage IV (yeast)",0.514785867727044,0.999006329981758
"PWY-5695: inosine 5'-phosphate degradation",0.274281274281274,0.999006329981758
"PWY-5695: inosine 5'-phosphate degradation|unclassified",0.965400612459436,0.999006329981758
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",0.633438456967869,0.999006329981758
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.696466931761049,0.999006329981758
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)",0.0831390831390831,0.999006329981758
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified",0.514785867727044,0.999006329981758
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",0.896750308515014,0.999006329981758
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0.896750308515014,0.999006329981758
"PWY-6608: guanosine nucleotides degradation III",0.633438456967869,0.999006329981758
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0.965400612459436,0.999006329981758
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",0.828557063851181,0.999006329981758
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified",0.896750308515014,0.999006329981758
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.40824534942182,0.999006329981758
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",0.965400612459436,0.999006329981758
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0.896750308515014,0.999006329981758
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",0.896750308515014,0.999006329981758
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.514785867727044,0.999006329981758
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified",0.514785867727044,0.999006329981758
"PWY-7199: pyrimidine deoxyribonucleosides salvage",0.696466931761049,0.999006329981758
"PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified",0.896750308515014,0.999006329981758
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)",0.514785867727044,0.999006329981758
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified",1,1
