"","PreWilcox_p","PreTtest_adj_p"
"Firmicutes",0.201369373660395,0.804639632813008
"Actinobacteria",0.881983805668016,0.915906259732171
"Cyanobacteria",0.456096689688021,0.804639632813008
"Tenericutes",0.370219099785663,0.804639632813008
"Deinococcus-Thermus",0.456096689688021,0.804639632813008
"Chloroflexi",0.294724934508216,0.804639632813008
"Proteobacteria",0.551631340795428,0.804639632813008
"Bacteroidetes",0.130804953560372,0.804639632813008
"Spirochaetes",0.260978804477257,0.804639632813008
"Verrucomicrobia",0.823755656108597,0.889656108597285
"Planctomycetes",0.456096689688021,0.804639632813008
"Chlamydiae",0.710300071445582,0.83383051865351
"Fusobacteria",0.766432483924744,0.862236544415337
"Thermotogae",0.602679209335556,0.804639632813008
"Ascomycota",0.655632293403191,0.804639632813008
"Basidiomycota",0.370219099785663,0.804639632813008
"Apicomplexa",0.655632293403191,0.804639632813008
"Evosea",0.456096689688021,0.804639632813008
"Euglenozoa",0.602679209335556,0.804639632813008
"Euryarchaeota",0.331162181471779,0.804639632813008
"Crenarchaeota",1,1
"Thaumarchaeota",0.655632293403191,0.804639632813008
"Uroviricota",0.175410812098119,0.804639632813008
"Chlorobi",0.502726839723744,0.804639632813008
"Acidobacteria",0.0804000952607764,0.804639632813008
"Synergistetes",0.0674446296737318,0.804639632813008
"Peploviricota",0.382103879003913,0.804639632813008
