"","PostWilcox_p","PostTtest_adj_p"
"Enterococcus raffinosus",0.675937887240812,0.808637349766616
"Bifidobacterium catenulatum",0.128068113685618,0.298327087067514
"Christensenella minuta",0.148268036824101,0.313528920340066
"Butyrivibrio hungatei",0.128499438498768,0.298327087067514
"Oscillospiraceae bacterium",0.111943319838057,0.287222991689751
"Streptococcus infantis",1,1
"Lactiplantibacillus plantarum",0.602679209335556,0.750942145817466
"uncultured human fecal virus",0.602679209335556,0.750942145817466
"Anaerotignum propionicum",0.0571442869707487,0.25071755059454
"Roseburia hominis",0.502726839723744,0.647074150139472
"Novisyntrophococcus fermenticellae",0.095177423195999,0.270943029536056
"[Clostridium] innocuum",0.0200404858299595,0.217105263157895
"Leuconostoc mesenteroides",0.710300071445582,0.812366650626912
"Pauljensenia hongkongensis",0.286769548806278,0.450755782189037
"Bacteroides zhangwenhongii",0.229864253393665,0.388082505729565
"Ligilactobacillus salivarius",0.294724934508216,0.450755782189037
"Clostridium gasigenes",0.111943319838057,0.287222991689751
"Enterococcus cecorum",0.201369373660395,0.365274677802578
"Lawsonibacter asaccharolyticus",0.0381281257442248,0.25071755059454
"Clostridium sp. SY8519",0.0804000952607764,0.265729128404261
"Akkermansia muciniphila",0.940843057870922,0.968149848468759
"Pseudomonas putida",0.492493318252016,0.647074150139472
"Qiania dongpingensis",0.0681437445205672,0.25071755059454
"Cellulosilyticum sp. WCF-2",0.16822597862793,0.332088430671195
"Gordonibacter pamelaeae",0.294724934508216,0.450755782189037
"Veillonella atypica",0.766432483924744,0.851591648805271
"Staphylococcus aureus",1,1
"Clostridium sp. C1",0.0310311979042629,0.25071755059454
"Weizmannia coagulans",0.502726839723744,0.647074150139472
"Emergencia timonensis",0.0250535841867111,0.244272445820433
"Vescimonas coprocola",0.095177423195999,0.270943029536056
"Streptococcus pyogenes",0.602679209335556,0.750942145817466
"Bacteroides faecis",0.111943319838057,0.287222991689751
"Bacteroides caccae",0.0158966420576328,0.217105263157895
"Actinomyces sp. oral taxon 169",0.0464515360800191,0.25071755059454
"Anaerobutyricum hallii",0.294724934508216,0.450755782189037
"Escherichia coli",0.766432483924744,0.851591648805271
"Peptacetobacter hiranonis",0.128499438498768,0.298327087067514
"Paraprevotella xylaniphila",0.0381281257442248,0.25071755059454
"Streptococcus thermophilus",0.710300071445582,0.812366650626912
"Alistipes communis",0.00314360562038581,0.204334365325077
"Enterococcus faecalis",1,1
"Blautia liquoris",0.331162181471779,0.489216858992401
"Fusobacterium nucleatum",0.130804953560372,0.298327087067514
"Clostridium sp. BJN0001",0.287314142628257,0.450755782189037
"Campylobacter concisus",0.128499438498768,0.298327087067514
"Phocaeicola vulgatus",0.130804953560372,0.298327087067514
"Anaerostipes caccae",0.502726839723744,0.647074150139472
"Prevotella melaninogenica",1,1
"Geosporobacter ferrireducens",0.0933976745287926,0.270943029536056
"Streptococcus mitis",0.655632293403191,0.78675875208383
"Eubacterium maltosivorans",0.014899071234092,0.217105263157895
"Bacteroides thetaiotaomicron",0.0561919504643963,0.25071755059454
"Fusobacterium ulcerans",0.130804953560372,0.298327087067514
"Anaerostipes hadrus",0.655632293403191,0.78675875208383
"Streptococcus parasanguinis",0.294724934508216,0.450755782189037
"Parabacteroides sp. CT06",0.0135411337948174,0.217105263157895
"Enterococcus durans",1,1
"Faecalibacterium sp. IP118",0.370219099785663,0.532787634377892
"Romboutsia hominis",0.209828240111005,0.37885654464487
"Lachnoclostridium phocaeense",0.095177423195999,0.270943029536056
"Wansuia hejianensis",0.0561919504643963,0.25071755059454
"Anaerostipes rhamnosivorans",0.151940938318647,0.313528920340066
