"","PreWilcox_p","PreTtest_adj_p"
"Enterococcus raffinosus",0.229864253393665,0.948916408668731
"Bifidobacterium catenulatum",0.0804000952607764,0.948916408668731
"Christensenella minuta",0.229864253393665,0.948916408668731
"Butyrivibrio hungatei",0.766432483924744,0.948916408668731
"Oscillospiraceae bacterium",0.502726839723744,0.948916408668731
"Streptococcus infantis",0.551631340795428,0.948916408668731
"Lactiplantibacillus plantarum",0.229864253393665,0.948916408668731
"uncultured human fecal virus",0.881983805668016,0.96893995552261
"Anaerotignum propionicum",0.370219099785663,0.948916408668731
"Roseburia hominis",0.0250535841867111,0.948916408668731
"Novisyntrophococcus fermenticellae",0.655632293403191,0.948916408668731
"[Clostridium] innocuum",0.370219099785663,0.948916408668731
"Leuconostoc mesenteroides",0.551631340795428,0.948916408668731
"Pauljensenia hongkongensis",0.655632293403191,0.948916408668731
"Bacteroides zhangwenhongii",0.111943319838057,0.948916408668731
"Ligilactobacillus salivarius",0.331162181471779,0.948916408668731
"Clostridium gasigenes",1,1
"Enterococcus cecorum",0.940843057870922,0.978476780185759
"Lawsonibacter asaccharolyticus",0.294724934508216,0.948916408668731
"Clostridium sp. SY8519",0.710300071445582,0.948916408668731
"Akkermansia muciniphila",0.655632293403191,0.948916408668731
"Pseudomonas putida",0.710300071445582,0.948916408668731
"Qiania dongpingensis",0.766432483924744,0.948916408668731
"Cellulosilyticum sp. WCF-2",0.568666022249157,0.948916408668731
"Gordonibacter pamelaeae",0.655632293403191,0.948916408668731
"Veillonella atypica",0.0310311979042629,0.948916408668731
"Staphylococcus aureus",0.655632293403191,0.948916408668731
"Clostridium sp. C1",1,1
"Weizmannia coagulans",0.766432483924744,0.948916408668731
"Emergencia timonensis",0.260978804477257,0.948916408668731
"Vescimonas coprocola",0.260978804477257,0.948916408668731
"Streptococcus pyogenes",0.551631340795428,0.948916408668731
"Bacteroides faecis",0.229864253393665,0.948916408668731
"Bacteroides caccae",0.201369373660395,0.948916408668731
"Actinomyces sp. oral taxon 169",0.655632293403191,0.948916408668731
"Anaerobutyricum hallii",0.655632293403191,0.948916408668731
"Escherichia coli",0.502726839723744,0.948916408668731
"Peptacetobacter hiranonis",0.602679209335556,0.948916408668731
"Paraprevotella xylaniphila",0.151940938318647,0.948916408668731
"Streptococcus thermophilus",0.823755656108597,0.958999122036875
"Alistipes communis",0.151940938318647,0.948916408668731
"Enterococcus faecalis",0.411895689449869,0.948916408668731
"Blautia liquoris",0.881983805668016,0.96893995552261
"Fusobacterium nucleatum",0.823755656108597,0.958999122036875
"Clostridium sp. BJN0001",0.655632293403191,0.948916408668731
"Campylobacter concisus",1,1
"Phocaeicola vulgatus",0.0381281257442248,0.948916408668731
"Anaerostipes caccae",0.881983805668016,0.96893995552261
"Prevotella melaninogenica",0.0464515360800191,0.948916408668731
"Geosporobacter ferrireducens",0.111943319838057,0.948916408668731
"Streptococcus mitis",0.130804953560372,0.948916408668731
"Eubacterium maltosivorans",0.881983805668016,0.96893995552261
"Bacteroides thetaiotaomicron",0.823755656108597,0.958999122036875
"Fusobacterium ulcerans",0.229864253393665,0.948916408668731
"Anaerostipes hadrus",0.655632293403191,0.948916408668731
"Streptococcus parasanguinis",0.551631340795428,0.948916408668731
"Parabacteroides sp. CT06",0.10108617670713,0.948916408668731
"Enterococcus durans",0.294724934508216,0.948916408668731
"Faecalibacterium sp. IP118",0.655632293403191,0.948916408668731
"Romboutsia hominis",0.766432483924744,0.948916408668731
"Lachnoclostridium phocaeense",0.710300071445582,0.948916408668731
"Wansuia hejianensis",0.456096689688021,0.948916408668731
"Anaerostipes rhamnosivorans",0.456096689688021,0.948916408668731
"Bacteroides cellulosilyticus",0.602679209335556,0.948916408668731
"Bacteroides fragilis",1,1
"Eggerthella lenta",0.823755656108597,0.958999122036875
"Adlercreutzia hattorii",0.370219099785663,0.948916408668731
"Plasmodium malariae",0.411895689449869,0.948916408668731
"Faecalibacterium sp. I2392",0.502726839723744,0.948916408668731
"Aminipila luticellarii",0.655632293403191,0.948916408668731
"Bifidobacterium animalis",0.602679209335556,0.948916408668731
"Alistipes senegalensis",0.095177423195999,0.948916408668731
"Bacillus velezensis",0.095177423195999,0.948916408668731
"Bacteroides salyersiae",0.229864253393665,0.948916408668731
"Erysipelatoclostridium ramosum",0.260978804477257,0.948916408668731
"Lacticaseibacillus rhamnosus",0.130804953560372,0.948916408668731
"Clostridium saccharoperbutylacetonicum",0.229864253393665,0.948916408668731
"Enterobacter hormaechei",0.823755656108597,0.958999122036875
"Actinomyces viscosus",1,1
"Enterococcus gallinarum",0.766432483924744,0.948916408668731
"Veillonella rodentium",0.095177423195999,0.948916408668731
"Clostridioides difficile",0.229864253393665,0.948916408668731
"Collinsella aerofaciens",0.766432483924744,0.948916408668731
"Streptococcus sp. 116-D4",0.201369373660395,0.948916408668731
"Brevibacillus laterosporus",0.502726839723744,0.948916408668731
"Amedibacterium intestinale",0.0804000952607764,0.948916408668731
"Streptococcus salivarius",0.766432483924744,0.948916408668731
"Dictyostelium discoideum",0.456096689688021,0.948916408668731
"Megasphaera massiliensis",0.456096689688021,0.948916408668731
"Listeria monocytogenes",0.655632293403191,0.948916408668731
"[Eubacterium] rectale",0.940843057870922,0.978476780185759
"Homo sapiens",0.370219099785663,0.948916408668731
"Hungatella hathewayi",0.0464515360800191,0.948916408668731
"Lachnoclostridium phytofermentans",0.655632293403191,0.948916408668731
"Enterococcus mundtii",1,1
"[Ruminococcus] gnavus",0.710300071445582,0.948916408668731
"Intestinibaculum porci",0.602679209335556,0.948916408668731
"Streptococcus pseudopneumoniae",0.502726839723744,0.948916408668731
"Lachnoclostridium sp. YL32",0.823755656108597,0.958999122036875
"Clostridium septicum",0.940843057870922,0.978476780185759
"Niallia circulans",1,1
"Clostridium tetani",0.655632293403191,0.948916408668731
"uncultured Blautia sp.",0.502726839723744,0.948916408668731
"Parabacteroides merdae",0.0674446296737318,0.948916408668731
"Clostridium thermarum",0.270447202701128,0.948916408668731
"Enterobacter cloacae",0.621295642890393,0.948916408668731
"[Clostridium] hylemonae",0.0310311979042629,0.948916408668731
"Bacteroides eggerthii",0.0674446296737318,0.948916408668731
"Streptococcus sp. HSISS2",0.655632293403191,0.948916408668731
"Streptococcus sp. HSISS3",0.551631340795428,0.948916408668731
"Streptococcus sp. HSISS1",0.648009382475931,0.948916408668731
"Dorea longicatena",0.602679209335556,0.948916408668731
"Roseburia intestinalis",0.655632293403191,0.948916408668731
"Faecalibacterium sp. HTFF",0.710300071445582,0.948916408668731
"Lachnospira eligens",0.940843057870922,0.978476780185759
"Salmonella enterica",1,1
"Parabacteroides distasonis",0.0250535841867111,0.948916408668731
"Pediococcus acidilactici",0.710300071445582,0.948916408668731
"Bifidobacterium dentium",0.502726839723744,0.948916408668731
"Streptococcus gwangjuense",0.229864253393665,0.948916408668731
"Vallitalea pronyensis",0.551631340795428,0.948916408668731
"Finegoldia magna",0.766432483924744,0.948916408668731
"[Ruminococcus] torques",0.655632293403191,0.948916408668731
"Clostridium chauvoei",0.940843057870922,0.978476780185759
"Wujia chipingensis",0.411895689449869,0.948916408668731
"Streptococcus infantarius",0.130804953560372,0.948916408668731
"Schaalia meyeri",0.502726839723744,0.948916408668731
"Christensenella sp. Marseille-P3954",0.823755656108597,0.958999122036875
"Coprobacter secundus",0.201369373660395,0.948916408668731
"Monoglobus pectinilyticus",0.766432483924744,0.948916408668731
"CrAssphage GF1-2_000079F",0.283845536304302,0.948916408668731
"Faecalibacterium sp. I3333",0.602679209335556,0.948916408668731
"Blautia obeum",0.602679209335556,0.948916408668731
"Paeniclostridium sordellii",0.881983805668016,0.96893995552261
"Enterocloster bolteae",0.370219099785663,0.948916408668731
"Coprococcus comes",0.940843057870922,0.978476780185759
"Serratia marcescens",0.823755656108597,0.958999122036875
"Blautia wexlerae",0.881983805668016,0.96893995552261
"Erysipelotrichaceae bacterium I46",0.270447202701128,0.948916408668731
"Clostridium novyi",0.518266720347182,0.948916408668731
"Ruminococcus sp. FMBCY1",0.42485650438126,0.948916408668731
"Streptococcus oralis",0.940843057870922,0.978476780185759
"Clostridium baratii",0.766432483924744,0.948916408668731
"Butyrivibrio proteoclasticus",0.940843057870922,0.978476780185759
"Enterococcus casseliflavus",0.940843057870922,0.978476780185759
"Streptococcus equi",0.823755656108597,0.958999122036875
"Prevotella intermedia",0.322591279641321,0.948916408668731
"Phocaeicola dorei",0.411895689449869,0.948916408668731
"Actinomyces naeslundii",1,1
"Blautia massiliensis",0.456096689688021,0.948916408668731
"Streptococcus rubneri",0.710300071445582,0.948916408668731
"Turicibacter sp. H121",0.229864253393665,0.948916408668731
"Streptococcus ilei",0.766432483924744,0.948916408668731
"Anaerotruncus colihominis",0.294724934508216,0.948916408668731
"Romboutsia ilealis",0.766432483924744,0.948916408668731
"Ruthenibacterium lactatiformans",0.331162181471779,0.948916408668731
"Parabacteroides johnsonii",0.0674446296737318,0.948916408668731
"Megasphaera stantonii",0.370219099785663,0.948916408668731
"Streptococcus gallolyticus",0.0310311979042629,0.948916408668731
"Bacillus cereus",0.331162181471779,0.948916408668731
"Acidaminococcus intestini",0.655632293403191,0.948916408668731
"Massilistercora timonensis",0.551631340795428,0.948916408668731
"Ruminococcus sp. SR1/5",0.766432483924744,0.948916408668731
"Gemella haemolysans",0.229864253393665,0.948916408668731
"Eggerthella guodeyinii",0.370219099785663,0.948916408668731
"Clostridium pasteurianum",0.881983805668016,0.96893995552261
"Sellimonas intestinalis",0.881983805668016,0.96893995552261
"Alistipes onderdonkii",0.502726839723744,0.948916408668731
"Erysipelotrichaceae bacterium 66202529",0.940843057870922,0.978476780185759
"Streptococcus sp. HSISM1",0.502726839723744,0.948916408668731
"CrAssphage sp. C0526BW15",0.358295584031389,0.948916408668731
"Eubacterium sp. c-25",0.710300071445582,0.948916408668731
"Alistipes dispar",0.0481480185503487,0.948916408668731
"Lacticaseibacillus paracasei",0.456096689688021,0.948916408668731
"Solibaculum mannosilyticum",0.095177423195999,0.948916408668731
"Blautia sp. SC05B48",0.823755656108597,0.958999122036875
"Staphylococcus epidermidis",0.411895689449869,0.948916408668731
"Buchnera aphidicola",0.551631340795428,0.948916408668731
"Lachnospiraceae bacterium GAM79",0.823755656108597,0.958999122036875
"Tissierella sp. JN-28",0.111943319838057,0.948916408668731
"Streptococcus equinus",0.881983805668016,0.96893995552261
"[Clostridium] symbiosum",0.823755656108597,0.958999122036875
"Lactococcus garvieae",0.0464515360800191,0.948916408668731
"Faecalibacillus intestinalis",0.655632293403191,0.948916408668731
"Blautia argi",0.766432483924744,0.948916408668731
"Klebsiella michiganensis",0.621295642890393,0.948916408668731
"Bacteroides sp. A1C1",0.201369373660395,0.948916408668731
"Bacteroides luhongzhouii",0.655632293403191,0.948916408668731
"Streptococcus mutans",0.111943319838057,0.948916408668731
"Catenibacterium sp. co_0103",0.456096689688021,0.948916408668731
"Enterococcus lactis",0.303234035030063,0.948916408668731
"Pseudomonas aeruginosa",0.294724934508216,0.948916408668731
"uncultured Clostridia bacterium",0.370219099785663,0.948916408668731
"Terrisporobacter glycolicus",0.655632293403191,0.948916408668731
"Bifidobacterium bifidum",0.823755656108597,0.958999122036875
"Dysosmobacter sp. Marseille-Q4140",0.881983805668016,0.96893995552261
"Lactobacillus delbrueckii",0.331162181471779,0.948916408668731
"Bacteroides nordii",0.502726839723744,0.948916408668731
"Veillonella parvula",0.0464515360800191,0.948916408668731
"Clostridium cadaveris",0.823755656108597,0.958999122036875
"Herbinix luporum",1,1
"Parvimonas micra",0.095177423195999,0.948916408668731
"Lactobacillus acidophilus",0.655632293403191,0.948916408668731
"Streptococcus suis",0.881983805668016,0.96893995552261
"Streptococcus sp. A12",0.940843057870922,0.978476780185759
"Bacteriophage sp.",0.766432483924744,0.948916408668731
"Enterococcus faecium",0.710300071445582,0.948916408668731
"Actinomyces oris",0.766432483924744,0.948916408668731
"Clostridium manihotivorum",0.766432483924744,0.948916408668731
"Enterocloster clostridioformis",0.940843057870922,0.978476780185759
"Faecalitalea cylindroides",0.710300071445582,0.948916408668731
"Citrobacter freundii",0.881983805668016,0.96893995552261
"Lactobacillus gasseri",0.260978804477257,0.948916408668731
"Butyricimonas faecalis",0.823755656108597,0.958999122036875
"Bacteroides intestinalis",0.551631340795428,0.948916408668731
"Gemella sanguinis",0.370219099785663,0.948916408668731
"Pusillibacter faecalis",0.229864253393665,0.948916408668731
"Actinomyces sp. oral taxon 171",0.370219099785663,0.948916408668731
"Clostridium perfringens",0.710300071445582,0.948916408668731
"Clostridioides sp. ES-W-0016-02",0.710300071445582,0.948916408668731
"Bacteroides ovatus",0.551631340795428,0.948916408668731
"Cutibacterium acnes",0.456096689688021,0.948916408668731
"Alistipes finegoldii",0.456096689688021,0.948916408668731
"Klebsiella quasipneumoniae",0.411895689449869,0.948916408668731
