"","PostWilcox_p","PostTtest_adj_p"
"tetM",0.710300071445582,1
"mtrC",0.112120623175668,0.974703514554591
"arnA",0.920464184747955,1
"MexI",0.175709750627994,0.974703514554591
"Paer_emrE",0.456096689688021,1
"ParS",0.789132525739454,1
"ArmR",0.370219099785663,1
"patB",0.14024353034542,0.974703514554591
"vanV_in_vanB_cl",0.766432483924744,1
"APH(6)-Id",0.112120623175668,0.974703514554591
"dfrF",0.0381281257442248,0.974703514554591
"rsmA",0.175410812098119,0.974703514554591
"CfxA2",0.128068113685618,0.974703514554591
"aadA5",1,1
"vanT_in_vanC_cl",0.928966080083324,1
"vanS_in_vanC_cl",0.520138361946792,1
"mel",0.130804953560372,0.974703514554591
"ErmB",0.012467254108121,0.974703514554591
"Mef(En2)",0.253735395934038,0.998248465582596
"APH(3'')-Ib",0.246499097310085,0.995989595888045
"msrC",0.42485650438126,1
"Erm(35)",0.814855546939184,1
"CfxA3",0.482367293671414,1
"tet(A)",0.464511249619045,1
"tet37",0.940843057870922,1
"tetW",0.095177423195999,0.974703514554591
"Kpne_acrA",0.38790575821938,1
"OCH-1",0.326788439376544,1
"qacJ",0.766432483924744,1
"OKP-B-12",0.241665660278603,0.995989595888045
"SHV-12",0.56047391160013,1
"ykkC",0.111943319838057,0.974703514554591
"ykkD",0.881983805668016,1
"tet(40)",0.502726839723744,1
"rmtB",0.0571940269462974,0.974703514554591
"rpoB2",0.940843057870922,1
"Kpne_KpnE",0.602679209335556,1
"Kpne_KpnF",0.766432483924744,1
"marA",0.405620459261189,1
"baeS",0.937436006121569,1
"baeR",0.811139774476164,1
"acrD",0.938980364653127,1
"emrA",0.938980364653127,1
"gadX",0.454181056325272,1
"mdtE",0.873429418988995,1
"CRP",0.96869391460243,1
"mdtP",0.195274607220135,0.974703514554591
"mdtO",0.113438136657538,0.974703514554591
"mdtN",0.455859407336205,1
"sul2",0.933722303738766,1
"vanR_in_vanD_cl",0.405620459261189,1
"lsaA",0.813837291996586,1
"APH(2'')-If",0.713894463616457,1
"aad(6)",0.342097674246573,1
"lnuC",0.697921632876401,1
"dfrB5",0.402609181693157,1
"evgA",0.422372655242947,1
"cpxA",0.701899676767015,1
"mecI",0.766432483924744,1
"Cper_mprF",0.392290029822938,1
"mdtG",0.475743050308868,1
"abeS",0.766432483924744,1
"Bbif_ileS_MUP",0.847363207978201,1
"APH(3')-IIIa",0.370219099785663,1
"gadW",1,1
"mphA",0.624954263210954,1
"emrY",0.523984320911352,1
"emrK",0.183320488018049,0.974703514554591
"qacL",0.602679209335556,1
"vanU_in_vanG_cl",0.710300071445582,1
"dfrA17",0.0459447221662675,0.974703514554591
"dfrB2",0.766432483924744,1
"vanL",0.463398944907807,1
"dfrB4",0.646012402585425,1
"oqxB",0.646012402585425,1
"tet32",0.36175421832284,1
"TolC",0.939348910317847,1
"ANT(6)-Ib",1,1
"ArnT",0.212236941559382,0.974703514554591
"dfrB3",0.331162181471779,1
"CfxA6",0.328034033076088,1
"CblA-1",0.0383633583379843,0.974703514554591
"dfrB6",0.881983805668016,1
"dfrB7",1,1
